Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,@,DAL,W,117,111,118.7,112.6,98.6,0.16,0.191,0.582,54.9,41.7,11.2,14.6,,0.559,11.4,30.4,0.128,,0.541,13.6,80,0.209
2018,2,2,2017-10-20,@,CHO,L,91,109,86.3,103.4,105.4,0.147,0.316,0.45,40,52.8,10.4,8,,0.416,11.4,11.8,0.126,,0.494,17.5,72.7,0.279
2018,3,3,2017-10-22,@,BRK,L,104,116,99.5,110.9,104.6,0.383,0.287,0.473,48.5,65.6,5.7,3.3,,0.378,12.7,29.6,0.351,,0.534,15,71.1,0.264
2018,4,4,2017-10-23,@,MIA,L,93,104,94.6,105.8,98.3,0.237,0.224,0.554,50,38.9,9.2,2.1,,0.52,19.2,16.2,0.184,,0.541,17,77.8,0.141
2018,5,5,2017-10-26,@,CHI,L,86,91,96.2,101.8,89.4,0.16,0.346,0.496,39.2,68.8,11.2,9.3,,0.463,10.3,13.7,0.136,,0.401,11.6,64.7,0.256
2018,6,6,2017-10-27,,DEN,L,100,105,105.1,110.4,95.1,0.135,0.371,0.53,48.3,62.2,7.4,5.6,,0.494,11.3,23.9,0.135,,0.484,9.8,74.4,0.187
2018,7,7,2017-10-29,,MIL,L,106,117,107.3,118.4,98.8,0.338,0.377,0.599,41.9,75,9.1,3.6,,0.552,15.3,7.3,0.273,,0.623,13.4,84.8,0.198
2018,8,8,2017-11-01,@,PHI,L,109,119,100.1,109.3,108.9,0.287,0.245,0.515,48,53.7,10.1,6.3,,0.479,14.5,24,0.202,,0.53,12.7,71.2,0.141
2018,9,9,2017-11-03,,HOU,L,104,119,103.6,118.6,100.4,0.222,0.407,0.585,48.2,41,8,19,,0.549,16.8,12.5,0.185,,0.562,10.8,80,0.213
2018,10,10,2017-11-05,@,CLE,W,117,115,114.5,112.5,102.2,0.395,0.291,0.579,48.4,58.5,3.9,10,,0.541,14.4,25.6,0.279,,0.49,10.9,68.8,0.219
2018,11,11,2017-11-06,,BOS,L,107,110,111.5,114.6,96,0.247,0.321,0.596,46.2,61.5,8.3,8.9,,0.562,13.5,12.5,0.198,,0.568,12.5,81.6,0.222
2018,12,12,2017-11-10,@,DET,L,104,111,107.9,115.2,96.4,0.124,0.27,0.554,46.9,63.6,11.4,11.9,,0.539,13.8,26.2,0.09,,0.506,14.4,63,0.236
2018,13,13,2017-11-11,@,WAS,L,94,113,93.8,112.8,100.2,0.205,0.398,0.519,43.2,55.9,11,1.9,,0.494,21,24.4,0.145,,0.583,20.3,66.7,0.282
2018,14,14,2017-11-13,@,NOP,L,105,106,112,113.1,93.7,0.103,0.414,0.577,48.6,62.5,14.9,2.4,,0.557,15,24.4,0.092,,0.633,18.7,78.8,0.147
2018,15,15,2017-11-15,,SAC,W,126,80,133.4,84.7,94.4,0.203,0.405,0.732,64.6,80,9.5,10,,0.734,17.3,33.3,0.127,,0.386,11,80,0.136
2018,16,16,2017-11-18,,BOS,L,99,110,106.4,118.2,93.1,0.256,0.308,0.57,46.1,64.9,7.5,2.1,,0.532,13,15.8,0.205,,0.573,14.2,76.3,0.195
2018,17,17,2017-11-20,@,SAS,L,85,96,91.5,103.4,92.8,0.094,0.353,0.48,42.2,56.8,7.5,12.1,,0.482,14.5,19.1,0.035,,0.506,16.4,67.4,0.067
