Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-17,@,CLE,L,99,102,99.7,102.7,99.3,0.284,0.364,0.5,47.9,66.7,11.1,6.6,,0.455,9.2,18,0.216,,0.488,15.3,80.4,0.253
2018,2,2,2017-10-18,,MIL,L,100,108,102.2,110.4,97.9,0.231,0.308,0.499,48.9,59,12.3,3.6,,0.489,10.7,22,0.121,,0.546,14.4,84.2,0.329
2018,3,3,2017-10-20,@,PHI,W,102,92,102.5,92.4,99.5,0.381,0.345,0.52,53.9,45.7,4,8.3,,0.476,16.2,29.8,0.262,,0.435,13.9,74.5,0.13
2018,4,4,2017-10-24,,NYK,W,110,89,116.4,94.2,94.5,0.36,0.387,0.633,48.8,70.3,11.6,9.6,,0.587,12.1,13.5,0.293,,0.429,12.7,76.6,0.188
2018,5,5,2017-10-26,@,MIL,W,96,89,100.4,93.1,95.6,0.282,0.385,0.547,54.9,63.6,7.3,7.7,,0.494,14.6,14.6,0.244,,0.526,16.1,95.1,0.104
2018,6,6,2017-10-28,@,MIA,W,96,90,102.4,96,93.7,0.321,0.284,0.519,50.6,44.1,11.7,10.4,,0.457,11.5,24.4,0.272,,0.475,18.1,83.3,0.19
2018,7,7,2017-10-30,,SAS,W,108,94,117.8,102.5,91.7,0.182,0.352,0.568,57.4,57.1,10.9,9.8,,0.54,12,34.9,0.148,,0.483,10.3,76.5,0.115
2018,8,8,2017-11-01,,SAC,W,113,86,127.1,96.7,88.9,0.232,0.5,0.625,66.7,75,11.2,4.9,,0.591,15,45.7,0.195,,0.469,14.8,83.7,0.123
2018,9,9,2017-11-03,@,OKC,W,101,94,109.8,102.2,92,0.286,0.333,0.534,50.5,63.9,6.5,3.8,,0.506,9.6,22.9,0.19,,0.477,11.4,77.6,0.126
2018,10,10,2017-11-05,@,ORL,W,104,88,104.5,88.5,99.5,0.225,0.371,0.532,54.5,66.7,10.1,1.6,,0.5,11.7,20.5,0.169,,0.396,11.6,81.8,0.176
2018,11,11,2017-11-06,@,ATL,W,110,107,114.6,111.5,96,0.272,0.444,0.607,53.8,71.8,3.1,5.5,,0.568,12.5,18.4,0.222,,0.562,13.5,87.5,0.198
2018,12,12,2017-11-08,,LAL,W,107,96,105,94.2,101.9,0.316,0.296,0.479,50,52.6,7.8,9.8,,0.423,10.4,30.8,0.245,,0.465,17.4,72.7,0.2
2018,13,13,2017-11-10,,CHO,W,90,87,91.9,88.9,97.9,0.298,0.369,0.474,51,50,6.1,8.6,,0.411,12,18.4,0.25,,0.425,12.9,85.1,0.238
2018,14,14,2017-11-12,,TOR,W,95,94,106.2,105.1,89.4,0.218,0.299,0.498,56.1,68.6,10.1,4.4,,0.46,12.8,33.3,0.172,,0.536,17.7,83.8,0.29
2018,15,15,2017-11-14,@,BRK,W,109,102,109.5,102.5,99.5,0.314,0.314,0.557,53.3,38.5,8,5.7,,0.506,12.5,20.9,0.256,,0.523,12.8,81.6,0.114
2018,16,16,2017-11-16,,GSW,W,92,88,92.8,88.8,99.1,0.481,0.405,0.481,52.5,57.7,8.1,10,,0.373,13.5,14.9,0.418,,0.463,14.2,86.5,0.146
2018,17,17,2017-11-18,@,ATL,W,110,99,118.2,106.4,93.1,0.244,0.415,0.606,53.9,53.8,9.7,11.1,,0.573,14.2,23.7,0.195,,0.532,13,84.2,0.205
2018,18,18,2017-11-20,@,DAL,W,110,102,103.9,96.3,95.9,0.31,0.429,0.576,54.1,63.2,7.6,6.3,,0.53,15.1,11.9,0.25,,0.443,9.5,85.7,0.177
2018,19,19,2017-11-22,@,MIA,L,98,104,101.4,107.6,96.6,0.321,0.31,0.511,43.5,54.3,11.4,7.5,,0.47,10.3,14.6,0.226,,0.556,15.4,81.1,0.173
2018,20,20,2017-11-24,,ORL,W,118,103,123.9,108.1,95.3,0.275,0.462,0.578,47.4,64.3,6.3,14.1,,0.555,7.3,27.1,0.187,,0.479,10.4,67.3,0.126
2018,21,21,2017-11-25,@,IND,W,108,98,118.2,107.3,91.4,0.113,0.313,0.643,45.5,48.9,8.8,7.3,,0.625,14.3,13.3,0.1,,0.532,17.5,72.2,0.192
