Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,@,IND,L,131,140,115.7,123.6,113.3,0.34,0.319,0.606,47.8,48.9,6.2,2.9,,0.543,15.6,25,0.309,,0.564,10.8,69.6,0.245
2018,2,2,2017-10-20,,ORL,W,126,121,117.3,112.6,107.4,0.38,0.293,0.587,54.5,47.8,12.1,10.7,,0.549,14.4,32.6,0.272,,0.607,18.7,78.6,0.146
2018,3,3,2017-10-22,,ATL,W,116,104,110.9,99.5,104.6,0.391,0.31,0.569,51.5,65.9,11.5,11.9,,0.534,15,28.9,0.264,,0.378,12.7,70.4,0.351
2018,4,4,2017-10-24,@,ORL,L,121,125,114.2,118,105.9,0.354,0.365,0.545,52.7,52.5,7.6,6.7,,0.474,11.9,26.9,0.313,,0.542,9.9,85.4,0.422
2018,5,5,2017-10-25,,CLE,W,112,107,110.3,105.4,101.5,0.226,0.495,0.548,44.7,55,10.8,6.5,,0.522,10.5,20.8,0.161,,0.556,18.5,75.7,0.21
2018,6,6,2017-10-27,@,NYK,L,86,107,92,114.5,93.5,0.28,0.4,0.51,38.9,60,5.3,1.4,,0.473,16,12.2,0.2,,0.495,9.4,61.2,0.102
2018,7,7,2017-10-29,,DEN,L,111,124,105.7,118.1,105,0.323,0.323,0.506,54.9,61.5,4.8,5.4,,0.469,12,28.8,0.219,,0.559,5.5,90.7,0.202
2018,8,8,2017-10-31,,PHO,L,114,122,100.9,108,112.9,0.294,0.304,0.495,40,35.7,8,5.4,,0.456,5.7,11.1,0.206,,0.521,14.5,78.7,0.229
2018,9,9,2017-11-03,@,LAL,L,112,124,98.8,109.3,113.4,0.418,0.418,0.52,43,62.2,7.1,6.8,,0.456,12.9,13.8,0.319,,0.559,13.1,83.3,0.202
2018,10,10,2017-11-06,@,PHO,W,98,92,96.7,90.8,101.3,0.333,0.368,0.491,48,57.1,9.9,6.6,,0.448,13.8,22.4,0.23,,0.384,14.4,72.5,0.302
2018,11,11,2017-11-07,@,DEN,L,104,112,93.1,100.2,111.7,0.247,0.393,0.527,50,57.9,10.7,10.2,,0.489,20.2,17.4,0.191,,0.522,15.7,81.3,0.161
2018,12,12,2017-11-10,@,POR,W,101,97,105.4,101.2,95.8,0.209,0.418,0.508,49,64.1,7.3,5.6,,0.495,9.1,22,0.121,,0.463,9.1,76,0.095
2018,13,13,2017-11-11,@,UTA,L,106,114,108.2,116.3,98,0.513,0.303,0.569,48.2,37.1,7.1,7.1,,0.507,15.4,23.8,0.382,,0.547,14.3,72.1,0.247
2018,14,14,2017-11-14,,BOS,L,102,109,102.5,109.5,99.5,0.182,0.398,0.537,46.7,66.7,4,5.1,,0.523,12.8,18.4,0.114,,0.506,12.5,79.1,0.256
2018,15,15,2017-11-17,,UTA,W,118,107,122.2,110.8,96.5,0.238,0.44,0.636,48,62.8,8.3,3.8,,0.613,11.5,12.1,0.179,,0.57,15.2,76.2,0.215
2018,16,16,2017-11-19,,GSW,L,111,118,101.7,108.1,109.1,0.411,0.505,0.495,47.7,70.6,6.4,3,,0.442,10.4,20.3,0.284,,0.567,13,86.7,0.178
2018,17,17,2017-11-22,@,CLE,L,109,119,111.3,121.6,97.9,0.198,0.457,0.619,56,61.9,5.1,4.2,,0.605,17.8,21.6,0.136,,0.61,9.6,89.5,0.232
2018,18,18,2017-11-24,,POR,L,125,127,121.4,123.4,102.9,0.21,0.25,0.572,51.1,50,3.9,7.4,,0.55,7.6,28.3,0.15,,0.531,5.9,73.9,0.26
2018,19,19,2017-11-26,@,MEM,W,98,88,113.1,101.5,86.7,0.311,0.392,0.583,55.1,57.6,8.1,12.7,,0.534,16.8,33.3,0.257,,0.45,13.7,73.8,0.2
2018,20,20,2017-11-27,@,HOU,L,103,117,103.5,117.6,99.5,0.198,0.453,0.551,50.6,60,5,11.1,,0.523,12.2,15,0.151,,0.605,13.7,82.2,0.151
2018,21,21,2017-11-29,@,DAL,W,109,104,111.3,106.2,97.9,0.278,0.322,0.54,54.2,59.5,5.1,1.8,,0.528,12.2,27.5,0.156,,0.518,10.6,84.4,0.202
2018,22,22,2017-12-02,,ATL,L,102,114,105.6,118,96.6,0.256,0.512,0.559,49.5,76.5,1,11.1,,0.518,17.2,26.1,0.207,,0.525,7.1,72.3,0.101
2018,23,23,2017-12-04,@,ATL,W,110,90,110.1,90.1,99.9,0.176,0.424,0.6,57.8,70.7,7,11.5,,0.571,19.4,29.3,0.153,,0.421,16.1,81.6,0.256
2018,24,24,2017-12-07,,OKC,W,100,95,101,95.9,99,0.375,0.463,0.536,47.6,68.6,3,9.5,,0.506,12.2,15.9,0.238,,0.423,10,71.2,0.122
2018,25,25,2017-12-09,,MIA,L,89,101,97.6,110.8,91.2,0.235,0.333,0.498,49.4,48.5,3.3,4.8,,0.451,11.8,18.2,0.198,,0.511,4.9,81.4,0.1
2018,26,26,2017-12-12,,WAS,W,103,98,102.3,97.3,100.7,0.393,0.512,0.523,52,76.5,4,8.2,,0.464,12.4,19.6,0.298,,0.421,8.7,78.6,0.189
2018,27,27,2017-12-14,,NYK,L,104,111,108.3,115.6,96.1,0.277,0.506,0.558,51.8,56.8,10.4,5.8,,0.518,15.4,28.2,0.217,,0.517,11.6,72.7,0.213
2018,28,28,2017-12-15,@,TOR,L,87,120,89.2,123,97.5,0.25,0.303,0.516,45.1,50,4.1,1.4,,0.467,20.7,15,0.211,,0.593,7.3,73.8,0.052
2018,29,29,2017-12-17,,IND,L,97,109,106.9,120.2,90.7,0.259,0.407,0.537,40.3,76.5,7.7,3.4,,0.494,9.1,15.9,0.21,,0.618,15.1,78.6,0.197
2018,30,30,2017-12-20,,SAC,L,99,104,115,120.8,86.1,0.28,0.512,0.537,44.2,46.9,5.8,11.1,,0.482,9.8,28.6,0.244,,0.53,11.7,64.9,0.207
2018,31,31,2017-12-22,,WAS,W,119,84,123.1,86.9,96.6,0.239,0.466,0.612,63.2,65.9,4.1,5.5,,0.58,12.6,31.7,0.193,,0.392,6.6,87,0.118
2018,32,32,2017-12-23,@,IND,L,119,123,120.9,125,89.1,0.255,0.367,0.546,55.4,57.1,2,3,,0.51,8.4,34.6,0.194,,0.578,7.4,82.5,0.211
2018,33,33,2017-12-26,@,SAS,L,97,109,101.1,113.6,95.9,0.097,0.344,0.5,51.1,59,5.2,0,,0.484,11.8,24,0.075,,0.556,11.7,86.8,0.25
2018,34,34,2017-12-27,@,NOP,L,113,128,112.9,127.9,100.1,0.156,0.422,0.588,50,63.4,8,5.3,,0.561,13.5,21.3,0.133,,0.628,9.2,84.6,0.167
2018,35,35,2017-12-29,@,MIA,W,111,87,112.4,88.1,98.8,0.316,0.329,0.617,55.7,64.1,8.1,6.3,,0.563,16.7,20.5,0.278,,0.354,9.7,79.3,0.27
2018,36,36,2017-12-31,@,BOS,L,105,108,106.6,109.6,98.5,0.2,0.379,0.508,47.4,64.1,5.1,8.7,,0.468,8,20.8,0.168,,0.582,15.9,81,0.203
2018,37,37,2018-01-01,,ORL,W,98,95,102.9,99.8,95.2,0.28,0.305,0.532,50,47.2,7.4,15.4,,0.494,12.4,23.3,0.207,,0.396,10.1,68.9,0.198
2018,38,38,2018-01-03,,MIN,W,98,97,107.6,106.5,91.1,0.153,0.417,0.638,54.3,59.5,3.3,4.3,,0.611,19.8,13.8,0.139,,0.456,7.9,82.9,0.3
2018,39,39,2018-01-06,,BOS,L,85,87,88.7,90.7,95.9,0.242,0.341,0.422,55.6,36.7,2.1,13.8,,0.363,13.7,27.3,0.209,,0.403,3.7,78.2,0.082
2018,40,40,2018-01-08,,TOR,L,113,114,98.5,99.3,104,0.28,0.33,0.503,51.9,56.4,7,3,,0.45,12.5,20.4,0.23,,0.475,11.9,84.6,0.178
2018,41,41,2018-01-10,,DET,L,80,114,82.7,117.8,96.8,0.203,0.5,0.496,39.3,70.4,11.4,2.8,,0.446,17.4,4.4,0.189,,0.57,11.7,75,0.086
2018,42,42,2018-01-12,@,ATL,W,110,105,111.5,106.4,98.6,0.299,0.391,0.559,48.3,72.5,8.1,1.9,,0.534,12.5,25.5,0.195,,0.531,16.4,78.9,0.25
2018,43,43,2018-01-13,@,WAS,L,113,119,104.2,109.7,98.3,0.202,0.434,0.524,50,66.7,5.5,4.3,,0.485,12.2,24.1,0.172,,0.548,12.7,85,0.183
2018,44,44,2018-01-15,,NYK,L,104,119,105.1,120.3,98.9,0.414,0.368,0.506,46.3,50,5.1,4.5,,0.431,9.7,20.4,0.333,,0.567,8.4,80.5,0.317
2018,45,45,2018-01-17,,SAS,L,95,100,98.7,103.8,96.3,0.217,0.434,0.522,52.8,65.7,3.1,1.6,,0.5,13.3,14.6,0.145,,0.47,8.6,85.4,0.28
2018,46,46,2018-01-19,,MIA,W,101,95,111.4,104.8,90.6,0.342,0.421,0.578,50.6,55.6,5.5,12.9,,0.533,13.8,24.4,0.263,,0.458,10.4,73.9,0.214
2018,47,47,2018-01-21,@,DET,W,101,100,106.4,105.4,94.9,0.25,0.388,0.569,51.7,62.2,1.1,4.9,,0.544,14.5,16.3,0.175,,0.472,5.8,84.8,0.167
2018,48,48,2018-01-23,@,OKC,L,108,109,116.3,117.3,92.9,0.316,0.481,0.6,47.4,73,1.1,7.2,,0.57,11.8,19,0.228,,0.463,3.6,69.8,0.234
2018,49,49,2018-01-26,@,MIL,L,91,116,93.4,119.1,97.4,0.225,0.382,0.465,50.6,54.5,5.1,3.3,,0.416,12.5,21.2,0.191,,0.59,8.9,91.9,0.217
2018,50,50,2018-01-27,@,MIN,L,97,111,105.8,121.1,91.7,0.183,0.366,0.547,46.7,57.9,3.3,9.3,,0.518,14.5,25,0.146,,0.458,4.4,66.7,0.24
2018,51,51,2018-01-30,@,NYK,L,95,111,97.7,114.1,97.3,0.184,0.425,0.505,51,41.7,6.2,4.8,,0.466,15.3,23.9,0.161,,0.511,9.9,76,0.225
2018,52,52,2018-01-31,,PHI,W,116,108,129.2,120.3,89.8,0.364,0.416,0.649,54.2,48.7,3.3,15.5,,0.591,11,25,0.325,,0.52,8.1,83.3,0.382
2018,53,53,2018-02-02,,LAL,L,99,102,103.3,106.5,95.8,0.28,0.354,0.537,40.4,54.1,7.3,12.1,,0.506,10.7,11.6,0.195,,0.478,13,64.7,0.152
2018,54,54,2018-02-04,,MIL,L,94,109,104.6,121.3,89.9,0.156,0.322,0.489,40,67.6,5.6,1.6,,0.461,8.6,21.6,0.122,,0.568,12.6,64.1,0.21
2018,55,55,2018-02-06,,HOU,L,113,123,123.4,134.3,91.6,0.2,0.412,0.611,48.1,58.5,8.7,4.2,,0.576,10.6,23.8,0.176,,0.654,10.9,77.1,0.21
2018,56,56,2018-02-07,@,DET,L,106,115,103.4,112.1,102.5,0.133,0.567,0.556,52.1,84.6,3.9,8.8,,0.528,16.6,17.4,0.122,,0.527,6.4,84,0.196
2018,57,57,2018-02-10,,NOP,L,128,138,107.5,115.8,98.6,0.193,0.518,0.517,50.4,69.8,8.4,3.7,,0.469,10.8,28.6,0.184,,0.533,10.9,75,0.236
2018,58,58,2018-02-12,,LAC,L,101,114,106.2,119.9,95.1,0.112,0.449,0.541,46.3,65.9,10.5,8.7,,0.528,11.4,22.2,0.079,,0.6,14.1,77.1,0.141
2018,59,59,2018-02-14,,IND,L,103,108,108.7,113.9,94.8,0.325,0.422,0.543,45.8,68.6,4.2,2.7,,0.5,12.1,19.6,0.241,,0.467,7.3,70,0.267
2018,60,60,2018-02-22,@,CHO,L,96,111,101.5,117.4,94.6,0.151,0.462,0.484,43.2,75,6.3,12.1,,0.462,8.3,21.2,0.108,,0.546,12.8,69.8,0.184
2018,61,61,2018-02-26,,CHI,W,104,87,104.8,87.7,99.2,0.089,0.467,0.556,46.2,77.5,4,12.9,,0.533,13.8,14.6,0.089,,0.387,11.2,73.2,0.161
2018,62,62,2018-02-27,@,CLE,L,123,129,118.8,124.6,103.5,0.366,0.39,0.646,39.6,65.9,5.8,0,,0.61,11.2,6.8,0.28,,0.577,9.2,70.2,0.175
2018,63,63,2018-03-01,@,SAC,L,111,116,106.2,111,94.6,0.177,0.479,0.536,53.7,67.5,9.6,4.8,,0.505,16.9,32.7,0.146,,0.546,12.8,76.1,0.103
2018,64,64,2018-03-04,@,LAC,L,120,123,121.5,124.5,98.8,0.25,0.489,0.588,52.4,75,8.1,7,,0.538,12.1,28.3,0.228,,0.583,9.3,81.6,0.298
2018,65,65,2018-03-06,@,GSW,L,101,114,104,117.4,97.1,0.294,0.4,0.526,48.1,66.7,7.2,1.7,,0.476,11.1,21.7,0.235,,0.633,16.2,84.8,0.108
2018,66,66,2018-03-08,@,CHO,W,125,111,123.4,109.6,101.3,0.239,0.348,0.615,54.4,63.8,6.9,10.6,,0.571,9,23.1,0.217,,0.506,11.7,85,0.294
2018,67,67,2018-03-11,,PHI,L,97,120,99.5,123.1,97.5,0.282,0.329,0.508,46.7,51.5,5.1,7.2,,0.447,15.9,26.5,0.247,,0.574,8,70.7,0.116
2018,68,68,2018-03-13,,TOR,L,102,116,107.7,122.5,94.7,0.221,0.419,0.54,41.8,60,9.5,10,,0.494,10.4,18.4,0.198,,0.544,9.9,69,0.187
2018,69,69,2018-03-16,@,PHI,L,116,120,120.2,124.3,96.5,0.303,0.337,0.575,52.8,62.5,4.1,7.4,,0.534,10.6,27.5,0.236,,0.516,4.5,73.5,0.232
2018,70,70,2018-03-17,,DAL,W,114,106,124.4,115.6,91.7,0.226,0.429,0.617,48.9,58.1,4.4,8.6,,0.595,9.8,23.8,0.167,,0.511,9.2,71.7,0.13
2018,71,71,2018-03-19,,MEM,W,118,115,116.9,114,100.9,0.556,0.556,0.658,49.4,75,5,13.8,,0.611,19.7,22.5,0.417,,0.58,14.2,74.4,0.148
2018,72,72,2018-03-21,,CHO,L,105,111,102.7,108.6,102.3,0.226,0.398,0.513,40.4,56.4,5.9,14.1,,0.489,10.5,18.2,0.151,,0.399,10.2,61,0.383
2018,73,73,2018-03-23,@,TOR,L,112,116,111.1,115.1,100.8,0.369,0.321,0.574,48.2,51.2,5,15.5,,0.554,8.4,11.6,0.226,,0.558,9.2,87.5,0.233
2018,74,74,2018-03-25,,CLE,L,114,121,119.2,126.5,95.6,0.313,0.446,0.604,43.7,71.1,7.3,5.1,,0.56,8.7,15.6,0.253,,0.575,10.1,73.8,0.241
2018,75,75,2018-03-28,@,ORL,W,111,104,119.4,111.9,92.9,0.253,0.391,0.574,52.2,70,6.5,8.2,,0.529,7.6,25,0.218,,0.495,8.3,77.1,0.141
2018,76,76,2018-03-31,@,MIA,W,110,109,100.3,99.4,99.3,0.308,0.385,0.532,48,71.8,10,6.4,,0.484,12.7,14.6,0.242,,0.489,14.7,80,0.168
2018,77,77,2018-04-01,,DET,L,96,108,99.4,111.9,96.5,0.172,0.494,0.513,43,62.2,5.2,7.7,,0.494,11.4,12.2,0.115,,0.494,8.4,77.3,0.298
2018,78,78,2018-04-03,@,PHI,L,95,121,92.3,117.6,102.9,0.284,0.519,0.521,39.6,58.8,4.9,8.6,,0.525,16.5,5.9,0.123,,0.599,9.2,82.5,0.132
2018,79,79,2018-04-05,@,MIL,W,119,111,121.8,113.6,97.7,0.28,0.52,0.706,50,73.2,3.1,16.4,,0.673,16.8,12.1,0.24,,0.468,7,75.5,0.258
2018,80,80,2018-04-07,@,CHI,W,124,96,119.4,92.4,103.9,0.12,0.598,0.64,54.1,78.3,10.6,16.9,,0.63,11.8,12.5,0.087,,0.443,11.8,91.1,0.205
2018,81,81,2018-04-09,,CHI,W,114,105,114.3,105.3,99.8,0.183,0.512,0.643,46.3,78,8,16.4,,0.61,16.1,15,0.171,,0.551,16.8,76.2,0.079
2018,82,82,2018-04-11,@,BOS,L,97,110,97,109.9,100,0.176,0.44,0.495,41.5,73,10,7.7,,0.467,13.3,19.2,0.132,,0.48,10.7,63,0.118
2017,1,1,2016-10-26,@,BOS,L,117,122,113.6,118.4,103,0.206,0.454,0.553,48.4,51.2,7.8,5.3,,0.521,13.1,30,0.165,,0.601,16.4,70.7,0.169
2017,2,2,2016-10-28,,IND,W,103,94,103.2,94.1,99.8,0.23,0.379,0.538,51.5,52.6,6,5.4,,0.494,14.3,25.5,0.195,,0.413,10.9,74.1,0.133
2017,3,3,2016-10-29,@,MIL,L,108,110,106.2,108.1,101.7,0.333,0.405,0.561,50.6,62.2,11.8,9.1,,0.506,15.7,23.4,0.274,,0.511,12.4,81,0.227
2017,4,4,2016-10-31,,CHI,L,88,118,87,116.6,101.2,0.219,0.323,0.418,43.7,42.4,11.9,4.8,,0.37,12.5,26.2,0.177,,0.567,16.4,69,0.191
2017,5,5,2016-11-02,,DET,W,109,101,112,103.8,97.3,0.224,0.355,0.653,54.2,65.9,10.3,4.8,,0.625,18.5,15.2,0.184,,0.472,11.8,80,0.205
2017,6,6,2016-11-04,,CHO,L,95,99,92.3,96.2,103,0.241,0.414,0.494,48.4,57.1,11.7,7.1,,0.454,13.5,14.3,0.184,,0.477,14.2,84.8,0.198
