Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-19,@,TOR,L,100,117,99.9,116.9,100.1,0.213,0.36,0.514,44.3,59.5,7,3.7,,0.472,16.3,21.7,0.18,,0.548,15.1,69,0.313
2018,2,2,2017-10-21,,SAS,L,77,87,80.9,91.5,95.1,0.11,0.341,0.448,48,58.1,3.2,6.2,,0.427,18.1,17.4,0.085,,0.414,9.9,74.1,0.108
2018,3,3,2017-10-24,@,CLE,L,112,119,121.7,129.3,92.1,0.148,0.375,0.598,50,66.7,3.3,6.7,,0.574,8.8,20.5,0.125,,0.614,8.9,79.5,0.205
2018,4,4,2017-10-26,,ATL,W,91,86,101.8,96.2,89.4,0.337,0.372,0.461,60.8,64.5,5.6,7.5,,0.401,11.6,35.3,0.256,,0.463,10.3,86.3,0.136
2018,5,5,2017-10-28,,OKC,L,69,101,75.2,110.1,91.7,0.256,0.474,0.397,47.5,72.7,9.8,9.3,,0.346,18,22.6,0.192,,0.517,10.5,76.1,0.114
2018,6,6,2017-11-01,@,MIA,L,91,97,91.3,97.3,99.7,0.213,0.315,0.467,52.9,55.6,7,11.5,,0.444,11,13.5,0.135,,0.482,10.7,94,0.205
2018,7,7,2017-11-03,@,ORL,W,105,83,111.3,88,94.3,0.141,0.341,0.582,55.8,57.5,6.4,3.9,,0.553,13.4,22.5,0.129,,0.465,15.4,84.8,0.035
2018,8,8,2017-11-04,,NOP,L,90,96,87.3,93.1,93.4,0.121,0.424,0.432,52.7,65.7,9.7,8.9,,0.409,14,25.4,0.091,,0.454,11.9,89.4,0.195
2018,9,9,2017-11-07,@,TOR,L,114,119,118.1,123.3,96.5,0.35,0.363,0.617,50,65,10.4,3.6,,0.569,12.3,21.1,0.288,,0.623,14.1,80.6,0.222
2018,10,10,2017-11-10,,IND,L,87,105,89,107.4,97.8,0.097,0.29,0.449,45.7,64.9,10.2,5.5,,0.435,11,20,0.065,,0.583,16.8,82.1,0.083
2018,11,11,2017-11-11,@,SAS,L,94,133,97.3,137.7,96.6,0.151,0.267,0.512,38.9,55,9.3,6.9,,0.5,12.4,12.2,0.093,,0.706,12.4,74.2,0.153
2018,12,12,2017-11-15,@,OKC,L,79,92,89.8,104.6,87.9,0.267,0.387,0.471,44.2,61.5,8,4.8,,0.42,13.4,14,0.213,,0.417,12.8,74.4,0.444
2018,13,13,2017-11-17,,CHO,W,123,120,120.9,118,101.7,0.143,0.374,0.636,45.5,55.3,8.8,3.3,,0.61,10.2,9.8,0.132,,0.58,11.1,86.1,0.321
2018,14,14,2017-11-19,@,PHO,L,105,113,103.5,111.4,101.5,0.139,0.356,0.49,49.5,47.6,4.9,1.6,,0.475,9.3,23.5,0.089,,0.545,10.8,79.5,0.18
2018,15,15,2017-11-21,@,LAL,L,94,103,95.8,105,98.1,0.17,0.383,0.465,50.5,61.1,4.1,8,,0.441,12.2,26.8,0.117,,0.472,10.6,76.5,0.2
2018,16,16,2017-11-22,@,UTA,L,80,110,86.9,119.5,92.1,0.256,0.269,0.461,48.9,51.7,3.3,2,,0.404,15.6,17.8,0.218,,0.547,6.9,81.4,0.186
2018,17,17,2017-11-24,@,GSW,L,94,143,90.8,138.1,103.6,0.152,0.364,0.445,44.9,51.4,6.8,3.6,,0.419,12.4,23.2,0.111,,0.67,9.9,81.8,0.231
2018,18,18,2017-11-26,,MIA,L,93,100,95.2,102.4,97.7,0.18,0.371,0.484,51.1,75.8,10.2,4.7,,0.449,11.9,13.7,0.146,,0.54,12.4,97.6,0.253
2018,19,19,2017-11-28,,PHO,L,99,104,102.7,107.8,96.4,0.106,0.426,0.503,41.8,71.1,11.4,12.3,,0.489,8.4,17,0.074,,0.5,13.4,71.1,0.195
2018,20,20,2017-11-30,@,DEN,L,110,111,115.3,116.4,95.4,0.256,0.293,0.603,47.6,56.8,4.2,7.7,,0.591,10.8,15.4,0.159,,0.53,11,75.6,0.277
2018,21,21,2017-12-01,,SAC,L,106,107,113.2,114.3,93.6,0.144,0.4,0.554,46.9,71.4,8.5,3,,0.539,7.7,18.6,0.1,,0.565,11.6,78.9,0.129
2018,22,22,2017-12-04,,CLE,L,91,113,101.4,125.9,89.7,0.22,0.415,0.506,48.3,61.8,4.5,11.1,,0.47,10.9,19.6,0.171,,0.599,7.3,86.8,0.198
2018,23,23,2017-12-06,@,IND,L,96,98,101.7,103.8,94.4,0.193,0.313,0.533,54.1,46.2,3.2,9.4,,0.53,15.1,25.6,0.096,,0.517,12.5,83.3,0.092
2018,24,24,2017-12-08,@,CHO,W,119,111,104.6,97.5,103.1,0.222,0.182,0.547,52.8,47.9,4.4,9.9,,0.515,11.4,12.8,0.172,,0.45,8.9,84.7,0.21
2018,25,25,2017-12-09,,NYK,W,104,102,106.7,104.6,97.5,0.28,0.305,0.564,50,66.7,10.3,10.4,,0.555,13.2,20,0.159,,0.511,12.8,80,0.099
2018,26,26,2017-12-11,,BOS,W,108,85,119.9,94.4,90,0.309,0.358,0.587,50,59,10,7,,0.556,8,22.2,0.222,,0.458,14.4,76.6,0.108
2018,27,27,2017-12-13,,UTA,W,103,100,100.8,97.9,102.2,0.226,0.183,0.504,48.9,51.2,8.8,4.9,,0.478,8.1,17.3,0.151,,0.511,14.5,88.1,0.077
2018,28,28,2017-12-15,@,MIL,W,115,109,118.2,112,97.3,0.407,0.256,0.567,53.8,57.1,8.2,0,,0.535,10.6,29.2,0.267,,0.536,10.3,80,0.241
2018,29,29,2017-12-18,,PHI,W,117,115,108.2,106.3,108.2,0.207,0.304,0.583,45.3,61.4,8.3,12.1,,0.549,13,11.6,0.174,,0.56,16.8,79.1,0.143
2018,30,30,2017-12-20,,ORL,W,112,94,115.8,97.2,96.7,0.159,0.375,0.595,59.3,70.5,6.2,12.9,,0.563,10.5,23.7,0.148,,0.421,8.3,87.5,0.213
2018,31,31,2017-12-21,@,CLE,L,112,115,118.7,121.9,94.4,0.094,0.365,0.633,50,72.3,8.5,1.9,,0.624,11.9,15.2,0.071,,0.585,11.6,81.1,0.232
2018,32,32,2017-12-23,@,BOS,L,92,117,94.7,120.4,97.2,0.291,0.221,0.474,52.6,70.6,4.1,3.3,,0.436,13.4,24,0.198,,0.543,4.7,83,0.185
2018,33,33,2017-12-26,@,MIL,W,115,106,111.9,103.2,102.7,0.243,0.272,0.504,53.4,57.8,10.7,5.8,,0.485,5,28.8,0.146,,0.53,15.4,88.9,0.217
2018,34,34,2017-12-27,,NYK,W,92,87,90.5,85.5,101.7,0.186,0.326,0.494,49.5,65.7,8.8,4.4,,0.465,13.9,8.3,0.14,,0.429,11,86.8,0.099
2018,35,35,2017-12-29,,IND,W,119,107,121.7,109.4,97.8,0.176,0.459,0.65,48.2,72.1,6.1,5.6,,0.612,14.1,17.9,0.176,,0.5,8.9,75,0.151
2018,36,36,2017-12-31,@,WAS,L,110,114,111.5,115.5,98.7,0.239,0.38,0.541,49.5,57.1,6.1,1.8,,0.5,10.6,22.2,0.196,,0.548,9.1,75,0.129
2018,37,37,2018-01-01,,POR,L,120,124,111,114.7,97.9,0.221,0.26,0.526,53.7,62.2,4.6,9.3,,0.486,9.5,28.3,0.183,,0.5,6.5,78.2,0.148
2018,38,38,2018-01-03,,TOR,L,115,124,111.6,120.3,103.1,0.204,0.355,0.567,46.7,67.4,4.9,3.7,,0.532,11.4,17.6,0.172,,0.571,9.9,82.9,0.207
2018,39,39,2018-01-05,@,DAL,W,127,124,124.2,121.3,102.2,0.41,0.359,0.69,55.3,56.8,8.8,5,,0.654,16.4,22.9,0.321,,0.609,11.6,82.9,0.13
2018,40,40,2018-01-06,@,IND,L,86,125,91.7,133.3,93.8,0.25,0.4,0.484,41,50,4.3,10.9,,0.438,15.3,18.8,0.2,,0.645,11.3,71.4,0.163
2018,41,41,2018-01-08,,HOU,L,107,116,107,116,100,0.209,0.326,0.57,42,65,6,15.6,,0.535,10.5,7,0.174,,0.57,14.2,75.6,0.209
2018,42,42,2018-01-10,@,NYK,W,122,119,110.1,107.4,91.7,0.204,0.337,0.571,48.5,46.7,9,6.8,,0.536,13,20,0.173,,0.552,14.6,77.6,0.135
2018,43,43,2018-01-13,,DET,W,107,105,111.7,109.7,95.8,0.103,0.414,0.588,47.1,64.3,10.4,12.7,,0.58,13.3,15.8,0.069,,0.511,10.9,72.3,0.12
