Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,@,DET,L,90,102,91.4,103.6,98.5,0.397,0.411,0.525,50,55.2,4.1,4.3,,0.459,16.5,7.3,0.315,,0.474,7.3,83,0.115
2018,2,2,2017-10-20,,ATL,W,109,91,103.4,86.3,105.4,0.349,0.419,0.549,60,45.9,4.7,6.2,,0.494,17.5,27.3,0.279,,0.416,11.4,88.2,0.126
2018,3,3,2017-10-23,@,MIL,L,94,103,96.4,105.7,97.5,0.462,0.333,0.501,53.3,51.5,3.1,8.5,,0.468,13,21.3,0.269,,0.524,12.4,88.4,0.165
2018,4,4,2017-10-25,,DEN,W,110,93,113.9,96.3,96.6,0.321,0.383,0.595,49.5,44.7,5.2,7.2,,0.549,13.2,23.3,0.259,,0.42,10.9,69,0.09
2018,5,5,2017-10-27,,HOU,L,93,109,96.5,113.1,96.4,0.318,0.33,0.464,46.3,48.5,6.2,17.9,,0.438,8.2,20,0.182,,0.576,14.2,82.5,0.129
2018,6,6,2017-10-29,,ORL,W,120,113,111.1,104.6,108.1,0.175,0.186,0.574,60.2,58.5,5.6,10.9,,0.577,14,28.6,0.082,,0.479,9.2,83.9,0.206
2018,7,7,2017-10-30,@,MEM,W,104,99,103.8,98.8,100.2,0.326,0.191,0.511,53.8,40.5,3,12.1,,0.455,9.8,21.3,0.258,,0.387,6.1,80.7,0.29
2018,8,8,2017-11-01,,MIL,W,126,121,126.2,121.2,99.8,0.345,0.298,0.651,50.6,46.7,5,5.5,,0.619,10.2,18.4,0.262,,0.599,12.5,79.1,0.132
2018,9,9,2017-11-03,@,SAS,L,101,108,102,109.1,99,0.525,0.3,0.513,50.5,48.5,11.1,1.8,,0.463,10.9,22.4,0.338,,0.524,13.7,83.3,0.253
2018,10,10,2017-11-05,@,MIN,L,94,112,96.4,114.9,97.5,0.236,0.315,0.478,42.6,64.9,8.2,5.1,,0.466,10.1,19.2,0.124,,0.518,14.3,71.4,0.313
2018,11,11,2017-11-07,@,NYK,L,113,118,122.7,128.1,92.1,0.187,0.407,0.574,53.3,57.1,8.7,4,,0.544,11.7,37,0.154,,0.68,16,79.3,0.213
2018,12,12,2017-11-10,@,BOS,L,87,90,88.9,91.9,97.9,0.413,0.275,0.46,49,64.5,5.1,13.2,,0.425,12.9,14.9,0.238,,0.411,12,81.6,0.25
2018,13,13,2017-11-15,,CLE,L,107,115,107.7,115.7,99.4,0.326,0.302,0.544,44.6,51.2,7,8.8,,0.512,11.7,18.6,0.221,,0.511,11.1,67.3,0.189
2018,14,14,2017-11-17,@,CHI,L,120,123,118,120.9,101.7,0.42,0.259,0.625,54.5,45.2,2.9,3.5,,0.58,11.1,13.9,0.321,,0.61,10.2,90.2,0.132
2018,15,15,2017-11-18,,LAC,W,102,87,105.5,90,96.7,0.333,0.299,0.511,52.7,58.8,7.2,16.7,,0.454,7.4,17.8,0.264,,0.446,13.3,85.4,0.157
2018,16,16,2017-11-20,,MIN,W,118,102,118.1,102,100,0.341,0.306,0.604,57.8,52.4,5,11.1,,0.559,14.8,28.2,0.271,,0.444,9,80.4,0.244
2018,17,17,2017-11-22,,WAS,W,129,124,122,117.3,95.7,0.44,0.308,0.594,52.7,53.5,4.7,7.6,,0.527,9.2,29.2,0.363,,0.54,9.9,79.1,0.172
2018,18,18,2017-11-24,@,CLE,L,99,100,101.5,102.5,97.6,0.287,0.309,0.468,55,69.4,4.1,6.8,,0.441,7.8,26.3,0.17,,0.536,11.8,93,0.133
2018,19,19,2017-11-25,,SAS,L,86,106,93.1,114.7,92.4,0.31,0.298,0.451,48.3,64.5,7.6,7.1,,0.393,12.8,27.5,0.238,,0.519,10.7,77.8,0.272
2018,20,20,2017-11-29,@,TOR,L,113,126,116.6,130,96.9,0.443,0.241,0.599,48,70.3,6.2,3,,0.525,11.3,20,0.38,,0.602,8,72.5,0.082
2018,21,21,2017-12-01,@,MIA,L,100,105,101.2,106.2,98.9,0.266,0.253,0.567,50.6,55.3,9.1,11.1,,0.513,20,25,0.241,,0.575,19,76.9,0.163
2018,22,22,2017-12-04,,ORL,W,104,94,102.2,92.4,101.7,0.476,0.202,0.512,56.5,50,12.8,10,,0.423,12.1,23.9,0.393,,0.5,18.5,89.1,0.146
2018,23,23,2017-12-06,,GSW,L,87,101,90,104.4,96.7,0.175,0.196,0.416,51,50,5.2,5.6,,0.381,10.3,26.4,0.134,,0.542,14.3,81.4,0.119
2018,24,24,2017-12-08,,CHI,L,111,119,97.5,104.6,103.1,0.29,0.29,0.492,47.2,55,6.2,13.6,,0.45,8.9,15.3,0.21,,0.515,11.4,87.2,0.172
2018,25,25,2017-12-09,,LAL,L,99,110,99,110,100,0.151,0.269,0.499,48.3,51.2,7,5.2,,0.484,10,18.4,0.097,,0.559,12.9,85,0.176
2018,26,26,2017-12-11,@,OKC,W,116,103,123.4,109.6,94,0.296,0.309,0.633,51.3,51.2,7.4,6.8,,0.611,11.6,24.3,0.21,,0.465,12.7,74.4,0.282
2018,27,27,2017-12-13,@,HOU,L,96,108,97.8,110.1,98.1,0.31,0.241,0.485,55.4,38.9,4.1,11.6,,0.437,10.8,23.5,0.23,,0.54,9.4,88,0.148
2018,28,28,2017-12-15,,MIA,L,98,104,101.3,107.5,96.7,0.325,0.325,0.516,50,61.8,7.2,2.1,,0.47,14.4,21.7,0.241,,0.571,15.8,86.1,0.192
2018,29,29,2017-12-16,,POR,L,91,93,91.8,93.8,99.1,0.292,0.323,0.42,52,54.5,9.1,5.5,,0.38,5.2,23.6,0.188,,0.532,18.7,88.4,0.114
2018,30,30,2017-12-18,,NYK,W,109,91,110.3,92.1,98.8,0.182,0.227,0.573,56,69.8,10.1,8.8,,0.54,16.7,30.8,0.159,,0.436,15.2,77.8,0.186
2018,31,31,2017-12-20,,TOR,L,111,129,109.6,127.3,101.3,0.412,0.271,0.553,47.6,53.8,9.9,10.3,,0.5,10.7,19.5,0.306,,0.626,12.4,75.6,0.165
2018,32,32,2017-12-22,@,MIL,L,104,109,109.8,115.1,94.7,0.193,0.295,0.545,50,53.8,4.2,12.1,,0.511,8.6,19.6,0.159,,0.517,6.7,85,0.218
2018,33,33,2017-12-23,,MIL,W,111,106,116.4,111.2,95.3,0.541,0.284,0.606,55.1,61.1,2.1,11.5,,0.547,14.9,24.3,0.405,,0.529,8.7,82.9,0.161
2018,34,34,2017-12-27,,BOS,L,91,102,100.5,112.7,90.5,0.333,0.264,0.456,54.7,46.9,7.7,6.8,,0.408,9.9,33.9,0.23,,0.571,15.2,84.6,0.167
2018,35,35,2017-12-29,@,GSW,W,111,100,111.9,100.9,99.2,0.382,0.225,0.534,52.2,65.9,12.1,9.2,,0.494,8.8,27.1,0.258,,0.506,15.5,81,0.138
2018,36,36,2017-12-31,@,LAC,L,98,106,100.2,108.3,97.9,0.204,0.355,0.483,52.8,63.9,10.2,6.3,,0.446,14.4,29.4,0.161,,0.539,15.4,84.2,0.316
2018,37,37,2018-01-02,@,SAC,W,131,111,141.5,119.9,92.6,0.202,0.36,0.676,39,49,7.6,4.3,,0.657,3,13.9,0.157,,0.557,13.6,61,0.161
2018,38,38,2018-01-05,@,LAL,W,108,94,107.5,93.6,100.4,0.162,0.333,0.509,54.9,61.9,10,5.2,,0.485,11.7,32,0.121,,0.452,13.9,76.9,0.096
2018,39,39,2018-01-10,,DAL,L,111,115,110.2,114.2,100.7,0.357,0.31,0.571,52.4,37.2,6,10.6,,0.571,10.2,10,0.179,,0.56,7.7,92.9,0.265
2018,40,40,2018-01-12,,UTA,W,99,88,106.5,94.7,93,0.436,0.346,0.532,50.5,53.1,8.6,4.8,,0.468,11.4,17.8,0.333,,0.442,13.8,82.6,0.26
2018,41,41,2018-01-13,,OKC,L,91,101,95.6,106.1,95.2,0.277,0.337,0.489,46.7,48.5,3.2,9.9,,0.452,13.1,19.1,0.193,,0.443,7.8,68.3,0.155
2018,42,42,2018-01-15,@,DET,W,118,107,114.4,103.7,103.2,0.393,0.25,0.599,56.3,48.8,8.7,7,,0.571,13.2,20.5,0.262,,0.576,15,93,0.093
2018,43,43,2018-01-17,,WAS,W,133,109,131.6,107.8,101.1,0.265,0.316,0.608,55.1,56.3,9.9,8.5,,0.566,7.6,28.3,0.224,,0.567,14.8,83.7,0.195
2018,44,44,2018-01-20,,MIA,L,105,106,108.5,109.6,96.8,0.233,0.3,0.529,47.8,53.7,9.3,13.6,,0.494,6.6,17,0.178,,0.569,13.2,81.4,0.08
2018,45,45,2018-01-22,,SAC,W,112,107,114.5,109.4,97.8,0.291,0.465,0.577,53.3,57.9,4.1,13.3,,0.535,13.4,25.6,0.233,,0.495,6.3,78.7,0.113
2018,46,46,2018-01-24,,NOP,L,96,101,96,101,100,0.365,0.247,0.487,53.8,44.4,5,9.8,,0.459,12.4,22.7,0.212,,0.5,13.6,83,0.161
2018,47,47,2018-01-26,,ATL,W,121,110,120.5,109.5,100.4,0.364,0.386,0.593,52.4,62.5,12.9,16.3,,0.528,9.7,25,0.318,,0.563,18.2,84.2,0.266
2018,48,48,2018-01-27,@,MIA,L,91,95,99.3,103.6,91.7,0.417,0.286,0.458,47.4,41.4,6.5,10.2,,0.375,6.6,23.1,0.333,,0.494,11.4,75.6,0.129
2018,49,49,2018-01-29,@,IND,L,96,105,102.8,112.4,93.4,0.241,0.373,0.523,51.3,48.6,5.4,3.2,,0.5,14.8,25.6,0.157,,0.578,12,82.9,0.108
2018,50,50,2018-01-31,@,ATL,W,123,110,135.2,120.9,91,0.2,0.356,0.628,59.2,63,6.6,2.2,,0.606,9.3,32.4,0.156,,0.584,9.4,88.2,0.26
2018,51,51,2018-02-02,,IND,W,133,126,133.4,126.4,99.7,0.41,0.398,0.679,58.1,61.4,5,3.4,,0.62,13.3,31.4,0.361,,0.575,10,82.1,0.299
2018,52,52,2018-02-04,@,PHO,W,115,110,115.7,110.7,99.4,0.302,0.396,0.529,52.4,60,12.1,12.5,,0.469,6.9,26,0.26,,0.63,18.7,93.8,0.169
2018,53,53,2018-02-05,@,DEN,L,104,121,113.3,131.8,91.8,0.312,0.338,0.594,46.8,53.8,7.6,2.1,,0.578,10.3,12.2,0.195,,0.679,11.3,86.1,0.136
2018,54,54,2018-02-08,@,POR,L,103,109,96.6,102.3,96.5,0.173,0.337,0.488,43.6,44.7,9.4,5.1,,0.454,9.4,12.7,0.143,,0.506,14.6,80.4,0.2
2018,55,55,2018-02-09,@,UTA,L,94,106,100.3,113.1,93.8,0.224,0.282,0.503,40.2,48.6,8.5,3.6,,0.465,7,10.6,0.176,,0.548,11.6,80,0.167
2018,56,56,2018-02-11,,TOR,L,103,123,106,126.6,97.1,0.258,0.258,0.52,51.2,68.4,5.1,10,,0.483,11.6,24.4,0.191,,0.667,11.6,83.8,0.08
