Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-17,,BOS,W,102,99,102.7,99.7,99.3,0.301,0.265,0.543,52.1,50,3,7.1,,0.488,15.3,19.6,0.253,,0.455,9.2,82,0.216
2018,2,2,2017-10-20,@,MIL,W,116,97,125.2,104.7,92.7,0.21,0.321,0.656,59.5,56.8,8.6,6.4,,0.611,16.1,29,0.21,,0.53,13.8,81.4,0.122
2018,3,3,2017-10-21,,ORL,L,93,114,95,116.4,97.9,0.314,0.291,0.475,46.8,45.5,4.1,12.7,,0.424,14,22.4,0.233,,0.539,10.8,73.3,0.189
2018,4,4,2017-10-24,,CHI,W,119,112,129.3,121.7,92.1,0.265,0.458,0.642,50,65.1,5.4,5.5,,0.614,8.9,20.5,0.205,,0.574,8.8,79.5,0.125
2018,5,5,2017-10-25,@,BRK,L,107,112,105.4,110.3,101.5,0.321,0.432,0.579,55.3,53.8,4.9,14.9,,0.556,18.5,24.3,0.21,,0.522,10.5,79.2,0.161
2018,6,6,2017-10-28,@,NOP,L,101,123,100.7,122.7,100.3,0.295,0.41,0.573,44,52.8,8,3.2,,0.538,17,11.9,0.218,,0.584,9.7,76.2,0.126
2018,7,7,2017-10-29,,NYK,L,95,114,96,115.2,99,0.333,0.407,0.511,44.6,64.5,5.1,8.2,,0.444,13.9,14.9,0.284,,0.545,12.5,75.6,0.191
2018,8,8,2017-11-01,,IND,L,107,124,107.5,124.6,99.5,0.233,0.36,0.564,48.8,58.1,6,4.7,,0.541,14.4,18.6,0.163,,0.633,10.3,80.5,0.111
2018,9,9,2017-11-03,@,WAS,W,130,122,129.8,121.8,100.2,0.341,0.329,0.689,47.9,43.5,11,7.1,,0.634,12.9,22.2,0.317,,0.601,14.1,74.3,0.25
2018,10,10,2017-11-05,,ATL,L,115,117,112.5,114.5,102.2,0.24,0.375,0.542,51.6,64.3,5.9,9.8,,0.49,10.9,31.3,0.219,,0.541,14.4,74.4,0.279
2018,11,11,2017-11-07,,MIL,W,124,119,128.7,123.6,96.3,0.463,0.22,0.628,52,43.9,7.3,7.5,,0.555,10.8,30,0.402,,0.645,15.1,77.1,0.145
2018,12,12,2017-11-09,@,HOU,L,113,117,116.5,120.6,97,0.173,0.333,0.648,36.6,53.3,9.3,3.2,,0.63,17.1,12.5,0.136,,0.571,19.2,56.4,0.377
2018,13,13,2017-11-11,@,DAL,W,111,104,110.4,103.4,100.6,0.432,0.383,0.576,55.8,51.4,8,5.2,,0.506,15,23.3,0.358,,0.478,9,82.7,0.174
2018,14,14,2017-11-13,@,NYK,W,104,101,104,101,100,0.25,0.511,0.532,49.5,60,7,11.1,,0.489,17,28,0.205,,0.477,14.8,72.3,0.193
2018,15,15,2017-11-15,@,CHO,W,115,107,115.7,107.7,99.4,0.211,0.4,0.554,55.4,59.5,9.1,6.7,,0.511,11.1,32.7,0.189,,0.512,11.7,81.4,0.221
2018,16,16,2017-11-17,,LAC,W,118,113,108.3,103.8,98.6,0.322,0.367,0.574,48.1,57.1,8.3,5.9,,0.528,12.7,16,0.256,,0.495,12.1,76.8,0.107
2018,17,17,2017-11-20,@,DET,W,116,88,130.4,98.9,89,0.213,0.413,0.663,55.3,66.7,4.5,4.3,,0.625,11.2,20.6,0.2,,0.526,14.5,83.3,0.091
2018,18,18,2017-11-22,,BRK,W,119,109,121.6,111.3,97.9,0.329,0.415,0.634,44,48.8,8.2,4.5,,0.61,9.6,10.5,0.232,,0.605,17.8,78.4,0.136
2018,19,19,2017-11-24,,CHO,W,100,99,102.5,101.5,97.6,0.181,0.47,0.558,45,65.8,4.1,10.8,,0.536,11.8,7,0.133,,0.441,7.8,73.7,0.17
2018,20,20,2017-11-27,@,PHI,W,113,91,123.1,99.1,91.8,0.233,0.43,0.596,46.5,61,7.6,4.4,,0.564,10.4,26.2,0.186,,0.391,10.3,61.4,0.167
2018,21,21,2017-11-28,,MIA,W,108,97,110.1,98.9,98.1,0.284,0.407,0.593,51.7,52.5,12.2,3.8,,0.562,12.5,12.8,0.21,,0.5,13.9,83.3,0.155
2018,22,22,2017-11-30,@,ATL,W,121,114,127,119.6,95.3,0.342,0.494,0.666,58,73.2,9.4,10.4,,0.633,17.3,36.4,0.266,,0.595,16,77.8,0.253
2018,23,23,2017-12-02,,MEM,W,116,111,123.8,118.5,93.7,0.307,0.32,0.681,46.3,57.1,8.5,11.5,,0.633,10.5,3.2,0.28,,0.589,11.7,83.3,0.143
2018,24,24,2017-12-04,@,CHI,W,113,91,125.9,101.4,89.7,0.21,0.444,0.639,51.7,52.4,6.7,4.2,,0.599,7.3,13.2,0.198,,0.47,10.9,80.4,0.171
2018,25,25,2017-12-06,,SAC,W,101,95,107.8,101.4,93.7,0.269,0.5,0.579,48.9,75.7,5.3,5.6,,0.564,14.7,16.3,0.167,,0.512,11.6,80,0.081
2018,26,26,2017-12-08,@,IND,L,102,106,110.1,114.4,92.6,0.259,0.424,0.539,47.3,62.2,4.3,8.5,,0.5,10.4,19.6,0.2,,0.529,7.7,74.5,0.174
2018,27,27,2017-12-09,,PHI,W,105,98,111.4,103.9,94.3,0.333,0.387,0.61,45.8,72.2,12.7,4.4,,0.573,16.5,15.8,0.253,,0.545,18.5,79.4,0.167
2018,28,28,2017-12-12,,ATL,W,123,114,129.5,120,95,0.116,0.442,0.68,50,72.9,5.3,3.6,,0.674,12.6,18.2,0.081,,0.554,9.3,75.6,0.13
2018,29,29,2017-12-14,,LAL,W,121,112,119.7,110.8,101.1,0.291,0.419,0.624,44.3,74.4,9.9,7.8,,0.587,12.6,19.5,0.233,,0.542,15.1,66,0.095
2018,30,30,2017-12-16,,UTA,W,109,100,124.2,113.9,87.8,0.215,0.278,0.63,51.9,71.4,10.3,2.1,,0.595,12.2,22.9,0.19,,0.562,12.1,75,0.111
2018,31,31,2017-12-17,@,WAS,W,106,99,112.6,105.1,94.2,0.138,0.391,0.574,45.2,58.5,6.4,6.9,,0.552,8,9.5,0.115,,0.495,9.3,74.5,0.099
2018,32,32,2017-12-19,@,MIL,L,116,119,119.6,122.7,97,0.3,0.513,0.64,48.1,65,9.3,5.7,,0.6,13.4,17.9,0.25,,0.591,13,78.9,0.268
2018,33,33,2017-12-21,,CHI,W,115,112,121.9,118.7,94.4,0.268,0.354,0.627,50,59.5,10.6,5.6,,0.585,11.6,18.9,0.232,,0.624,11.9,84.8,0.071
2018,34,34,2017-12-25,@,GSW,L,92,99,100.8,108.5,91.3,0.284,0.409,0.465,51.5,42.9,8.8,0,,0.403,12.4,33.9,0.239,,0.524,14.4,75.6,0.159
2018,35,35,2017-12-27,@,SAC,L,95,109,107.6,123.4,88.3,0.338,0.419,0.559,48.1,59.4,10.2,8.2,,0.514,11.5,17.5,0.257,,0.595,11.2,81.1,0.19
2018,36,36,2017-12-30,@,UTA,L,101,104,104.9,108,96.3,0.321,0.494,0.546,51.7,58.8,6.2,9.8,,0.494,14,19.1,0.259,,0.524,10.8,88.1,0.22
2018,37,37,2018-01-02,,POR,W,127,110,129.2,111.9,98.3,0.446,0.386,0.64,48.2,65.1,11.2,6.9,,0.596,9.2,21.1,0.337,,0.539,13.2,71.1,0.144
2018,38,38,2018-01-03,@,BOS,L,88,102,87.7,101.7,100.3,0.202,0.36,0.454,48,51.6,6,12.5,,0.393,12.6,17.3,0.202,,0.511,13.4,81.3,0.087
2018,39,39,2018-01-06,@,ORL,W,131,127,120.4,116.7,108.8,0.33,0.362,0.609,49.5,53.2,10.1,3.3,,0.58,13.6,30.4,0.234,,0.571,15,68.9,0.153
2018,40,40,2018-01-08,@,MIN,L,99,127,104.5,134.1,94.7,0.19,0.452,0.544,39.8,70.3,0,5.8,,0.518,12.5,16.3,0.143,,0.57,4.4,65.9,0.13
2018,41,41,2018-01-11,@,TOR,L,99,133,100.4,134.9,98.6,0.337,0.292,0.484,35.7,52.9,3,6.3,,0.416,8.1,16.7,0.281,,0.585,7.5,59.1,0.085
2018,42,42,2018-01-12,@,IND,L,95,97,99.6,101.7,95.3,0.224,0.4,0.509,51.1,51.4,12.6,7.8,,0.476,10.5,19.1,0.165,,0.518,13.4,86,0.106
2018,43,43,2018-01-15,,GSW,L,108,118,106.4,116.3,101.5,0.234,0.298,0.521,47.3,60.5,8.9,9.4,,0.495,12.6,25.5,0.16,,0.553,14,70.5,0.282
2018,44,44,2018-01-18,,ORL,W,104,103,103.9,102.9,100.1,0.318,0.4,0.537,52.3,57.9,8,6.1,,0.506,17.1,29.8,0.212,,0.494,12.6,78,0.182
2018,45,45,2018-01-20,,OKC,L,124,148,113.8,135.8,109,0.303,0.416,0.615,35,69.6,6.4,5.7,,0.573,12.9,7.7,0.247,,0.65,10.4,61,0.18
2018,46,46,2018-01-23,@,SAS,L,102,114,106.3,118.8,96,0.431,0.292,0.596,47.7,54.3,6.3,4.5,,0.528,17.4,15.8,0.361,,0.543,8.2,72.9,0.128
2018,47,47,2018-01-26,,IND,W,115,108,114.5,107.5,100.5,0.159,0.451,0.655,54.3,58.7,12.9,6.7,,0.64,18.6,21.6,0.122,,0.544,14.3,81.8,0.099
2018,48,48,2018-01-28,,DET,W,121,104,123.1,105.8,98.3,0.313,0.422,0.641,51.1,64.3,2,5.1,,0.596,9.6,10,0.265,,0.495,5.6,85.4,0.105
2018,49,49,2018-01-30,@,DET,L,114,125,108.8,119.3,104.8,0.381,0.417,0.581,46.6,63.2,1.9,7.1,,0.53,13.3,15.2,0.298,,0.575,8.7,81,0.194
2018,50,50,2018-01-31,,MIA,W,91,89,87.1,85.2,104.5,0.475,0.325,0.47,46.4,64.3,8.6,9.1,,0.388,14.2,13.2,0.363,,0.452,16.8,86.4,0.169
2018,51,51,2018-02-03,,HOU,L,88,120,88.1,120.1,99.9,0.184,0.345,0.468,47,64.7,4,7.1,,0.437,10.5,9.6,0.138,,0.575,7.4,87.5,0.14
2018,52,52,2018-02-06,@,ORL,L,98,116,101.5,120.1,96.6,0.238,0.44,0.528,41.9,52.8,4.1,6.1,,0.5,13.1,19.1,0.167,,0.557,10.7,69.2,0.205
2018,53,53,2018-02-07,,MIN,W,140,138,133.6,131.7,94.9,0.261,0.466,0.713,53.9,63.5,4.8,1.7,,0.71,13.3,18.4,0.17,,0.683,10.1,89.5,0.118
2018,54,54,2018-02-09,@,ATL,W,123,107,126.7,110.2,97.1,0.279,0.407,0.637,50.6,67.4,8.2,10.3,,0.622,8.5,14.3,0.186,,0.542,11.6,86,0.205
2018,55,55,2018-02-11,@,BOS,W,121,99,124.9,102.2,96.9,0.238,0.357,0.652,48.8,48.9,7.2,11.8,,0.631,10.6,14.3,0.179,,0.461,12.4,73.5,0.191
2018,56,56,2018-02-13,@,OKC,W,120,112,130.1,121.4,92.2,0.25,0.409,0.614,44.6,53.3,6.5,5.5,,0.602,6.7,23.3,0.159,,0.506,8,63.3,0.233
2018,57,57,2018-02-22,,WAS,L,103,110,107.3,114.6,96,0.226,0.417,0.558,45.6,47.6,5.2,3.2,,0.548,12.3,15,0.131,,0.543,9.4,76.9,0.109
2018,58,58,2018-02-23,@,MEM,W,112,89,106.3,84.5,105.4,0.253,0.333,0.579,55.4,65,12.3,15,,0.523,15.7,17.9,0.241,,0.446,18.6,88.6,0.167
2018,59,59,2018-02-25,,SAS,L,94,110,97.9,114.6,96,0.154,0.374,0.484,51.6,47.4,8.3,4.5,,0.462,13.4,27.7,0.11,,0.494,8.3,77.3,0.291
2018,60,60,2018-02-27,,BRK,W,129,123,124.6,118.8,103.5,0.278,0.247,0.592,60.4,48,6.8,2,,0.577,9.2,29.8,0.175,,0.61,11.2,93.2,0.28
2018,61,61,2018-03-01,,PHI,L,97,108,102.8,114.4,94.4,0.264,0.368,0.499,45.5,63.9,4.2,10,,0.466,8.5,20,0.184,,0.5,8.1,71.4,0.2
2018,62,62,2018-03-03,,DEN,L,117,126,125.7,135.4,93,0.239,0.273,0.602,53.9,54.3,5.4,3.9,,0.574,8.5,29.3,0.182,,0.657,8.9,82.9,0.151
2018,63,63,2018-03-05,,DET,W,112,90,117,94,95.7,0.193,0.375,0.587,57,67.4,8.4,3.8,,0.557,12.8,25.6,0.159,,0.46,10.5,84,0.115
2018,64,64,2018-03-07,@,DEN,W,113,108,115.7,110.5,97.7,0.207,0.333,0.595,40.7,56.8,10.2,6.8,,0.58,9.5,15.9,0.138,,0.547,18.3,66.7,0.163
2018,65,65,2018-03-09,@,LAC,L,102,116,103.4,117.6,98.6,0.207,0.414,0.537,43.5,56.4,10.1,11.5,,0.517,11.2,17,0.138,,0.545,11.3,71.1,0.213
2018,66,66,2018-03-11,@,LAL,L,113,127,112,125.8,100.9,0.261,0.352,0.576,42,53.7,4,8.1,,0.534,10.9,15.9,0.216,,0.568,11,68.2,0.188
2018,67,67,2018-03-13,@,PHO,W,129,107,114.1,94.6,113.1,0.345,0.402,0.644,48.4,58.1,10.6,13.6,,0.592,15.9,12.2,0.299,,0.418,13.9,78,0.255
