Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,,ATL,L,111,117,112.6,118.7,98.6,0.244,0.523,0.583,45.1,71.1,5.1,5.3,,0.541,13.6,20,0.209,,0.559,11.4,69.6,0.128
2018,2,2,2017-10-20,,SAC,L,88,93,100.2,105.9,87.9,0.28,0.44,0.522,38.7,61.3,9.1,10.9,,0.487,12.5,14.6,0.2,,0.483,13.1,64.4,0.103
2018,3,3,2017-10-21,@,HOU,L,91,107,94.4,111,96.4,0.25,0.369,0.488,43.2,61.3,6.2,0,,0.446,13.1,14.8,0.19,,0.543,12.4,80.5,0.22
2018,4,4,2017-10-23,,GSW,L,103,133,100.2,129.4,102.8,0.313,0.302,0.472,45.7,55.3,10.7,0,,0.443,9.9,25.9,0.188,,0.645,14.1,73.7,0.256
2018,5,5,2017-10-25,,MEM,W,103,94,112.2,102.4,91.8,0.392,0.351,0.594,49.3,55.6,6.5,9.8,,0.561,11.3,11.8,0.27,,0.542,17.1,83.8,0.222
2018,6,6,2017-10-26,@,MEM,L,91,96,96.9,102.2,93.9,0.213,0.362,0.443,53.5,62.5,10.6,7.7,,0.394,12,32.7,0.181,,0.479,17.3,79.5,0.356
2018,7,7,2017-10-28,,PHI,L,110,112,116.9,119,94.1,0.257,0.541,0.668,44,57.9,7.4,3.8,,0.642,17.1,8.8,0.203,,0.586,12.2,73.2,0.115
2018,8,8,2017-10-30,@,UTA,L,89,104,94.8,110.8,93.8,0.145,0.316,0.55,54.5,50,4.3,6.5,,0.526,22.9,23.7,0.118,,0.568,13.8,84.6,0.148
2018,9,9,2017-11-01,@,LAC,L,98,119,98.6,119.8,99.4,0.225,0.404,0.501,43.7,57.1,8.1,10,,0.461,12.5,17.6,0.18,,0.609,15,80.6,0.308
2018,10,10,2017-11-03,,NOP,L,94,99,92.8,97.8,101.3,0.25,0.386,0.481,47,55.9,4,11.7,,0.438,13.3,17,0.193,,0.444,10.7,80.9,0.225
2018,11,11,2017-11-04,@,MIN,L,99,112,102.7,116.2,96.4,0.14,0.314,0.542,39.2,45,7.3,3.6,,0.523,14.9,15.6,0.105,,0.608,17,70.6,0.203
2018,12,12,2017-11-07,@,WAS,W,113,99,114.3,100.1,98.9,0.22,0.33,0.566,57.6,60.5,6.1,16,,0.533,9.9,23.4,0.176,,0.493,14.4,93.3,0.333
2018,13,13,2017-11-11,,CLE,L,104,111,103.4,110.4,100.6,0.228,0.37,0.514,44.2,53.8,7,6,,0.478,9,17.3,0.174,,0.506,15,76.7,0.358
2018,14,14,2017-11-12,@,OKC,L,99,112,100.1,113.2,98.9,0.207,0.425,0.521,52.6,48.6,9.1,10,,0.489,17.4,24.4,0.161,,0.604,14.8,90.9,0.347
2018,15,15,2017-11-14,,SAS,L,91,97,95.6,101.9,95.2,0.222,0.42,0.512,46,54.5,7.4,7.5,,0.469,14.4,11.4,0.185,,0.481,11.7,81.4,0.266
2018,16,16,2017-11-17,,MIN,L,87,111,96.2,122.8,90.4,0.198,0.442,0.465,46.1,56.3,3.3,5.6,,0.419,10.5,22.9,0.174,,0.542,9.6,73.2,0.238
2018,17,17,2017-11-18,,MIL,W,111,79,120.1,85.5,92.4,0.241,0.481,0.635,56.3,71.1,7.6,4.1,,0.601,15.5,18.9,0.203,,0.419,12,84,0.23
2018,18,18,2017-11-20,,BOS,L,102,110,96.3,103.9,95.9,0.208,0.344,0.487,45.9,46.2,6.6,6.3,,0.443,9.5,14.3,0.177,,0.53,15.1,88.1,0.25
2018,19,19,2017-11-22,@,MEM,W,95,94,96,95,98.9,0.176,0.308,0.484,43.5,59,9.1,3.8,,0.478,7.5,8,0.088,,0.5,16.3,85.7,0.16
2018,20,20,2017-11-25,,OKC,W,97,81,107.7,89.9,90.1,0.147,0.467,0.607,52.4,67.6,12.2,11.1,,0.593,17.6,20.5,0.107,,0.444,16.5,81.4,0.125
2018,21,21,2017-11-27,@,SAS,L,108,115,111,118.2,97.3,0.2,0.376,0.584,48.2,61,7.2,0,,0.565,10.6,9.3,0.141,,0.585,9.9,90,0.232
2018,22,22,2017-11-29,,BRK,L,104,109,106.2,111.3,97.9,0.25,0.321,0.558,45.8,66.7,5.1,4.9,,0.518,10.6,15.6,0.202,,0.528,12.2,72.5,0.156
2018,23,23,2017-12-02,,LAC,W,108,82,120,91.1,90,0.329,0.443,0.597,58.7,66.7,4.4,10.9,,0.557,14.2,35.7,0.253,,0.384,9.4,78,0.186
2018,24,24,2017-12-04,,DEN,W,122,105,131.5,113.2,92.8,0.198,0.302,0.653,46.2,53.1,4.3,10.9,,0.64,7,12.8,0.14,,0.495,6.5,71.2,0.165
2018,25,25,2017-12-06,@,BOS,L,90,97,94.9,102.3,94.8,0.198,0.326,0.481,45.9,55.9,7.4,9.4,,0.448,8.8,12,0.151,,0.483,10.4,81.3,0.149
2018,26,26,2017-12-08,@,MIL,L,102,109,109.6,117.1,93.1,0.347,0.32,0.59,47.4,51.4,6.4,3.6,,0.533,11.3,10.8,0.293,,0.506,9.6,82.1,0.367
2018,27,27,2017-12-10,@,MIN,L,92,97,103.7,109.3,88.7,0.111,0.383,0.541,42.3,62.2,6.8,9.4,,0.525,10.5,14.3,0.086,,0.549,18,75,0.25
2018,28,28,2017-12-12,,SAS,W,95,89,103.1,96.6,92.1,0.135,0.27,0.504,50,44.7,8.7,3.4,,0.478,6,17,0.112,,0.443,9.5,80.4,0.138
2018,29,29,2017-12-14,@,GSW,L,97,112,105.5,121.8,92,0.207,0.354,0.542,43.1,67.6,7.6,1.8,,0.512,10.9,17.8,0.159,,0.673,16.3,85.2,0.09
2018,30,30,2017-12-16,@,SAS,L,96,98,108.2,110.5,88.7,0.113,0.35,0.572,48.1,59,4.5,6.6,,0.55,9.7,11.1,0.1,,0.483,6.9,79.1,0.174
2018,31,31,2017-12-18,,PHO,L,91,97,91.9,98,99,0.193,0.42,0.477,46.2,65.6,10.1,9.3,,0.426,13.6,16,0.182,,0.506,16.9,82.9,0.215
2018,32,32,2017-12-20,,DET,W,110,93,121.3,102.5,90.7,0.267,0.4,0.656,49.3,55,6.6,13.2,,0.627,12.5,11.1,0.213,,0.474,12.2,84.6,0.26
2018,33,33,2017-12-22,@,MIA,L,101,113,121.1,135.4,83.4,0.147,0.467,0.633,38.6,73.7,6,4.3,,0.62,9.1,8.3,0.107,,0.75,12.8,90.5,0.069
2018,34,34,2017-12-23,@,ATL,L,107,112,116,121.5,92.2,0.176,0.388,0.584,44.1,72.1,8.7,5.9,,0.559,9.8,17.9,0.141,,0.627,15,79.3,0.24
2018,35,35,2017-12-26,,TOR,W,98,93,103.3,98,94.9,0.17,0.255,0.485,51.4,50,5.3,18.3,,0.457,11.4,30.2,0.128,,0.388,8.8,71.4,0.27
2018,36,36,2017-12-27,@,IND,W,98,94,109.3,104.8,89.7,0.192,0.372,0.579,47.3,65,7.8,5.6,,0.564,9.6,11.1,0.128,,0.544,16.1,81.6,0.101
2018,37,37,2017-12-29,@,NOP,W,128,120,127.7,119.7,100.2,0.217,0.47,0.704,58.1,58.7,5,7.4,,0.687,14.2,15.6,0.169,,0.541,7.5,90.5,0.329
2018,38,38,2017-12-31,@,OKC,W,116,113,123.3,120.1,94.1,0.157,0.382,0.609,44.4,56.5,5.3,8.8,,0.601,6.9,19,0.101,,0.539,10,71.8,0.191
