Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,@,UTA,L,96,106,101.6,112.2,94.5,0.156,0.351,0.583,51.4,58.3,4.2,5.3,,0.552,19.6,18.9,0.143,,0.562,14.6,83.8,0.185
2018,2,2,2017-10-21,,SAC,W,96,79,107.7,88.6,89.2,0.235,0.353,0.512,59.8,67.6,7.9,3.2,,0.494,14.6,40,0.141,,0.412,12.5,76.9,0.106
2018,3,3,2017-10-23,,WAS,L,104,109,103.7,108.7,100.3,0.288,0.288,0.577,53.7,69.2,5,3.7,,0.538,20.3,24.3,0.225,,0.494,13.5,77.8,0.31
2018,4,4,2017-10-25,@,CHO,L,93,110,96.3,113.9,96.6,0.15,0.31,0.436,50.5,47.4,6.2,2,,0.42,10.9,31,0.09,,0.549,13.2,76.7,0.259
2018,5,5,2017-10-27,@,ATL,W,105,100,110.4,105.1,95.1,0.253,0.22,0.519,51.7,57.1,8.4,7.1,,0.484,9.8,25.6,0.187,,0.494,11.3,76.1,0.135
2018,6,6,2017-10-29,@,BRK,W,124,111,118.1,105.7,105,0.234,0.213,0.598,45.1,48.9,6.7,10.8,,0.559,5.5,9.3,0.202,,0.469,12,71.2,0.219
2018,7,7,2017-10-30,@,NYK,L,110,116,112.4,118.5,97.9,0.365,0.482,0.558,42.4,57.1,13.3,10,,0.518,11.6,25.5,0.259,,0.579,19.3,67.6,0.256
2018,8,8,2017-11-01,,TOR,W,129,111,129.3,111.2,99.8,0.33,0.364,0.64,53.1,74.5,9,7.4,,0.625,10.6,23.7,0.216,,0.559,11.9,79.1,0.188
2018,9,9,2017-11-03,,MIA,W,95,94,100.9,99.8,94.2,0.313,0.288,0.522,50,47.2,9.6,15,,0.506,15.7,28.3,0.175,,0.565,21.9,77.8,0.091
2018,10,10,2017-11-04,,GSW,L,108,127,103.8,122.1,104,0.31,0.276,0.546,52.9,65,8.6,11.8,,0.494,14.7,20.9,0.253,,0.648,11.7,84.1,0.099
2018,11,11,2017-11-07,,BRK,W,112,104,100.2,93.1,111.7,0.215,0.366,0.55,50,59.1,14.3,16.7,,0.522,15.7,18.8,0.161,,0.489,20.2,82.6,0.191
2018,12,12,2017-11-09,,OKC,W,102,94,111.2,102.5,91.7,0.268,0.329,0.556,50.6,71.1,7.6,11.7,,0.518,16.4,35,0.207,,0.483,14.3,63.3,0.078
2018,13,13,2017-11-11,,ORL,W,125,107,128.8,110.2,97.1,0.31,0.333,0.632,58.1,63,9.3,7.1,,0.598,10.8,31.7,0.241,,0.534,11.1,82.2,0.161
2018,14,14,2017-11-13,@,POR,L,82,99,87.8,106,93.4,0.179,0.381,0.453,44.9,43.3,9.6,3.8,,0.411,18.1,25.5,0.155,,0.568,20.6,74.2,0.219
2018,15,15,2017-11-17,,NOP,W,146,114,148,115.5,98.7,0.236,0.393,0.743,62.3,66.1,5.1,6.9,,0.73,12.5,38.2,0.18,,0.593,12,81.4,0.066
2018,16,16,2017-11-19,@,LAL,L,109,127,105.4,122.9,103.4,0.417,0.369,0.548,50.5,50,7.7,11.8,,0.506,16.8,34,0.286,,0.59,12.3,69.8,0.09
2018,17,17,2017-11-20,@,SAC,W,114,98,121.8,104.7,93.6,0.233,0.372,0.601,59,42.9,6.4,4.5,,0.576,12.1,32.6,0.174,,0.523,11.8,87.5,0.093
2018,18,18,2017-11-22,@,HOU,L,95,125,95.1,125.1,99.9,0.264,0.379,0.489,48.3,54.3,11,12.2,,0.46,16.4,28.3,0.172,,0.659,16.3,77.8,0.207
2018,19,19,2017-11-24,,MEM,W,104,92,111.4,98.5,93.4,0.329,0.405,0.575,68.5,60,9.6,8.2,,0.563,18.8,42.9,0.19,,0.555,18.4,92.1,0.151
2018,20,20,2017-11-28,@,UTA,L,77,106,86.5,119.1,89,0.205,0.436,0.453,49.4,46.4,6.7,7.3,,0.404,16.7,26.1,0.179,,0.563,10.8,76.9,0.092
2018,21,21,2017-11-30,,CHI,W,111,110,116.4,115.3,95.4,0.373,0.373,0.574,52.4,57.9,7.3,6.9,,0.53,11,24.4,0.277,,0.591,10.8,84.6,0.159
2018,22,22,2017-12-02,,LAL,W,115,100,116.9,101.7,98.4,0.322,0.356,0.579,42.9,65,8.1,10.7,,0.529,10.8,20.5,0.264,,0.494,18.1,63.8,0.174
2018,23,23,2017-12-04,@,DAL,L,105,122,113.2,131.5,92.8,0.253,0.396,0.519,53.8,65.8,5.4,8.3,,0.495,6.5,28.8,0.165,,0.64,7,87.2,0.14
2018,24,24,2017-12-06,@,NOP,L,114,123,115.7,124.8,98.6,0.234,0.372,0.55,44.9,53.7,7.1,7.3,,0.521,8,20.8,0.17,,0.605,10,73.2,0.221
2018,25,25,2017-12-08,@,ORL,W,103,89,108.3,93.6,95.1,0.188,0.247,0.56,51.2,50,7.4,11.3,,0.529,11.5,16.2,0.153,,0.428,13.1,77.6,0.217
2018,26,26,2017-12-10,@,IND,L,116,126,115.8,125.8,90.7,0.179,0.442,0.566,54,55.8,7,7.4,,0.542,17,39.6,0.137,,0.581,9.7,71.8,0.194
2018,27,27,2017-12-12,@,DET,W,103,84,108.4,88.4,95,0.177,0.38,0.605,52.4,67.5,8.4,5.6,,0.57,16.6,17.1,0.165,,0.411,18.4,77.6,0.241
2018,28,28,2017-12-13,@,BOS,L,118,124,122.7,129,96.2,0.286,0.308,0.576,61.5,48.9,8.3,7.4,,0.544,12.8,43.5,0.209,,0.665,12.7,87.5,0.241
2018,29,29,2017-12-15,,NOP,W,117,111,109.2,103.6,97,0.14,0.36,0.551,53.3,65.2,11.2,7,,0.54,12.4,23.9,0.09,,0.555,16.4,84.1,0.11
2018,30,30,2017-12-18,@,OKC,L,94,95,103,104.1,91.3,0.14,0.43,0.515,52.9,56.8,8.8,5.3,,0.5,10.8,19,0.093,,0.525,10.2,86,0.123
2018,31,31,2017-12-20,,MIN,L,104,112,110.7,119.2,94,0.333,0.389,0.63,53.2,75,6.4,7.9,,0.59,20.3,21.6,0.264,,0.54,7.7,81,0.207
2018,32,32,2017-12-22,@,POR,W,102,85,117.6,98,86.7,0.188,0.294,0.554,59,45.2,4.6,16.4,,0.535,13.2,40,0.129,,0.458,9.1,76.7,0.108
