Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,,CHO,W,102,90,103.6,91.4,98.5,0.125,0.271,0.504,50,58.5,14.2,7,,0.474,7.3,17,0.115,,0.459,16.5,92.7,0.315
2018,2,2,2017-10-20,@,WAS,L,111,115,111.8,115.9,99.2,0.23,0.264,0.579,47.1,44.2,12.1,1.7,,0.552,16.6,25,0.172,,0.573,15,76.7,0.387
2018,3,3,2017-10-21,@,NYK,W,111,107,121.8,117.4,91.2,0.165,0.33,0.569,52.4,47.7,5.5,3.9,,0.533,10.9,35.7,0.154,,0.506,11.3,70,0.309
2018,4,4,2017-10-23,,PHI,L,86,97,89,100.4,96.6,0.224,0.353,0.461,44.3,42.4,5.2,3.9,,0.424,13,18,0.165,,0.527,19.7,78.9,0.24
2018,5,5,2017-10-25,,MIN,W,122,101,123.1,101.9,99.1,0.185,0.37,0.613,56,66.7,7.1,5,,0.603,12.3,28.6,0.12,,0.488,12.9,83.3,0.212
2018,6,6,2017-10-28,@,LAC,W,95,87,100.9,92.4,94.2,0.239,0.318,0.488,49.5,44.4,11.7,13,,0.46,11,25,0.159,,0.423,16.1,71.7,0.19
2018,7,7,2017-10-29,@,GSW,W,115,107,122,113.5,94.2,0.183,0.29,0.572,48.1,51.2,17,0,,0.527,11.5,36.2,0.183,,0.636,23.3,66.7,0.117
2018,8,8,2017-10-31,@,LAL,L,93,113,95.5,116,97.4,0.032,0.351,0.488,45.4,51.2,7.2,4.6,,0.489,11.2,19.2,0.011,,0.56,12.6,75.6,0.121
2018,9,9,2017-11-03,,MIL,W,105,96,114.2,104.5,91.9,0.359,0.333,0.581,52,56.8,10.9,6.9,,0.526,11.7,19.4,0.295,,0.53,13,82.1,0.096
2018,10,10,2017-11-04,,SAC,W,108,99,115.4,105.8,93.6,0.278,0.304,0.609,52.2,70,10.7,5.5,,0.589,13.6,21.6,0.19,,0.592,17.2,90,0.118
2018,11,11,2017-11-08,,IND,W,114,97,113,96.1,100.9,0.301,0.325,0.606,56.8,58.1,3,7.8,,0.59,13.8,20.5,0.193,,0.472,13.5,85.7,0.159
2018,12,12,2017-11-10,,ATL,W,111,104,115.2,107.9,96.4,0.303,0.337,0.55,53.1,59,7.3,7.7,,0.506,14.4,37,0.236,,0.539,13.8,73.8,0.09
2018,13,13,2017-11-12,,MIA,W,112,103,115.8,106.5,96.7,0.23,0.322,0.585,58.1,57.1,2.1,9.4,,0.563,11.9,25.6,0.161,,0.506,8.5,86,0.133
2018,14,14,2017-11-15,@,MIL,L,95,99,106.1,110.5,89.6,0.271,0.435,0.499,51.1,76.7,7.8,5.4,,0.441,14.4,34.7,0.235,,0.538,14.7,71.8,0.192
2018,15,15,2017-11-17,@,IND,L,100,107,107,114.5,93.5,0.108,0.355,0.513,45.7,51.3,4.3,13.1,,0.495,10.1,22.4,0.086,,0.522,9.2,71.1,0.157
2018,16,16,2017-11-19,@,MIN,W,100,97,102.3,99.2,97.8,0.241,0.301,0.545,49.3,64.1,10.2,3.6,,0.518,17.1,25.6,0.169,,0.545,18.9,81.3,0.154
2018,17,17,2017-11-20,,CLE,L,88,116,98.9,130.4,89,0.169,0.39,0.532,44.7,67.6,7.9,4.3,,0.526,14.5,16.7,0.091,,0.625,11.2,79.4,0.2
2018,18,18,2017-11-24,@,OKC,W,99,98,100.5,99.5,98.5,0.107,0.44,0.563,48.9,56.4,6.1,7.6,,0.548,18.5,20,0.083,,0.469,12.1,72.9,0.061
2018,19,19,2017-11-27,@,BOS,W,118,108,124,113.5,95.1,0.271,0.294,0.62,52.6,59.1,8.4,4.5,,0.582,7.8,20.5,0.224,,0.623,16.5,86.5,0.156
2018,20,20,2017-11-29,,PHO,W,131,107,121.1,98.9,108.2,0.236,0.315,0.667,54.3,60.8,10.2,9.7,,0.646,16.2,14.7,0.18,,0.506,16.5,83,0.262
2018,21,21,2017-12-01,@,WAS,L,91,109,97.7,117.1,93.1,0.241,0.38,0.521,39.5,57.1,7.5,7.4,,0.5,14.7,10.8,0.152,,0.522,10.2,63.6,0.18
2018,22,22,2017-12-02,@,PHI,L,103,108,106.4,111.6,96.8,0.41,0.397,0.559,43.4,58.8,8.3,3.4,,0.494,14.8,18.9,0.333,,0.465,14.5,63,0.326
2018,23,23,2017-12-04,@,SAS,L,93,96,98.7,101.9,94.2,0.282,0.318,0.487,45.2,42.9,8.5,3.9,,0.459,9.5,14.6,0.176,,0.512,15.5,77.8,0.146
2018,24,24,2017-12-06,@,MIL,L,100,104,113.4,118,88.2,0.31,0.345,0.506,52.9,55.6,5.7,0,,0.471,10,37.8,0.207,,0.544,11.7,69,0.228
2018,25,25,2017-12-08,,GSW,L,98,102,101.6,105.8,96.4,0.207,0.293,0.488,52.1,52.6,8.3,3.6,,0.478,9.9,27.3,0.109,,0.525,13.4,87.2,0.21
2018,26,26,2017-12-10,,BOS,L,81,91,91.5,102.8,88.5,0.226,0.393,0.439,47.9,50,7.9,8.2,,0.393,8.9,21.2,0.179,,0.487,13,79.5,0.177
2018,27,27,2017-12-12,,DEN,L,84,103,88.4,108.4,95,0.278,0.316,0.474,47.6,60.7,7.4,4.1,,0.411,18.4,22.4,0.241,,0.57,16.6,82.9,0.165
2018,28,28,2017-12-14,@,ATL,W,105,91,116,100.6,90.5,0.133,0.333,0.551,57.5,63.4,11,7.7,,0.528,13.6,34.1,0.111,,0.536,16.4,82.1,0.229
2018,29,29,2017-12-15,@,IND,W,104,98,110.7,104.3,93.9,0.183,0.344,0.518,46.3,56.4,7.5,17.5,,0.489,8.2,23.4,0.14,,0.454,11.7,68.8,0.218
2018,30,30,2017-12-17,,ORL,W,114,110,115.3,111.2,98.9,0.18,0.382,0.594,49.4,64.3,11.1,5.8,,0.567,11.9,17.9,0.146,,0.582,14.7,80,0.129
2018,31,31,2017-12-20,@,DAL,L,93,110,102.5,121.3,90.7,0.286,0.312,0.536,50.7,57.6,4.4,4.4,,0.474,12.2,15.4,0.26,,0.627,12.5,88.9,0.213
2018,32,32,2017-12-22,,NYK,W,104,101,111.7,108.5,93.1,0.284,0.284,0.525,46.3,50,8.6,6.8,,0.489,10,30,0.205,,0.495,12.3,64.4,0.052
2018,33,33,2017-12-26,,IND,W,107,83,123.8,96,86.4,0.195,0.415,0.601,63.9,63.4,5.8,1.8,,0.573,10.1,32.3,0.159,,0.481,12.7,87.8,0.117
2018,34,34,2017-12-28,@,ORL,L,89,102,92,105.5,96.7,0.161,0.264,0.478,46.1,57.1,5.2,7.1,,0.454,13.9,18.8,0.115,,0.518,16.7,78,0.207
2018,35,35,2017-12-30,,SAS,W,93,79,101.6,86.3,91.6,0.198,0.296,0.528,49.5,61.1,10.9,1.7,,0.494,11.1,14.3,0.16,,0.399,13.5,79.6,0.143
2018,36,36,2018-01-03,@,MIA,L,104,111,111,118.5,93.7,0.186,0.279,0.559,46.1,51.2,4.3,4,,0.529,8.8,12.8,0.151,,0.613,11.9,81.1,0.095
2018,37,37,2018-01-05,@,PHI,L,78,114,85.4,124.7,91.4,0.244,0.282,0.452,38.2,66.7,9.8,6.7,,0.429,12.2,12.5,0.141,,0.567,11.1,68.3,0.133
2018,38,38,2018-01-06,,HOU,W,108,101,118.3,110.6,91.3,0.36,0.333,0.622,45.5,55.3,8.8,9.3,,0.587,11.2,14.3,0.267,,0.506,12.1,71.4,0.111
2018,39,39,2018-01-08,@,NOP,L,109,112,111.6,114.6,97.7,0.237,0.29,0.531,48.8,53.7,5.1,6.7,,0.484,10.5,27.3,0.204,,0.598,14.9,75,0.171
2018,40,40,2018-01-10,@,BRK,W,114,80,117.8,82.7,96.8,0.129,0.226,0.58,60.7,50,10.3,10.8,,0.57,11.7,25,0.086,,0.446,17.4,95.6,0.189
2018,41,41,2018-01-13,@,CHI,L,105,107,109.7,111.7,95.8,0.152,0.315,0.535,52.9,68.3,8.4,13.7,,0.511,10.9,27.7,0.12,,0.58,13.3,84.2,0.069
2018,42,42,2018-01-15,,CHO,L,107,118,103.7,114.4,103.2,0.128,0.337,0.589,43.7,64.3,9.7,7.9,,0.576,15,7,0.093,,0.571,13.2,79.5,0.262
2018,43,43,2018-01-17,@,TOR,L,91,96,95.3,100.5,95.5,0.17,0.318,0.481,46.2,59.5,14.7,14.3,,0.477,12.9,22.9,0.08,,0.494,18.2,72.1,0.213
2018,44,44,2018-01-19,,WAS,L,112,122,117,127.5,95.7,0.325,0.375,0.612,50.7,62.5,8.4,6.4,,0.563,13.3,21.2,0.275,,0.598,12.2,77.8,0.293
2018,45,45,2018-01-21,,BRK,L,100,101,105.4,106.4,94.9,0.189,0.322,0.513,48.3,55.3,3.2,8.2,,0.472,5.8,15.2,0.167,,0.544,14.5,83.7,0.175
2018,46,46,2018-01-24,,UTA,L,95,98,90.6,93.5,95,0.186,0.32,0.453,56.4,60.5,9.5,10.8,,0.428,15.3,30,0.124,,0.448,12,82.4,0.125
2018,47,47,2018-01-27,,OKC,L,108,121,113.3,126.9,95.4,0.286,0.393,0.571,50,61.5,4.2,5,,0.536,14.5,30.2,0.214,,0.559,8,69.8,0.183
2018,48,48,2018-01-28,@,CLE,L,104,121,105.8,123.1,98.3,0.137,0.379,0.516,48.9,77.5,5.1,12.5,,0.495,5.6,14.6,0.105,,0.596,9.6,90,0.265
2018,49,49,2018-01-30,,CLE,W,125,114,119.3,108.8,104.8,0.301,0.247,0.593,53.4,61.2,11.5,10.2,,0.575,8.7,19,0.194,,0.53,13.3,84.8,0.298
2018,50,50,2018-02-01,,MEM,W,104,102,108.6,106.5,95.8,0.487,0.329,0.564,45.6,57.1,8.4,6.2,,0.507,7.1,9.3,0.355,,0.458,8.1,78.7,0.146
2018,51,51,2018-02-03,,MIA,W,111,107,116.8,112.5,95.1,0.202,0.31,0.607,59.8,52.3,7.4,9.1,,0.577,15.7,33.3,0.167,,0.56,10.5,83.7,0.055
