Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-17,,HOU,L,121,122,118.6,119.6,102,0.263,0.375,0.678,48.8,79.1,4.9,16.1,,0.638,16,15.4,0.238,,0.562,10.2,77.8,0.134
2018,2,2,2017-10-20,@,NOP,W,128,120,119.7,112.2,106.9,0.22,0.44,0.641,49,61.7,5.6,12.9,,0.615,15.3,22.2,0.176,,0.541,13.6,70.9,0.143
2018,3,3,2017-10-21,@,MEM,L,101,111,102.7,112.8,98.4,0.321,0.452,0.527,53.5,60.6,10.2,14,,0.464,15.1,26.1,0.274,,0.532,13,85,0.377
2018,4,4,2017-10-23,@,DAL,W,133,103,129.4,100.2,102.8,0.302,0.453,0.682,54.3,68.8,5.8,11.9,,0.645,14.1,26.3,0.256,,0.443,9.9,74.1,0.188
2018,5,5,2017-10-25,,TOR,W,117,112,120.6,115.4,97,0.286,0.338,0.675,46.8,74.4,10.3,11.7,,0.636,16.4,19.4,0.247,,0.5,13.5,64.6,0.191
2018,6,6,2017-10-27,,WAS,W,120,117,115.4,112.5,104,0.211,0.4,0.578,56.4,71.7,6.7,20.3,,0.537,14.1,34.1,0.189,,0.521,11.6,76,0.165
2018,7,7,2017-10-29,,DET,L,107,115,113.5,122,94.2,0.156,0.351,0.65,51.9,65.9,3.2,16.7,,0.636,23.3,33.3,0.117,,0.527,11.5,63.8,0.183
2018,8,8,2017-10-30,@,LAC,W,141,113,142.3,114.1,99.1,0.337,0.326,0.69,56.8,71.2,8.1,13.1,,0.663,10.5,35,0.258,,0.512,10.8,78,0.291
2018,9,9,2017-11-02,@,SAS,W,112,92,115.5,94.9,97,0.193,0.337,0.622,47.1,69.8,11.3,19,,0.602,13.5,13.5,0.145,,0.431,14.1,72,0.195
2018,10,10,2017-11-04,@,DEN,W,127,108,122.1,103.8,104,0.187,0.44,0.645,47.1,76,12.5,6.3,,0.648,11.7,15.9,0.099,,0.494,14.7,79.1,0.253
2018,11,11,2017-11-06,,MIA,W,97,80,98.8,81.5,98.1,0.276,0.368,0.497,53.7,62.5,12.2,17.5,,0.431,12.5,26,0.253,,0.41,18.1,84.4,0.145
2018,12,12,2017-11-08,,MIN,W,125,101,117.1,94.7,106.7,0.212,0.424,0.673,52.3,77.1,9.4,13.2,,0.653,17,8.6,0.165,,0.44,11.1,82.4,0.217
2018,13,13,2017-11-11,,PHI,W,135,114,125.1,105.6,107.9,0.317,0.329,0.722,50.6,64.6,13.9,16.7,,0.671,19.1,13.8,0.305,,0.532,15.6,72.9,0.149
