Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-17,@,GSW,W,122,121,119.6,118.6,102,0.196,0.423,0.579,51.2,59.6,8.8,10,,0.562,10.2,22.2,0.134,,0.638,16,84.6,0.238
2018,2,2,2017-10-18,@,SAC,W,105,100,109.1,103.9,96.3,0.349,0.542,0.548,51.2,57.6,7.3,4.6,,0.47,12.8,26.7,0.325,,0.523,15.5,78,0.091
2018,3,3,2017-10-21,,DAL,W,107,91,111,94.4,96.4,0.268,0.573,0.584,56.8,43.6,12.4,7.5,,0.543,12.4,19.5,0.22,,0.446,13.1,85.2,0.19
2018,4,4,2017-10-23,,MEM,L,90,98,98.2,106.9,91.7,0.299,0.494,0.517,50.6,78.1,5.5,4.1,,0.474,15.5,20.5,0.221,,0.471,12.5,90.9,0.5
2018,5,5,2017-10-25,@,PHI,W,105,104,107.4,106.4,97.8,0.32,0.52,0.614,48.2,61.1,11.3,21.3,,0.56,18.2,18.4,0.28,,0.505,12.1,73.3,0.062
2018,6,6,2017-10-27,@,CHO,W,109,93,113.1,96.5,96.4,0.153,0.671,0.601,53.7,55.3,5.2,10.2,,0.576,14.2,17.5,0.129,,0.438,8.2,80,0.182
2018,7,7,2017-10-28,@,MEM,L,89,103,96.3,111.5,92.4,0.273,0.494,0.516,50.6,62.1,4.3,5.8,,0.468,16.5,18.2,0.221,,0.553,9.1,85.4,0.106
2018,8,8,2017-10-30,,PHI,L,107,115,105.5,113.4,101.4,0.458,0.566,0.537,42.2,51.5,11.8,5.4,,0.476,13.1,19.6,0.337,,0.613,17.3,78.1,0.213
2018,9,9,2017-11-01,@,NYK,W,119,97,114.9,93.7,103.6,0.239,0.591,0.612,52.3,50,5.8,6.3,,0.585,12.6,20,0.182,,0.478,16.6,86,0.122
2018,10,10,2017-11-03,@,ATL,W,119,104,118.6,103.6,100.4,0.258,0.528,0.6,51.8,66.7,13.9,8.3,,0.562,10.8,20,0.213,,0.549,16.8,87.5,0.185
2018,11,11,2017-11-05,,UTA,W,137,110,133.9,107.5,102.3,0.259,0.481,0.759,56,54.2,8.8,13,,0.735,18.1,16.7,0.222,,0.506,11.7,82.2,0.239
2018,12,12,2017-11-09,,CLE,W,117,113,120.6,116.5,97,0.468,0.597,0.63,63.4,58.3,11.3,9.3,,0.571,19.2,43.6,0.377,,0.63,17.1,87.5,0.136
2018,13,13,2017-11-11,,MEM,W,111,96,112.5,97.3,98.7,0.337,0.542,0.582,52.9,48.6,14.2,6.8,,0.542,13.6,23.4,0.253,,0.519,17.9,87.5,0.177
2018,14,14,2017-11-12,@,IND,W,118,95,120.8,97.3,97.7,0.2,0.522,0.603,53.4,55.8,10.2,8.2,,0.572,11.7,22.7,0.167,,0.494,12.4,84.1,0.157
2018,15,15,2017-11-14,,TOR,L,113,129,112.5,128.5,100.4,0.519,0.494,0.582,57.1,63.6,4,8.3,,0.494,16.4,31.1,0.443,,0.615,11.1,87.2,0.423
2018,16,16,2017-11-16,@,PHO,W,142,116,132.8,108.5,106.9,0.422,0.489,0.665,52,62.8,8.4,12.2,,0.594,11.6,27.9,0.389,,0.5,11,70.9,0.115
2018,17,17,2017-11-18,@,MEM,W,105,83,116.1,91.8,90.4,0.269,0.551,0.602,48.4,60,8.8,15.3,,0.564,15.5,21.4,0.218,,0.401,11.3,70.6,0.163
2018,18,18,2017-11-22,,DEN,W,125,95,125.1,95.1,99.9,0.28,0.5,0.678,51.7,66.7,13,7.4,,0.659,16.3,22.2,0.207,,0.46,16.4,71.7,0.172
2018,19,19,2017-11-25,,NYK,W,117,102,116.2,101.3,100.7,0.234,0.5,0.564,51.2,73.2,11.9,8.8,,0.532,6.3,20.9,0.181,,0.518,16.2,84.6,0.165
2018,20,20,2017-11-27,,BRK,W,117,103,117.6,103.5,99.5,0.233,0.581,0.617,49.4,73.8,8,8.5,,0.605,13.7,17.8,0.151,,0.523,12.2,85,0.151
2018,21,21,2017-11-29,,IND,W,118,97,120.7,99.2,97.7,0.244,0.465,0.619,57.6,61.9,9.2,0,,0.593,13.6,25,0.186,,0.517,13.4,86.7,0.068
2018,22,22,2017-12-03,@,LAL,W,118,95,113.7,91.5,103.8,0.189,0.411,0.605,48.9,37.8,9.6,7.1,,0.578,14.1,17.1,0.156,,0.435,17.1,76.6,0.262
2018,23,23,2017-12-07,@,UTA,W,112,101,115.6,104.2,96.9,0.296,0.519,0.612,59,57.9,10.3,10.6,,0.58,15.7,22.2,0.222,,0.513,12.8,90.5,0.286
2018,24,24,2017-12-09,@,POR,W,124,117,127.5,120.3,97.2,0.56,0.333,0.663,51.5,35,13.4,4.3,,0.6,11.4,21.2,0.453,,0.614,13.9,80,0.102
2018,25,25,2017-12-11,,NOP,W,130,123,127,120.2,102.4,0.284,0.511,0.657,46.8,62.5,11.7,13.5,,0.642,8.3,10.3,0.193,,0.682,16.6,84.2,0.082
2018,26,26,2017-12-13,,CHO,W,108,96,110.1,97.8,98.1,0.216,0.511,0.56,44.6,61.5,7.1,7.6,,0.54,9.4,12,0.148,,0.437,10.8,76.5,0.23
2018,27,27,2017-12-15,,SAS,W,124,109,123.6,108.6,100.4,0.275,0.549,0.608,53.6,46.5,14.9,4.4,,0.571,11.3,30.8,0.22,,0.543,14.6,73.3,0.074
2018,28,28,2017-12-16,,MIL,W,115,111,113.2,109.3,101.6,0.553,0.461,0.609,48.7,45.7,6.9,7.3,,0.533,13.7,11.1,0.447,,0.512,12.7,81,0.329
2018,29,29,2017-12-18,,UTA,W,120,99,130.4,107.6,92,0.351,0.558,0.675,61.9,62.5,5.4,10.9,,0.63,13.6,30.8,0.299,,0.505,6,88.9,0.077
2018,30,30,2017-12-20,,LAL,L,116,122,113.5,119.4,102.2,0.356,0.467,0.557,50,51.4,6.8,10,,0.506,11.9,24.5,0.278,,0.559,8.8,77.8,0.318
2018,31,31,2017-12-22,,LAC,L,118,128,118.6,128.6,99.5,0.449,0.513,0.632,53.1,44.4,4,8.2,,0.571,15.4,23.7,0.372,,0.571,7.1,79.1,0.264
2018,32,32,2017-12-25,@,OKC,L,107,112,115.7,121.1,92.5,0.383,0.457,0.565,48.7,65.7,11.9,6.6,,0.506,12.1,27.9,0.309,,0.595,13.6,74.3,0.228
2018,33,33,2017-12-28,@,BOS,L,98,99,99.8,100.8,98.2,0.388,0.538,0.523,49.4,53.3,9.2,5.7,,0.463,14.6,17.1,0.3,,0.5,14.7,78.3,0.207
2018,34,34,2017-12-29,@,WAS,L,103,121,105,123.3,98.1,0.18,0.539,0.536,43.8,39.5,11.2,3.8,,0.506,12.7,18.6,0.146,,0.636,14.6,73,0.102
2018,35,35,2017-12-31,,LAL,W,148,142,128.7,123.5,95.2,0.368,0.491,0.601,44.3,59.2,6.1,11.3,,0.547,8.2,27.8,0.302,,0.552,10.3,65.1,0.248
2018,36,36,2018-01-03,@,ORL,W,116,98,113,95.4,102.7,0.236,0.382,0.59,51.5,59.5,5.8,5,,0.556,13.2,18.8,0.191,,0.418,10.5,82.4,0.242
2018,37,37,2018-01-04,,GSW,L,114,124,113.1,123.1,100.8,0.247,0.562,0.578,45.8,47.6,6.9,5.3,,0.567,9.2,13.3,0.146,,0.626,11.1,84.2,0.172
2018,38,38,2018-01-06,@,DET,L,101,108,110.6,118.3,91.3,0.122,0.522,0.532,54.5,76.3,5.5,8,,0.506,12.1,28.6,0.111,,0.587,11.2,85.7,0.267
2018,39,39,2018-01-08,@,CHI,W,116,107,116,107,100,0.279,0.628,0.601,58,71.8,6,10.3,,0.57,14.2,24.4,0.209,,0.535,10.5,93,0.174
2018,40,40,2018-01-10,,POR,W,121,112,118.7,109.8,102,0.25,0.38,0.545,55.1,55.6,6.9,8.8,,0.51,10.5,33.3,0.19,,0.536,11,84.2,0.277
