Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,,BRK,W,140,131,123.6,115.7,113.3,0.314,0.333,0.603,52.2,54.7,10.6,14.1,,0.564,10.8,30.4,0.245,,0.543,15.6,75,0.309
2018,2,2,2017-10-20,,POR,L,96,114,98.5,117,97.4,0.423,0.231,0.519,43.3,42.9,1,5.3,,0.474,11.5,13,0.282,,0.532,8.1,75,0.137
2018,3,3,2017-10-21,@,MIA,L,108,112,108.1,112.2,99.9,0.219,0.198,0.513,50,41.9,9,7.5,,0.484,8.7,25,0.156,,0.598,13.1,84.2,0.092
2018,4,4,2017-10-24,@,MIN,W,130,107,133.2,109.7,97.6,0.131,0.262,0.732,60.9,55.4,8.2,3.2,,0.726,16.1,30.8,0.095,,0.541,12.8,79.1,0.163
2018,5,5,2017-10-25,@,OKC,L,96,114,96.2,114.3,99.8,0.422,0.349,0.488,45.6,46.4,13,3.2,,0.398,16.2,29.8,0.361,,0.539,16.6,62.8,0.202
2018,6,6,2017-10-29,,SAS,W,97,94,99.3,96.2,97.7,0.26,0.286,0.565,50,58.3,9.2,4.8,,0.532,18.1,15.8,0.195,,0.45,13.3,76,0.144
2018,7,7,2017-10-31,,SAC,W,101,83,106,87.1,95.2,0.259,0.341,0.533,54.1,69.4,8.4,9.5,,0.494,12.9,28,0.2,,0.432,12.9,81.3,0.08
2018,8,8,2017-11-01,@,CLE,W,124,107,124.6,107.5,99.5,0.144,0.289,0.648,51.2,71.4,9,1.8,,0.633,10.3,19.5,0.111,,0.541,14.4,81.4,0.163
2018,9,9,2017-11-03,@,PHI,L,110,121,105.7,116.3,104,0.196,0.289,0.522,44.4,55.6,5.8,10.7,,0.505,9.5,17.4,0.124,,0.598,15.5,72.7,0.12
2018,10,10,2017-11-05,@,NYK,L,101,108,107.9,115.4,93.6,0.215,0.316,0.584,42.5,64.9,6.4,3.1,,0.544,12.2,10.5,0.19,,0.534,11.1,71.4,0.159
2018,11,11,2017-11-07,,NOP,L,112,117,116.5,121.7,96.1,0.194,0.258,0.555,48.8,43.2,4.2,7.7,,0.522,9,25.6,0.161,,0.586,11,73.2,0.172
2018,12,12,2017-11-08,@,DET,L,97,114,96.1,113,100.9,0.205,0.273,0.506,43.2,57.9,7.9,5.4,,0.472,13.5,14.3,0.159,,0.59,13.8,79.5,0.193
2018,13,13,2017-11-10,@,CHI,W,105,87,107.4,89,97.8,0.143,0.345,0.588,54.3,62.8,8.2,4.5,,0.583,16.8,17.9,0.083,,0.435,11,80,0.065
2018,14,14,2017-11-12,,HOU,L,95,118,97.3,120.8,97.7,0.253,0.265,0.515,46.6,48.6,5.1,16.3,,0.494,12.4,15.9,0.157,,0.572,11.7,77.3,0.167
2018,15,15,2017-11-15,@,MEM,W,116,113,118.4,115.3,98,0.235,0.282,0.618,45.6,67.4,6.1,11.1,,0.576,11.3,13.5,0.212,,0.558,12.8,73.8,0.198
2018,16,16,2017-11-17,,DET,W,107,100,114.5,107,93.5,0.236,0.315,0.545,54.3,56.4,4.3,8.3,,0.522,9.2,28.9,0.157,,0.495,10.1,77.6,0.086
2018,17,17,2017-11-19,@,MIA,W,120,95,132.4,104.8,90.6,0.094,0.271,0.678,54.5,64.7,9.9,15.2,,0.665,11.9,26.5,0.082,,0.5,13.6,76.7,0.145
2018,18,18,2017-11-20,@,ORL,W,105,97,101.4,93.7,103.5,0.326,0.225,0.516,49,67.6,16.4,8.7,,0.461,10.5,17,0.258,,0.494,18.9,78.4,0.167
2018,19,19,2017-11-24,,TOR,W,107,104,108.1,105,99,0.325,0.313,0.564,49.4,50,10.1,5.9,,0.524,14.4,22.2,0.241,,0.549,16.7,81.6,0.185
2018,20,20,2017-11-25,,BOS,L,98,108,107.3,118.2,91.4,0.192,0.295,0.579,54.5,52.6,9.9,3.6,,0.532,17.5,27.8,0.192,,0.625,14.3,86.7,0.1
2018,21,21,2017-11-27,,ORL,W,121,109,124.8,112.5,96.9,0.329,0.329,0.669,55.1,59.5,7.2,15.7,,0.627,13.4,24.2,0.278,,0.522,12.4,77.8,0.141
2018,22,22,2017-11-29,@,HOU,L,97,118,99.2,120.7,97.7,0.068,0.318,0.535,42.4,42.9,9.2,15.2,,0.517,13.4,13.3,0.068,,0.593,13.6,75,0.186
2018,23,23,2017-12-01,@,TOR,L,115,120,112,116.9,102.6,0.216,0.255,0.515,49.5,46.7,6.8,7.7,,0.48,8.2,30,0.167,,0.546,10.1,72.1,0.144
2018,24,24,2017-12-04,,NYK,W,115,97,116.1,97.9,99,0.174,0.302,0.621,50.6,60.9,10.1,7.4,,0.599,14.7,20,0.14,,0.473,14.8,71.2,0.121
2018,25,25,2017-12-06,,CHI,W,98,96,103.8,101.7,94.4,0.115,0.391,0.536,45.9,53.8,7.4,8.8,,0.517,12.5,16.7,0.092,,0.53,15.1,74.4,0.096
2018,26,26,2017-12-08,,CLE,W,106,102,114.4,110.1,92.6,0.279,0.453,0.549,52.7,55.3,7.6,6.1,,0.529,7.7,25.5,0.174,,0.5,10.4,80.4,0.2
2018,27,27,2017-12-10,,DEN,W,126,116,125.8,115.8,90.7,0.237,0.269,0.614,46,49,6,3.8,,0.581,9.7,28.2,0.194,,0.542,17,60.4,0.137
2018,28,28,2017-12-13,,OKC,L,95,100,104,109.4,91.4,0.067,0.348,0.518,44.7,45,12,11.9,,0.511,12.4,23.9,0.045,,0.483,11.7,64.6,0.17
2018,29,29,2017-12-15,,DET,L,98,104,104.3,110.7,93.9,0.287,0.345,0.5,53.7,60,6.4,6.6,,0.454,11.7,31.3,0.218,,0.489,8.2,76.6,0.14
2018,30,30,2017-12-17,@,BRK,W,109,97,120.2,106.9,90.7,0.25,0.237,0.646,59.7,48.8,6.6,14.6,,0.618,15.1,21.4,0.197,,0.494,9.1,84.1,0.21
2018,31,31,2017-12-18,,BOS,L,111,112,114.7,115.8,96.8,0.481,0.266,0.58,50,37.8,12.4,5.7,,0.513,11.1,22,0.38,,0.658,18.2,82.9,0.101
2018,32,32,2017-12-20,@,ATL,W,105,95,117.8,106.6,89.1,0.232,0.256,0.581,46.8,47.5,5.6,9.8,,0.53,9.1,20,0.22,,0.488,12.8,74.4,0.213
2018,33,33,2017-12-23,,BRK,W,123,119,125,120.9,89.1,0.267,0.256,0.612,44.6,66,8.1,14.5,,0.578,7.4,17.5,0.211,,0.51,8.4,65.4,0.194
2018,34,34,2017-12-26,@,DET,L,83,107,96,123.8,86.4,0.169,0.273,0.502,36.1,52.9,6.9,6.3,,0.481,12.7,12.2,0.117,,0.573,10.1,67.7,0.159
2018,35,35,2017-12-27,,DAL,L,94,98,104.8,109.3,89.7,0.127,0.316,0.564,52.7,71.1,8.9,8.2,,0.544,16.1,18.4,0.101,,0.564,9.6,88.9,0.128
2018,36,36,2017-12-29,@,CHI,L,107,119,109.4,121.7,97.8,0.215,0.237,0.526,51.8,51.2,10.2,13,,0.5,8.9,25,0.151,,0.612,14.1,82.1,0.176
