Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-19,@,LAL,W,108,92,102,86.9,105.9,0.121,0.308,0.479,53.2,54.8,11.3,4,,0.449,11,29.8,0.112,,0.429,15.8,77.8,0.154
2018,2,2,2017-10-21,,PHO,W,130,88,128.1,86.7,101.5,0.341,0.295,0.642,59.1,54.2,10.8,4.3,,0.614,10.6,23.8,0.25,,0.423,17.8,91.3,0.394
2018,3,3,2017-10-24,,UTA,W,102,84,110.5,91,92.3,0.253,0.349,0.553,51.8,53.8,13,7.8,,0.53,12.4,25,0.169,,0.475,17.7,80.5,0.114
2018,4,4,2017-10-26,@,POR,W,104,103,118.6,117.5,87.7,0.468,0.364,0.56,51.1,30.6,4.6,8.6,,0.526,10.6,33.3,0.299,,0.472,8.4,66.7,0.213
2018,5,5,2017-10-28,,DET,L,87,95,92.4,100.9,94.2,0.262,0.452,0.464,50.5,67.9,6.4,10,,0.423,16.1,28.3,0.19,,0.46,11,75,0.159
2018,6,6,2017-10-30,,GSW,L,113,141,114.1,142.3,99.1,0.349,0.291,0.57,43.2,53.8,4,5,,0.512,10.8,22,0.291,,0.663,10.5,65,0.258
2018,7,7,2017-11-01,,DAL,W,119,98,119.8,98.6,99.4,0.372,0.359,0.656,56.3,65.9,9.1,9.4,,0.609,15,19.4,0.308,,0.461,12.5,82.4,0.18
2018,8,8,2017-11-04,,MEM,L,104,113,112.1,121.8,92.7,0.373,0.313,0.538,52.4,47.4,7.5,13.2,,0.482,11.9,33.3,0.289,,0.554,10.4,75.7,0.238
2018,9,9,2017-11-05,,MIA,L,101,104,108.1,111.3,93.5,0.345,0.356,0.504,57.5,47.1,11.8,8.3,,0.443,13,40,0.276,,0.524,14.8,76.2,0.19
2018,10,10,2017-11-07,@,SAS,L,107,120,114,127.9,93.8,0.207,0.366,0.598,50,47.6,6.4,7.1,,0.579,16,26.3,0.146,,0.625,12.3,72.5,0.179
2018,11,11,2017-11-10,@,OKC,L,111,120,116.2,125.7,95.5,0.357,0.357,0.571,53.5,33.3,4.2,3.8,,0.536,15.6,35.6,0.25,,0.583,10.3,73.2,0.372
2018,12,12,2017-11-11,@,NOP,L,103,111,101.3,109.2,101.6,0.314,0.302,0.526,42,45.7,11.8,1.6,,0.465,10.1,15.7,0.267,,0.575,20.3,78.4,0.238
2018,13,13,2017-11-13,,PHI,L,105,109,105,109,100,0.39,0.39,0.546,40,44.4,8,8.9,,0.512,13.5,18,0.256,,0.539,17.8,71.4,0.338
2018,14,14,2017-11-17,@,CLE,L,113,118,103.8,108.3,98.6,0.136,0.34,0.518,51.9,63,6.4,17.5,,0.495,12.1,23.2,0.107,,0.528,12.7,84,0.256
2018,15,15,2017-11-18,@,CHO,L,87,102,90,105.5,96.7,0.229,0.349,0.476,47.3,54.5,5.2,9.8,,0.446,13.3,14.6,0.157,,0.454,7.4,82.2,0.264
2018,16,16,2017-11-20,@,NYK,L,85,107,87.7,110.4,96.9,0.263,0.4,0.476,41.4,66.7,12.4,6.4,,0.438,19,21.3,0.188,,0.512,19.3,65,0.296
2018,17,17,2017-11-22,@,ATL,W,116,103,125.5,111.4,92.4,0.25,0.395,0.688,47.8,68.2,7.6,7.4,,0.678,15.1,18.2,0.171,,0.542,14.3,75,0.157
2018,18,18,2017-11-25,@,SAC,W,97,95,103.1,100.9,94.1,0.163,0.35,0.566,50,60.5,11.7,8.1,,0.531,15.7,17.1,0.15,,0.524,17.1,79.5,0.096
2018,19,19,2017-11-27,,LAL,W,120,115,116.5,111.7,103,0.353,0.329,0.611,50.6,46.3,6.8,4.9,,0.541,14.8,24.4,0.329,,0.544,13.6,73.9,0.176
2018,20,20,2017-11-30,,UTA,L,107,126,116.6,137.3,91.8,0.429,0.414,0.643,52.2,60.5,8.7,12,,0.614,18.6,30.3,0.3,,0.676,12.5,72.2,0.129
2018,21,21,2017-12-02,@,DAL,L,82,108,91.1,120,90,0.267,0.256,0.427,41.3,53.3,8.9,13.6,,0.384,9.4,22,0.186,,0.557,14.2,64.3,0.253
2018,22,22,2017-12-03,@,MIN,L,106,112,118.3,125,89.6,0.301,0.466,0.641,46.8,56.8,3.3,11.3,,0.61,16.2,22.2,0.233,,0.477,6.4,67.4,0.318
2018,23,23,2017-12-06,,MIN,L,107,113,111.5,117.8,95.9,0.152,0.323,0.507,48.3,52.3,6.3,4.8,,0.495,7.9,30.9,0.091,,0.591,14.1,76.5,0.195
2018,24,24,2017-12-09,,WAS,W,113,112,119.5,118.4,94.6,0.3,0.4,0.624,42.9,56.4,8.5,8,,0.575,9.9,10.3,0.263,,0.591,12.4,76.3,0.183
2018,25,25,2017-12-11,,TOR,W,96,91,97.2,92.1,98.8,0.261,0.391,0.468,57,52.9,6.1,13.7,,0.413,10.5,25.9,0.217,,0.444,12.4,93.5,0.25
2018,26,26,2017-12-13,@,ORL,W,106,95,107.1,96,99,0.227,0.295,0.548,53.1,64.1,10.1,9.8,,0.511,7.6,13.6,0.182,,0.472,11,86.5,0.136
2018,27,27,2017-12-15,@,WAS,L,91,100,87.5,96.2,104,0.337,0.279,0.461,48.5,51.5,11.5,10.5,,0.424,16.8,23.5,0.209,,0.483,16.2,76.1,0.17
2018,28,28,2017-12-16,@,MIA,L,85,90,97.1,102.8,87.6,0.175,0.35,0.493,55.4,51.4,3.4,10.6,,0.488,16.5,30,0.088,,0.451,8.1,79.1,0.195
2018,29,29,2017-12-18,@,SAS,L,91,109,92,110.2,98.9,0.19,0.345,0.5,48.3,56.8,12.1,6.9,,0.494,15.7,17.8,0.095,,0.543,14.7,81,0.244
2018,30,30,2017-12-20,,PHO,W,108,95,111.6,98.2,96.7,0.276,0.345,0.554,50,53.7,1,6.5,,0.529,8.4,20,0.184,,0.402,8.7,74.5,0.175
2018,31,31,2017-12-22,@,HOU,W,128,118,128.6,118.6,99.5,0.341,0.462,0.612,46.9,55.8,8,13.2,,0.571,7.1,20.9,0.264,,0.571,15.4,76.3,0.372
2018,32,32,2017-12-23,@,MEM,L,112,115,120.4,123.7,93,0.354,0.43,0.613,43.4,35.9,4.3,11.9,,0.576,9.9,13.5,0.266,,0.517,8.2,67.4,0.244
2018,33,33,2017-12-26,,SAC,W,122,95,126.6,98.6,96.4,0.333,0.383,0.657,57,70.5,7.3,10.8,,0.623,12.3,25,0.259,,0.453,8.2,80,0.083
2018,34,34,2017-12-29,@,LAL,W,121,106,124.5,109.1,97.2,0.395,0.372,0.599,58.3,54.8,7.2,8,,0.541,11.4,38.5,0.326,,0.505,10.6,75.6,0.117
2018,35,35,2017-12-31,,CHO,W,106,98,108.3,100.2,97.9,0.355,0.368,0.603,47.2,66.7,9.2,8.3,,0.539,15.4,15.8,0.316,,0.446,14.4,70.6,0.161
2018,36,36,2018-01-02,,MEM,W,113,105,116.9,108.6,96.7,0.437,0.324,0.668,47.2,59,5.2,5.7,,0.613,18.3,12.5,0.366,,0.532,13,75,0.266
2018,37,37,2018-01-04,,OKC,L,117,127,115.5,125.4,101.3,0.23,0.3,0.531,49.5,64.4,4.9,3.3,,0.495,8.3,30,0.18,,0.616,11.4,73.2,0.105
2018,38,38,2018-01-06,,GSW,L,105,121,96.4,111.1,108.9,0.33,0.121,0.504,45.5,48.7,9.2,12.7,,0.445,14.7,20,0.264,,0.484,12.7,71.4,0.319
2018,39,39,2018-01-08,,ATL,W,108,107,108.2,107.2,99.9,0.4,0.212,0.54,45.6,42.1,10,15.3,,0.5,13.8,27.5,0.271,,0.448,11.4,63.5,0.219
2018,40,40,2018-01-10,@,GSW,W,125,106,121.4,102.9,103,0.298,0.255,0.588,58.2,52.2,8.7,5.4,,0.548,11.6,27.5,0.234,,0.532,15,89.7,0.278
2018,41,41,2018-01-11,@,SAC,W,121,115,118.3,112.4,102.3,0.357,0.369,0.622,47,65.1,8.8,8.5,,0.589,14.9,19,0.262,,0.541,13.4,75.6,0.271
2018,42,42,2018-01-13,,SAC,W,126,105,125.4,104.5,100.5,0.317,0.378,0.674,51.3,63,10.9,7.4,,0.634,13.8,15.6,0.268,,0.541,14.5,77.3,0.153
2018,43,43,2018-01-15,,HOU,W,113,102,115,103.8,98.2,0.253,0.316,0.644,52.6,68.2,6.1,20,,0.62,17,14.3,0.19,,0.473,10.6,74,0.138
2018,44,44,2018-01-17,,DEN,W,109,104,107.5,102.6,101.4,0.356,0.345,0.542,47.1,55,9.9,6.9,,0.517,16.6,33.3,0.218,,0.459,15.3,60.8,0.155
2018,45,45,2018-01-20,@,UTA,L,113,125,108.7,120.2,104,0.463,0.439,0.572,37.8,50,16.4,3.7,,0.506,12.4,13.5,0.366,,0.616,17.2,71.1,0.293
2018,46,46,2018-01-22,,MIN,L,118,126,116.6,124.5,101.2,0.262,0.321,0.63,46,66,4,1.4,,0.613,15.4,21.6,0.179,,0.511,10.7,64,0.363
2018,47,47,2018-01-24,,BOS,L,102,113,100,110.8,102,0.494,0.266,0.53,46,74.3,5.9,9.4,,0.475,16.5,21.3,0.342,,0.495,11.2,75,0.226
2018,48,48,2018-01-26,@,MEM,W,109,100,110.9,101.7,98.3,0.363,0.338,0.588,45.6,59,15.3,11.1,,0.55,9.7,7.9,0.263,,0.531,17.6,80.5,0.173
