Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-19,,LAC,L,92,108,86.9,102,105.9,0.253,0.176,0.455,46.8,56.8,7.6,9.5,,0.429,15.8,22.2,0.154,,0.449,11,70.2,0.112
2018,2,2,2017-10-20,@,PHO,W,132,130,112.7,110.9,117.2,0.355,0.28,0.614,45.7,45.8,6.8,4.8,,0.581,14.3,11.1,0.258,,0.565,14.9,78.7,0.283
2018,3,3,2017-10-22,,NOP,L,112,119,107.7,114.4,104,0.222,0.3,0.567,47.5,61.4,6.7,11.8,,0.539,14.7,20,0.167,,0.627,16.3,82.9,0.181
2018,4,4,2017-10-25,,WAS,W,102,99,92.1,89.4,100.3,0.174,0.326,0.515,54.1,65.9,8.1,7.2,,0.484,17.5,13.6,0.141,,0.442,11,87,0.158
2018,5,5,2017-10-27,,TOR,L,92,101,91.2,100.1,100.9,0.304,0.291,0.514,55.1,55.6,6.9,9.4,,0.475,19,22.5,0.215,,0.468,10.5,81.6,0.151
2018,6,6,2017-10-28,@,UTA,L,81,96,90.6,107.4,89.4,0.247,0.272,0.451,44.3,54.8,13.4,8.3,,0.414,15.1,28.6,0.173,,0.551,19.9,64.1,0.114
2018,7,7,2017-10-31,,DET,W,113,93,116,95.5,97.4,0.154,0.286,0.582,54.6,66.7,9.2,8.2,,0.56,12.6,24.4,0.121,,0.489,11.2,80.8,0.011
2018,8,8,2017-11-02,@,POR,L,110,113,112.8,115.9,97.5,0.342,0.228,0.605,43.8,37.2,8.2,12.5,,0.57,10.8,6.1,0.253,,0.517,10.9,75,0.279
2018,9,9,2017-11-03,,BRK,W,124,112,109.3,98.8,113.4,0.287,0.223,0.586,57,54.2,8.8,13.2,,0.559,13.1,16.7,0.202,,0.456,12.9,86.2,0.319
2018,10,10,2017-11-05,,MEM,W,107,102,107.8,102.7,99.3,0.271,0.318,0.562,54.1,62.5,5,8,,0.524,14.4,19.5,0.212,,0.523,11.4,86.4,0.126
2018,11,11,2017-11-08,@,BOS,L,96,107,94.2,105,101.9,0.271,0.282,0.505,50,43.2,7.8,11.6,,0.465,17.4,27.3,0.2,,0.423,10.4,69.2,0.245
2018,12,12,2017-11-09,@,WAS,L,95,111,92.7,108.4,102.4,0.477,0.267,0.457,50.5,54.8,8.8,6.5,,0.378,15.4,30.9,0.349,,0.56,17.1,80.6,0.217
2018,13,13,2017-11-11,@,MIL,L,90,98,90.7,98.8,99.2,0.5,0.297,0.498,53.3,67.7,7.1,14.5,,0.459,18.9,19.5,0.297,,0.447,11.1,81.6,0.259
2018,14,14,2017-11-13,@,PHO,W,100,93,95.7,89,104.5,0.141,0.359,0.512,49.5,43.6,5.7,8.7,,0.5,14.1,17.3,0.087,,0.426,12.6,80,0.126
2018,15,15,2017-11-15,,PHI,L,109,115,103.7,109.4,105.1,0.248,0.248,0.451,52.3,42.9,6.7,11.1,,0.399,6.9,33.3,0.202,,0.529,13.9,81.4,0.279
2018,16,16,2017-11-17,,PHO,L,113,122,101.7,109.8,111.2,0.264,0.275,0.556,52.7,57.8,6.3,14.1,,0.533,15.8,20.5,0.176,,0.529,10.5,81.6,0.126
2018,17,17,2017-11-19,,DEN,W,127,109,122.9,105.4,103.4,0.16,0.32,0.593,49.5,67.9,10.6,9.4,,0.59,12.3,30.2,0.09,,0.506,16.8,66,0.286
