Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,,NOP,W,103,91,110.4,97.6,93.3,0.304,0.315,0.494,46.9,48.7,9.6,14.8,,0.473,9.5,30,0.174,,0.424,15.6,65.2,0.304
2018,2,2,2017-10-21,,GSW,W,111,101,112.8,102.7,98.4,0.481,0.351,0.595,46.5,55.6,8.1,8.7,,0.532,13,15,0.377,,0.464,15.1,73.9,0.274
2018,3,3,2017-10-23,@,HOU,W,98,90,106.9,98.2,91.7,0.544,0.279,0.581,49.4,55.2,5.5,5.1,,0.471,12.5,9.1,0.5,,0.474,15.5,79.5,0.221
2018,4,4,2017-10-25,@,DAL,L,94,103,102.4,112.2,91.8,0.333,0.431,0.569,50.7,42.4,7.6,4.2,,0.542,17.1,16.2,0.222,,0.561,11.3,88.2,0.27
2018,5,5,2017-10-26,,DAL,W,96,91,102.2,96.9,93.9,0.411,0.466,0.557,46.5,60,7.5,10,,0.479,17.3,20.5,0.356,,0.394,12,67.3,0.181
2018,6,6,2017-10-28,,HOU,W,103,89,111.5,96.3,92.4,0.141,0.388,0.57,49.4,65,10.8,15.4,,0.553,9.1,14.6,0.106,,0.468,16.5,81.8,0.221
2018,7,7,2017-10-30,,CHO,L,99,104,98.8,103.8,100.2,0.355,0.376,0.46,46.2,53.1,7,11.1,,0.387,6.1,19.3,0.29,,0.455,9.8,78.7,0.258
2018,8,8,2017-11-01,,ORL,L,99,101,102.9,105,96.2,0.195,0.366,0.556,44.9,53.8,12.5,6.5,,0.537,12.7,13.5,0.134,,0.593,22.8,81.3,0.16
2018,9,9,2017-11-04,@,LAC,W,113,104,121.8,112.1,92.7,0.286,0.369,0.598,47.6,52.5,8.6,12.3,,0.554,10.4,24.3,0.238,,0.482,11.9,66.7,0.289
2018,10,10,2017-11-05,@,LAL,L,102,107,102.7,107.8,99.3,0.161,0.425,0.547,45.9,57.5,6,12.1,,0.523,11.4,13.6,0.126,,0.524,14.4,80.5,0.212
2018,11,11,2017-11-07,@,POR,W,98,97,106.4,105.3,92.1,0.342,0.26,0.583,44.7,51.4,8.7,16.1,,0.527,14.3,13.5,0.288,,0.481,15.1,74.4,0.235
2018,12,12,2017-11-11,@,HOU,L,96,111,97.3,112.5,98.7,0.228,0.253,0.552,47.1,60.5,9.1,13.2,,0.519,17.9,12.5,0.177,,0.542,13.6,76.6,0.253
2018,13,13,2017-11-13,@,MIL,L,103,110,115.7,123.6,89,0.276,0.342,0.604,50.7,56.8,5.6,1.7,,0.559,14.1,23.5,0.237,,0.561,8.8,74.4,0.22
2018,14,14,2017-11-15,,IND,L,113,116,115.3,118.4,98,0.256,0.372,0.591,54.4,65.9,5.1,16.4,,0.558,12.8,26.2,0.198,,0.576,11.3,86.5,0.212
2018,15,15,2017-11-18,,HOU,L,83,105,91.8,116.1,90.4,0.221,0.314,0.44,51.6,58.1,6.6,20,,0.401,11.3,29.4,0.163,,0.564,15.5,78.6,0.218
2018,16,16,2017-11-20,,POR,L,92,100,96.6,105,95.2,0.267,0.349,0.479,36.8,69.7,6.3,13.2,,0.43,7.7,10,0.209,,0.434,13.4,66.7,0.337
2018,17,17,2017-11-22,,DAL,L,94,95,95,96,98.9,0.173,0.358,0.539,56.5,67.6,7.1,9.5,,0.5,16.3,14.3,0.16,,0.478,7.5,92,0.088
2018,18,18,2017-11-24,@,DEN,L,92,104,98.5,111.4,93.4,0.219,0.329,0.575,31.5,77.8,10.7,6.4,,0.555,18.4,7.9,0.151,,0.563,18.8,57.1,0.19
2018,19,19,2017-11-26,,BRK,L,88,98,101.5,113.1,86.7,0.225,0.313,0.5,44.9,46.9,9.2,6.7,,0.45,13.7,26.2,0.2,,0.534,16.8,66.7,0.257
2018,20,20,2017-11-29,@,SAS,L,95,104,109.4,119.8,86.8,0.208,0.286,0.565,53.6,60,4.6,1.8,,0.526,16.8,28.9,0.182,,0.56,8.6,83.9,0.267
2018,21,21,2017-12-01,,SAS,L,79,95,89.5,107.6,88.3,0.243,0.203,0.482,46.9,63.3,9.1,14,,0.439,16.3,18.2,0.189,,0.521,13.4,81.1,0.314
2018,22,22,2017-12-02,@,CLE,L,111,116,118.5,123.8,93.7,0.167,0.274,0.616,53.7,72.1,6.4,7.8,,0.589,11.7,16.7,0.143,,0.633,10.5,96.8,0.28
2018,23,23,2017-12-04,,MIN,W,95,92,106.8,103.4,89,0.333,0.292,0.575,54.7,64.7,6.7,12.9,,0.514,16.2,18.2,0.292,,0.468,9.3,83.3,0.228
2018,24,24,2017-12-06,@,NYK,L,88,99,102.1,114.9,86.2,0.314,0.4,0.552,39.1,48.3,9.3,9.4,,0.5,15.8,11.1,0.257,,0.59,16.9,69.7,0.299
2018,25,25,2017-12-08,,TOR,L,107,116,116.9,126.7,91.5,0.268,0.329,0.584,49.3,58.5,8.7,6.4,,0.555,14.9,29.7,0.195,,0.558,10.6,70.6,0.372
2018,26,26,2017-12-09,,OKC,L,101,102,108.4,109.5,84.4,0.193,0.375,0.529,50,59,5.4,8.6,,0.517,12,30.2,0.114,,0.457,8.6,66.7,0.196
2018,27,27,2017-12-11,,MIA,L,82,107,93.3,121.7,87.9,0.375,0.375,0.489,47,60.7,6.8,2.6,,0.444,14.3,15.4,0.25,,0.667,14.5,92.6,0.288
2018,28,28,2017-12-13,@,WAS,L,87,93,92.7,99.1,93.9,0.198,0.346,0.494,51.6,58.1,6.4,3.6,,0.444,15.4,20.8,0.185,,0.526,14.6,86,0.156
2018,29,29,2017-12-15,,ATL,W,96,94,103,100.9,93.2,0.218,0.321,0.562,55.1,58.3,12.9,13,,0.538,19.7,26.3,0.154,,0.519,16.8,82.5,0.182
2018,30,30,2017-12-16,,BOS,L,93,102,107.8,118.2,86.3,0.215,0.43,0.538,47.5,56.3,9.3,6,,0.494,13.1,26.3,0.19,,0.575,15.7,66.7,0.125
