Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,@,ORL,L,109,116,103.6,110.3,105.2,0.168,0.297,0.502,46.8,61.4,5.7,5.8,,0.475,10.7,22,0.129,,0.522,12,75,0.244
2018,2,2,2017-10-21,,IND,W,112,108,112.2,108.1,99.9,0.161,0.391,0.601,50,53.3,6,14.3,,0.598,13.1,15.8,0.092,,0.484,8.7,75,0.156
2018,3,3,2017-10-23,,ATL,W,104,93,105.8,94.6,98.3,0.212,0.435,0.56,50,53.8,12.2,10.2,,0.541,17,22.2,0.141,,0.52,19.2,83.8,0.184
2018,4,4,2017-10-25,,SAS,L,100,117,108.4,126.8,92.3,0.225,0.325,0.569,42.1,51.4,6.5,3.4,,0.519,9.3,10,0.213,,0.618,12.7,77.8,0.303
2018,5,5,2017-10-28,,BOS,L,90,96,96,102.4,93.7,0.203,0.392,0.523,49.4,50,6.4,15.5,,0.475,18.1,16.7,0.19,,0.457,11.5,75.6,0.272
2018,6,6,2017-10-30,,MIN,L,122,125,110.8,113.6,99.7,0.269,0.29,0.587,55.1,34.7,7.3,7.4,,0.565,18.8,33.3,0.183,,0.511,13.1,77.3,0.352
2018,7,7,2017-11-01,,CHI,W,97,91,97.3,91.3,99.7,0.229,0.373,0.531,47.1,61.8,8,0,,0.482,10.7,6,0.205,,0.444,11,86.5,0.135
2018,8,8,2017-11-03,@,DEN,L,94,95,99.8,100.9,94.2,0.143,0.481,0.574,50,63.9,9.6,10.5,,0.565,21.9,22.2,0.091,,0.506,15.7,71.7,0.175
2018,9,9,2017-11-05,@,LAC,W,104,101,111.3,108.1,93.5,0.226,0.429,0.563,42.5,62.2,12.8,10.7,,0.524,14.8,23.8,0.19,,0.443,13,60,0.276
2018,10,10,2017-11-06,@,GSW,L,80,97,81.5,98.8,98.1,0.205,0.313,0.442,46.3,63.3,10.2,10.9,,0.41,18.1,15.6,0.145,,0.431,12.5,74,0.253
2018,11,11,2017-11-08,@,PHO,W,126,115,124.7,113.8,101.1,0.432,0.37,0.654,60.9,48.8,4.9,6.8,,0.605,12.7,28.2,0.346,,0.523,9.8,87.5,0.261
2018,12,12,2017-11-10,@,UTA,W,84,74,88.3,77.8,95.1,0.234,0.325,0.495,54.5,33.3,9.5,11.3,,0.455,18.3,16.3,0.182,,0.372,16.9,91.1,0.257
2018,13,13,2017-11-12,@,DET,L,103,112,106.5,115.8,96.7,0.178,0.411,0.531,41.9,64.1,8.3,8.5,,0.506,8.5,14,0.133,,0.563,11.9,74.4,0.161
2018,14,14,2017-11-15,,WAS,L,93,102,104.9,115,88.7,0.244,0.385,0.538,51.2,46.9,3.4,5.1,,0.494,16.4,29.3,0.205,,0.468,11.6,73.2,0.372
2018,15,15,2017-11-17,@,WAS,W,91,88,96.3,93.1,94.5,0.217,0.422,0.5,53.1,61.8,6.4,14.3,,0.47,14.2,20.4,0.157,,0.44,11.6,85.7,0.167
2018,16,16,2017-11-19,,IND,L,95,120,104.8,132.4,90.6,0.169,0.446,0.533,45.5,60,8.8,3.2,,0.5,13.6,23.3,0.145,,0.665,11.9,73.5,0.082
2018,17,17,2017-11-22,,BOS,W,104,98,107.6,101.4,96.6,0.198,0.346,0.591,56.5,50,3.1,6.9,,0.556,15.4,18.9,0.173,,0.47,10.3,85.4,0.226
2018,18,18,2017-11-24,@,MIN,W,109,97,121.5,108.1,89.7,0.2,0.488,0.626,48.8,76.3,4.5,6,,0.594,13,22.5,0.175,,0.482,9.5,71.7,0.19
2018,19,19,2017-11-26,@,CHI,W,100,93,102.4,95.2,97.7,0.307,0.427,0.587,48.9,55.9,9.2,8.9,,0.54,12.4,2.4,0.253,,0.449,11.9,86.3,0.146
2018,20,20,2017-11-28,@,CLE,L,97,108,98.9,110.1,98.1,0.238,0.369,0.523,48.3,64.9,7.1,10.4,,0.5,13.9,16.7,0.155,,0.562,12.5,87.2,0.21
2018,21,21,2017-11-29,@,NYK,L,86,115,89.3,119.4,96.3,0.238,0.452,0.463,37.3,65.6,13.5,6.7,,0.44,13.9,17,0.143,,0.637,19.1,73.3,0.301
2018,22,22,2017-12-01,,CHO,W,105,100,106.2,101.2,98.9,0.263,0.438,0.588,49.4,64.1,8.1,6.8,,0.575,19,23.1,0.163,,0.513,20,75,0.241
2018,23,23,2017-12-03,,GSW,L,95,123,102.4,132.6,92.8,0.21,0.457,0.537,40.6,51.5,5.4,7.4,,0.494,11.1,12.8,0.185,,0.625,8.7,76.7,0.214
2018,24,24,2017-12-06,@,SAS,L,105,117,117.9,131.4,89,0.167,0.472,0.679,46,71.8,7.9,6.5,,0.667,18.9,20,0.125,,0.603,10.6,69.7,0.138
2018,25,25,2017-12-09,@,BRK,W,101,89,110.8,97.6,91.2,0.156,0.3,0.525,50.6,35.7,6.6,14.8,,0.511,4.9,18.6,0.1,,0.451,11.8,81.8,0.198
2018,26,26,2017-12-11,@,MEM,W,107,82,121.7,93.3,87.9,0.364,0.409,0.699,53,64.9,9.1,17.8,,0.667,14.5,7.4,0.288,,0.444,14.3,84.6,0.25
2018,27,27,2017-12-13,,POR,L,95,102,110.8,119,85.7,0.319,0.417,0.578,52.2,55.9,7,2.3,,0.563,15.4,26.3,0.194,,0.569,11.8,83.9,0.278
2018,28,28,2017-12-15,@,CHO,W,104,98,107.5,101.3,96.7,0.218,0.397,0.608,50,64.1,10.3,14.3,,0.571,15.8,13.9,0.192,,0.47,14.4,78.3,0.241
2018,29,29,2017-12-16,,LAC,W,90,85,102.8,97.1,87.6,0.256,0.427,0.493,44.6,71,11.4,15.4,,0.451,8.1,20.9,0.195,,0.488,16.5,70,0.088
2018,30,30,2017-12-18,@,ATL,L,104,110,105.8,112,98.3,0.38,0.316,0.564,51.9,52.8,9.2,9.8,,0.5,17.1,21.6,0.316,,0.506,11,77.3,0.313
