Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,@,BOS,W,108,100,110.4,102.2,97.9,0.395,0.276,0.605,51.1,50,6.1,6.3,,0.546,14.4,15.8,0.329,,0.489,10.7,78,0.121
2018,2,2,2017-10-20,,CLE,L,97,116,104.7,125.2,92.7,0.146,0.427,0.556,40.5,60.5,9.7,3.6,,0.53,13.8,18.6,0.122,,0.611,16.1,71,0.21
2018,3,3,2017-10-21,,POR,W,113,110,117,113.9,96.6,0.375,0.225,0.606,45.5,52.4,9.3,15.1,,0.569,13.1,19.4,0.275,,0.488,14.2,68.3,0.383
2018,4,4,2017-10-23,,CHO,W,103,94,105.7,96.4,97.5,0.188,0.306,0.56,46.7,60,8.2,7.7,,0.524,12.4,11.6,0.165,,0.468,13,78.7,0.269
2018,5,5,2017-10-26,,BOS,L,89,96,93.1,100.4,95.6,0.182,0.325,0.535,45.1,62.9,6.3,6.3,,0.526,16.1,4.9,0.104,,0.494,14.6,85.4,0.244
2018,6,6,2017-10-29,@,ATL,W,117,106,118.4,107.3,98.8,0.259,0.321,0.648,58.1,68.2,9.1,6.3,,0.623,13.4,15.2,0.198,,0.552,15.3,92.7,0.273
2018,7,7,2017-10-31,,OKC,L,91,110,96.5,116.7,94.3,0.286,0.403,0.525,40.3,75,8.5,7.5,,0.474,13.9,9.8,0.234,,0.568,14.3,75,0.222
2018,8,8,2017-11-01,@,CHO,L,121,126,121.2,126.2,99.8,0.165,0.396,0.62,49.4,64.4,3,5.1,,0.599,12.5,20.9,0.132,,0.619,10.2,81.6,0.262
2018,9,9,2017-11-03,@,DET,L,96,105,104.5,114.2,91.9,0.108,0.301,0.552,48,69.2,6.5,11.5,,0.53,13,17.9,0.096,,0.526,11.7,80.6,0.295
2018,10,10,2017-11-07,@,CLE,L,119,124,123.6,128.7,96.3,0.193,0.361,0.661,48,61.7,6.2,12.5,,0.645,15.1,22.9,0.145,,0.555,10.8,70,0.402
2018,11,11,2017-11-10,@,SAS,W,94,87,100.2,92.7,93.8,0.157,0.202,0.494,52.2,65.9,10.7,13.7,,0.489,12,24.4,0.079,,0.481,17.5,80,0.125
2018,12,12,2017-11-11,,LAL,W,98,90,98.8,90.7,99.2,0.306,0.271,0.508,46.7,45.7,11.1,7.7,,0.447,11.1,18.4,0.259,,0.459,18.9,80.5,0.297
2018,13,13,2017-11-13,,MEM,W,110,103,123.6,115.7,89,0.305,0.268,0.591,49.3,57.5,6.7,10,,0.561,8.8,25.6,0.22,,0.559,14.1,76.5,0.237
2018,14,14,2017-11-15,,DET,W,99,95,110.5,106.1,89.6,0.269,0.282,0.567,48.9,63.2,11.2,33.3,,0.538,14.7,28.2,0.192,,0.441,14.4,65.3,0.235
2018,15,15,2017-11-18,@,DAL,L,79,111,85.5,120.1,92.4,0.419,0.338,0.451,43.7,46.4,8.7,12.2,,0.419,12,16,0.23,,0.601,15.5,81.1,0.203
2018,16,16,2017-11-20,,WAS,L,88,99,99.2,111.6,88.7,0.241,0.278,0.504,41.8,48.6,11.3,14,,0.468,9.3,13.6,0.177,,0.588,16.4,77.1,0.162
2018,17,17,2017-11-22,@,PHO,W,113,107,103.8,98.3,98.6,0.32,0.299,0.511,41.2,45.2,14.7,8.5,,0.474,11.2,25.5,0.216,,0.435,21.2,56.9,0.28
