Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,@,SAS,L,99,107,104.8,113.3,94.5,0.271,0.224,0.52,45.7,62.2,7.4,5.9,,0.482,12,22.4,0.2,,0.506,10.2,72.1,0.191
2018,2,2,2017-10-20,,UTA,W,100,97,105.2,102,95.1,0.321,0.272,0.541,53.7,47.2,11.6,3.6,,0.488,14,24.4,0.259,,0.539,18.4,82.9,0.182
2018,3,3,2017-10-22,@,OKC,W,115,113,113.7,111.8,101.1,0.267,0.291,0.598,55.6,58.1,4.9,1.5,,0.558,15,27,0.221,,0.536,9.6,79.5,0.104
2018,4,4,2017-10-24,,IND,L,107,130,109.7,133.2,97.6,0.256,0.279,0.559,39.1,64.3,9.2,6.5,,0.541,12.8,20.9,0.163,,0.726,16.1,69.2,0.095
2018,5,5,2017-10-25,@,DET,L,101,122,101.9,123.1,99.1,0.247,0.294,0.536,44,51.4,5,6.9,,0.488,12.9,16.7,0.212,,0.603,12.3,71.4,0.12
2018,6,6,2017-10-27,,OKC,W,119,116,123.9,120.7,96.1,0.407,0.256,0.587,55.7,54.8,5.2,12.1,,0.535,12.9,41.5,0.314,,0.547,12.6,71.1,0.256
2018,7,7,2017-10-30,@,MIA,W,125,122,113.6,110.8,99.7,0.385,0.253,0.587,44.9,48.8,14.5,6.1,,0.511,13.1,22.7,0.352,,0.565,18.8,66.7,0.183
2018,8,8,2017-11-01,@,NOP,W,104,98,102.8,96.9,101.2,0.289,0.265,0.556,55.3,48.8,12.8,5.7,,0.53,18.3,27.5,0.193,,0.476,16.9,80,0.214
2018,9,9,2017-11-04,,DAL,W,112,99,116.2,102.7,96.4,0.253,0.304,0.638,60.8,76.7,7.3,13.6,,0.608,17,29.4,0.203,,0.523,14.9,84.4,0.105
2018,10,10,2017-11-05,,CHO,W,112,94,114.9,96.4,97.5,0.361,0.289,0.582,57.4,52.6,4.1,6.6,,0.518,14.3,28.6,0.313,,0.466,10.1,80.8,0.124
2018,11,11,2017-11-08,@,GSW,L,101,125,94.7,117.1,106.7,0.293,0.261,0.486,47.7,55.3,14.1,0,,0.44,11.1,17.6,0.217,,0.653,17,91.4,0.165
2018,12,12,2017-11-11,@,PHO,L,110,118,106.8,114.5,103,0.365,0.208,0.494,50.5,41,11.6,6.7,,0.427,9,32.8,0.292,,0.593,15.7,80,0.186
2018,13,13,2017-11-13,@,UTA,W,109,98,117.7,105.9,92.6,0.408,0.282,0.651,56.3,59.5,9.7,11.4,,0.592,15.2,17.9,0.352,,0.524,14.4,81.4,0.119
2018,14,14,2017-11-15,,SAS,W,98,86,113.7,99.8,86.2,0.184,0.207,0.521,47.7,69.2,10.4,7.3,,0.5,6,25.6,0.126,,0.462,15.7,69.8,0.165
2018,15,15,2017-11-17,@,DAL,W,111,87,122.8,96.2,90.4,0.274,0.357,0.59,53.9,69.2,7.7,0,,0.542,9.6,26.8,0.238,,0.419,10.5,77.1,0.174
2018,16,16,2017-11-19,,DET,L,97,100,99.2,102.3,97.8,0.231,0.282,0.564,50.7,57.5,11.3,6.9,,0.545,18.9,18.8,0.154,,0.518,17.1,74.4,0.169
2018,17,17,2017-11-20,@,CHO,L,102,118,102,118.1,100,0.289,0.3,0.503,42.2,35.1,8,10.2,,0.444,9,19.6,0.244,,0.559,14.8,71.8,0.271
2018,18,18,2017-11-22,,ORL,W,124,118,120.1,114.3,103.2,0.517,0.264,0.581,48.8,55,8.7,5.6,,0.506,6.2,21.3,0.414,,0.571,12.2,82.1,0.154
2018,19,19,2017-11-24,,MIA,L,97,109,108.1,121.5,89.7,0.31,0.202,0.508,51.2,56.8,10,7.3,,0.482,9.5,28.3,0.19,,0.594,13,77.5,0.175
2018,20,20,2017-11-26,,PHO,W,119,108,130.5,118.4,91.2,0.183,0.226,0.592,56.5,49,13.2,8.5,,0.575,9.1,42.2,0.129,,0.582,14.2,72.5,0.106
2018,21,21,2017-11-28,,WAS,L,89,92,103,106.4,86.4,0.165,0.353,0.488,52.7,77.1,3.5,1.8,,0.471,9.9,27.1,0.106,,0.494,7.2,80,0.12
