Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,@,MEM,L,91,103,97.6,110.4,93.3,0.367,0.316,0.496,53.1,50,4.3,19,,0.424,15.6,34.8,0.304,,0.473,9.5,70,0.174
2018,2,2,2017-10-20,,GSW,L,120,128,112.2,119.7,106.9,0.224,0.367,0.557,51,57.8,7.5,7.8,,0.541,13.6,29.1,0.143,,0.615,15.3,77.8,0.176
2018,3,3,2017-10-22,@,LAL,W,119,112,114.4,107.7,104,0.253,0.386,0.645,52.5,55.3,13.5,7.9,,0.627,16.3,17.1,0.181,,0.539,14.7,80,0.167
2018,4,4,2017-10-24,@,POR,L,93,103,92,101.9,101,0.421,0.395,0.516,40,56.7,4.9,11.9,,0.454,15.9,8.2,0.316,,0.432,14.9,67.9,0.307
2018,5,5,2017-10-26,@,SAC,W,114,106,116.5,108.4,97.8,0.267,0.372,0.593,58,52.4,5.1,4.9,,0.564,13.5,25.6,0.198,,0.512,11.5,88.1,0.284
2018,6,6,2017-10-28,,CLE,W,123,101,122.7,100.7,100.3,0.168,0.347,0.603,56,67.3,10,8.7,,0.584,9.7,23.8,0.126,,0.538,17,88.1,0.218
2018,7,7,2017-10-30,,ORL,L,99,115,97.5,113.3,101.5,0.212,0.329,0.533,50,76.9,8.9,9.8,,0.5,17,19.6,0.165,,0.6,14.7,85,0.153
2018,8,8,2017-11-01,,MIN,L,98,104,96.9,102.8,101.2,0.25,0.369,0.526,44.7,75,12.8,6.6,,0.476,16.9,20,0.214,,0.53,18.3,72.5,0.193
2018,9,9,2017-11-03,@,DAL,W,99,94,97.8,92.8,101.3,0.292,0.326,0.493,53,63.9,8.9,7.4,,0.444,10.7,19.1,0.225,,0.438,13.3,83,0.193
2018,10,10,2017-11-04,@,CHI,W,96,90,93.1,87.3,93.4,0.253,0.356,0.496,47.3,65.7,8.7,7,,0.454,11.9,10.6,0.195,,0.409,14,74.6,0.091
2018,11,11,2017-11-07,@,IND,W,117,112,121.7,116.5,96.1,0.253,0.402,0.605,51.2,52.3,6.2,7.2,,0.586,11,26.8,0.172,,0.522,9,74.4,0.161
2018,12,12,2017-11-09,@,TOR,L,118,122,113.8,117.6,103.7,0.305,0.378,0.634,44.2,70.5,6.7,7.1,,0.616,12.3,9.5,0.207,,0.541,10,77.3,0.163
2018,13,13,2017-11-11,,LAC,W,111,103,109.2,101.3,101.6,0.3,0.2,0.613,58,60.5,6.9,6.7,,0.575,20.3,21.6,0.238,,0.465,10.1,84.3,0.267
2018,14,14,2017-11-13,,ATL,W,106,105,113.1,112,93.7,0.227,0.44,0.643,51.4,75.6,10.7,9.8,,0.633,18.7,21.2,0.147,,0.557,15,75.6,0.092
2018,15,15,2017-11-15,,TOR,L,116,125,117.9,127.1,98.4,0.154,0.297,0.597,46.4,67.4,13.2,7.1,,0.56,12.6,24.4,0.154,,0.697,19.8,78.6,0.25
2018,16,16,2017-11-17,@,DEN,L,114,146,115.5,148,98.7,0.11,0.363,0.597,37.7,66.7,2,0,,0.593,12,18.6,0.066,,0.73,12.5,61.8,0.18
2018,17,17,2017-11-20,,OKC,W,114,107,109.7,102.9,103.9,0.4,0.313,0.606,55.1,63.4,7.7,5.6,,0.556,16.8,18.4,0.313,,0.489,12.2,82.4,0.225
2018,18,18,2017-11-22,,SAS,W,107,90,108.9,91.6,98.2,0.296,0.296,0.584,53.6,59,7.1,3.1,,0.525,14.1,18.4,0.272,,0.432,13.7,82.6,0.159
