Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-19,@,OKC,L,84,105,85,106.2,98.9,0.241,0.304,0.481,50,59.4,8.1,7.7,,0.449,22.2,28.2,0.165,,0.494,15.3,69.8,0.178
2018,2,2,2017-10-21,,DET,L,107,111,117.4,121.8,91.2,0.383,0.37,0.565,47.6,54.1,6.6,3.3,,0.506,11.3,30,0.309,,0.533,10.9,64.3,0.154
2018,3,3,2017-10-24,@,BOS,L,89,110,94.2,116.4,94.5,0.294,0.141,0.464,51.2,55.6,8.5,4.3,,0.429,12.7,23.4,0.188,,0.587,12.1,86.5,0.293
2018,4,4,2017-10-27,,BRK,W,107,86,114.5,92,93.5,0.173,0.276,0.507,61.1,43.2,7.5,13.3,,0.495,9.4,38.8,0.102,,0.473,16,87.8,0.2
2018,5,5,2017-10-29,@,CLE,W,114,95,115.2,96,99,0.236,0.315,0.58,55.4,64.3,9.1,12.5,,0.545,12.5,24.4,0.191,,0.444,13.9,85.1,0.284
2018,6,6,2017-10-30,,DEN,W,116,110,118.5,112.4,97.9,0.28,0.39,0.63,57.6,65.9,8.2,22.7,,0.579,19.3,32.4,0.256,,0.518,11.6,74.5,0.259
2018,7,7,2017-11-01,,HOU,L,97,119,93.7,114.9,103.6,0.144,0.289,0.507,47.7,59,7.7,2.8,,0.478,16.6,14,0.122,,0.585,12.6,80,0.182
2018,8,8,2017-11-03,,PHO,W,120,107,121.8,108.6,98.5,0.287,0.299,0.612,51,53.3,5.1,10.8,,0.563,10.9,25,0.253,,0.397,8.1,66.7,0.309
2018,9,9,2017-11-05,,IND,W,108,101,115.4,107.9,93.6,0.216,0.261,0.56,57.5,54.5,8.5,13,,0.534,11.1,28.6,0.159,,0.544,12.2,89.5,0.19
2018,10,10,2017-11-07,,CHO,W,118,113,128.1,122.7,92.1,0.28,0.333,0.7,46.7,64.4,5.4,9.3,,0.68,16,20.7,0.213,,0.544,11.7,63,0.154
2018,11,11,2017-11-08,@,ORL,L,99,112,105.1,118.9,94.2,0.163,0.15,0.577,59.2,61.9,7.4,3.8,,0.556,21.2,34.3,0.125,,0.619,11.8,83.3,0.163
2018,12,12,2017-11-11,,SAC,W,118,91,124.9,96.4,94.4,0.167,0.3,0.611,48.8,61.7,6.4,10.3,,0.589,10.2,20.5,0.133,,0.419,12.2,74.4,0.3
2018,13,13,2017-11-13,,CLE,L,101,104,101,104,100,0.25,0.284,0.517,50.5,50,13,7,,0.477,14.8,27.7,0.193,,0.489,17,72,0.205
2018,14,14,2017-11-15,,UTA,W,106,101,120,114.3,88.3,0.309,0.259,0.576,54.9,47.4,4.5,11.4,,0.525,10.7,30,0.259,,0.538,13.1,78.6,0.203
2018,15,15,2017-11-17,@,TOR,L,84,107,93.4,119,89.9,0.187,0.253,0.426,51.8,56.7,7.8,7.7,,0.379,8.4,27.5,0.165,,0.622,12.7,90.6,0.128
2018,16,16,2017-11-20,,LAC,W,107,85,110.4,87.7,96.9,0.309,0.42,0.582,58.6,68.6,11.4,10.4,,0.512,19.3,35,0.296,,0.438,19,78.7,0.188
2018,17,17,2017-11-22,,TOR,W,108,100,113.8,105.3,94.9,0.183,0.258,0.537,52.8,67.4,8.4,14.3,,0.505,9.9,30.2,0.151,,0.506,13.6,73.9,0.138
2018,18,18,2017-11-24,@,ATL,L,104,116,106.6,118.9,97.6,0.177,0.38,0.611,48.7,75,1,13.2,,0.582,19,15.6,0.152,,0.54,7.9,71.7,0.091
2018,19,19,2017-11-25,@,HOU,L,102,117,101.3,116.2,100.7,0.224,0.2,0.546,48.8,69,4,6.4,,0.518,16.2,15.4,0.165,,0.532,6.3,79.1,0.181
2018,20,20,2017-11-27,,POR,L,91,103,95,107.5,95.8,0.25,0.17,0.466,53.1,37.1,3.1,4.8,,0.426,11.7,25.9,0.182,,0.488,8.7,88.1,0.265
