Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-19,,NYK,W,105,84,106.2,85,98.9,0.244,0.422,0.527,50,66.7,14.2,12.7,,0.494,15.3,30.2,0.178,,0.449,22.2,71.8,0.165
2018,2,2,2017-10-21,@,UTA,L,87,96,93.6,103.3,93,0.244,0.423,0.504,48.1,46.9,15.1,8.3,,0.481,16.4,19,0.154,,0.552,17.8,81.1,0.143
2018,3,3,2017-10-22,,MIN,L,113,115,111.8,113.7,101.1,0.167,0.323,0.548,44.4,56.5,8.9,9.8,,0.536,9.6,20.5,0.104,,0.558,15,73,0.221
2018,4,4,2017-10-25,,IND,W,114,96,114.3,96.2,99.8,0.292,0.303,0.568,54.4,60.5,8,14.8,,0.539,16.6,37.2,0.202,,0.398,16.2,70.2,0.361
2018,5,5,2017-10-27,@,MIN,L,116,119,120.7,123.9,96.1,0.291,0.326,0.598,44.3,44.2,8.3,14.1,,0.547,12.6,28.9,0.256,,0.535,12.9,58.5,0.314
2018,6,6,2017-10-28,@,CHI,W,101,69,110.1,75.2,91.7,0.159,0.386,0.536,52.5,71.8,17.4,19.5,,0.517,10.5,23.9,0.114,,0.346,18,77.4,0.192
2018,7,7,2017-10-31,@,MIL,W,110,91,116.7,96.5,94.3,0.259,0.346,0.609,59.7,60,6.4,6.5,,0.568,14.3,25,0.222,,0.474,13.9,90.2,0.234
2018,8,8,2017-11-03,,BOS,L,94,101,102.2,109.8,92,0.161,0.402,0.505,49.5,57.1,4.3,12.5,,0.477,11.4,22.4,0.126,,0.506,9.6,77.1,0.19
2018,9,9,2017-11-05,@,POR,L,99,103,100.8,104.8,98.2,0.169,0.371,0.518,42.1,42.5,11.2,3.7,,0.511,10.3,14,0.09,,0.547,19.6,78.8,0.297
2018,10,10,2017-11-07,@,SAC,L,86,94,86.2,94.2,99.8,0.267,0.43,0.447,48.4,51.7,16,3.6,,0.395,12.7,17.6,0.209,,0.525,21.4,87.5,0.139
2018,11,11,2017-11-09,@,DEN,L,94,102,102.5,111.2,91.7,0.156,0.333,0.489,49.4,42.1,16.4,12.7,,0.483,14.3,36.7,0.078,,0.518,16.4,65,0.207
2018,12,12,2017-11-10,,LAC,W,120,111,125.7,116.2,95.5,0.513,0.333,0.628,46.5,57.5,8.4,13,,0.583,10.3,26.8,0.372,,0.536,15.6,64.4,0.25
2018,13,13,2017-11-12,,DAL,W,112,99,113.2,100.1,98.9,0.458,0.444,0.647,47.4,58.3,10.1,8,,0.604,14.8,9.1,0.347,,0.489,17.4,75.6,0.161
2018,14,14,2017-11-15,,CHI,W,92,79,104.6,89.8,87.9,0.514,0.417,0.521,55.8,57.7,8,4.3,,0.417,12.8,25.6,0.444,,0.42,13.4,86,0.213
2018,15,15,2017-11-17,@,SAS,L,101,104,113.9,117.3,88.7,0.236,0.258,0.514,48.2,61.5,7.9,7.1,,0.489,7.5,28.9,0.157,,0.532,12.7,70,0.286
2018,16,16,2017-11-20,@,NOP,L,107,114,102.9,109.7,103.9,0.292,0.393,0.533,44.9,57.9,13.5,3.6,,0.489,12.2,17.6,0.225,,0.556,16.8,81.6,0.313
2018,17,17,2017-11-22,,GSW,W,108,91,106.7,89.9,101.2,0.289,0.278,0.532,56.2,39,14.8,10.2,,0.5,13.6,28.9,0.2,,0.475,20,84.1,0.188
2018,18,18,2017-11-24,,DET,L,98,99,99.5,100.5,98.5,0.082,0.327,0.483,51.1,52.4,13.2,12.8,,0.469,12.1,27.1,0.061,,0.548,18.5,80,0.083
2018,19,19,2017-11-25,@,DAL,L,81,97,89.9,107.7,90.1,0.163,0.438,0.472,47.6,82.8,13.3,2.5,,0.444,16.5,18.6,0.125,,0.593,17.6,79.5,0.107
2018,20,20,2017-11-29,@,ORL,L,108,121,110.9,124.2,97.4,0.313,0.333,0.495,56.5,44.7,8.2,10.9,,0.458,10.6,37.5,0.208,,0.678,12.9,93.1,0.237
2018,21,21,2017-12-01,,MIN,W,111,107,121,116.7,91.7,0.278,0.329,0.626,61.8,68.3,7.6,13.5,,0.57,16.9,39.4,0.266,,0.592,15.8,82.9,0.224
2018,22,22,2017-12-03,,SAS,W,90,87,94.5,91.3,95.3,0.241,0.253,0.468,54.7,56.8,8.4,4.2,,0.46,17.2,32.6,0.115,,0.461,16.5,80,0.224
