Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,,MIA,W,116,109,110.3,103.6,105.2,0.322,0.233,0.564,53.2,51.2,7.6,12.7,,0.522,12,25,0.244,,0.475,10.7,78,0.129
2018,2,2,2017-10-20,@,BRK,L,121,126,112.6,117.3,107.4,0.169,0.371,0.633,45.5,66.7,8.4,4.6,,0.607,18.7,21.4,0.146,,0.549,14.4,67.4,0.272
2018,3,3,2017-10-21,@,CLE,W,114,93,116.4,95,97.9,0.222,0.389,0.577,53.2,70,7.2,9.8,,0.539,10.8,26.7,0.189,,0.424,14,77.6,0.233
2018,4,4,2017-10-24,,BRK,W,125,121,118,114.2,105.9,0.482,0.277,0.621,47.3,48.8,7.6,8.2,,0.542,9.9,14.6,0.422,,0.474,11.9,73.1,0.313
2018,5,5,2017-10-27,,SAS,W,114,87,115.1,87.8,99.1,0.167,0.274,0.632,47.9,45.8,9.1,10.8,,0.637,15.9,15.8,0.083,,0.36,14.4,69.6,0.258
2018,6,6,2017-10-29,@,CHO,L,113,120,104.6,111.1,108.1,0.268,0.34,0.521,39.8,68.3,10.2,5.1,,0.479,9.2,16.1,0.206,,0.577,14,71.4,0.082
2018,7,7,2017-10-30,@,NOP,W,115,99,113.3,97.5,101.5,0.212,0.4,0.619,50,62.8,9.9,1.8,,0.6,14.7,15,0.153,,0.5,17,80.4,0.165
2018,8,8,2017-11-01,@,MEM,W,101,99,105,102.9,96.2,0.187,0.387,0.622,55.1,65.8,6.2,15.4,,0.593,22.8,18.8,0.16,,0.537,12.7,86.5,0.134
2018,9,9,2017-11-03,,CHI,L,83,105,88,111.3,94.3,0.058,0.407,0.471,44.2,65.7,6.4,3.6,,0.465,15.4,15.2,0.035,,0.553,13.4,77.5,0.129
2018,10,10,2017-11-05,,BOS,L,88,104,88.5,104.5,99.5,0.198,0.319,0.445,45.5,54.5,4,7.1,,0.396,11.6,18.2,0.176,,0.5,11.7,79.5,0.169
2018,11,11,2017-11-08,,NYK,W,112,99,118.9,105.1,94.2,0.275,0.35,0.624,40.8,72.1,17,10.3,,0.619,11.8,16.7,0.163,,0.556,21.2,65.7,0.125
2018,12,12,2017-11-10,@,PHO,W,128,112,119.2,104.3,107.4,0.524,0.341,0.634,52.4,67.4,7.5,7.1,,0.604,15.1,20,0.354,,0.495,12.5,75.5,0.202
2018,13,13,2017-11-11,@,DEN,L,107,125,110.2,128.8,97.1,0.23,0.356,0.558,41.9,58.5,7.2,8.6,,0.534,11.1,17.8,0.161,,0.598,10.8,68.3,0.241
2018,14,14,2017-11-13,@,GSW,L,100,110,100.9,111,99.1,0.205,0.364,0.521,41.2,70.3,10.1,4.6,,0.477,10.3,9.5,0.182,,0.545,14.4,72.1,0.159
