Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,@,WAS,L,115,120,110.3,115.1,104.3,0.204,0.376,0.567,48,58.1,5.8,8,,0.543,14.4,23.4,0.151,,0.464,7.3,69.8,0.309
2018,2,2,2017-10-20,,BOS,L,92,102,92.4,102.5,99.5,0.174,0.348,0.464,46.1,57.1,7,7.3,,0.435,13.9,25.5,0.13,,0.476,16.2,70.2,0.262
2018,3,3,2017-10-21,@,TOR,L,94,128,87.4,119.1,107.5,0.439,0.293,0.48,44.6,56.3,4.7,8.9,,0.439,17,15.7,0.268,,0.545,11,80.5,0.348
2018,4,4,2017-10-23,@,DET,W,97,86,100.4,89,96.6,0.32,0.32,0.567,55.7,71.4,11.4,0,,0.527,19.7,21.1,0.24,,0.424,13,82,0.165
2018,5,5,2017-10-25,,HOU,L,104,105,106.4,107.4,97.8,0.103,0.371,0.513,51.8,67.4,14.3,19.4,,0.505,12.1,26.7,0.062,,0.56,18.2,81.6,0.28
2018,6,6,2017-10-28,@,DAL,W,112,110,119,116.9,94.1,0.161,0.402,0.601,56,58.1,10.6,2.9,,0.586,12.2,26.8,0.115,,0.642,17.1,91.2,0.203
2018,7,7,2017-10-30,@,HOU,W,115,107,113.4,105.5,101.4,0.3,0.3,0.635,57.8,61.4,9.9,11.1,,0.613,17.3,21.9,0.213,,0.476,13.1,80.4,0.337
2018,8,8,2017-11-01,,ATL,W,119,109,109.3,100.1,108.9,0.253,0.354,0.541,52,78.3,9.2,5.6,,0.53,12.7,28.8,0.141,,0.479,14.5,76,0.202
2018,9,9,2017-11-03,,IND,W,121,110,116.3,105.7,104,0.152,0.391,0.616,55.6,73.9,6.7,13,,0.598,15.5,27.3,0.12,,0.505,9.5,82.6,0.124
2018,10,10,2017-11-07,@,UTA,W,104,97,97.6,91.1,106.5,0.37,0.333,0.552,55.4,67.6,4.7,10,,0.494,18.9,20.5,0.296,,0.348,9.5,77.4,0.283
2018,11,11,2017-11-09,@,SAC,L,108,109,105.3,106.2,102.6,0.31,0.425,0.546,55.4,62.2,5.8,7.6,,0.511,14.7,26,0.218,,0.495,7.9,84.3,0.183
2018,12,12,2017-11-11,@,GSW,L,114,135,105.6,125.1,107.9,0.213,0.298,0.554,49.4,68.2,9.3,3.6,,0.532,15.6,27.1,0.149,,0.671,19.1,86.2,0.305
2018,13,13,2017-11-13,@,LAC,W,109,105,109,105,100,0.455,0.416,0.59,60,71.1,9,4,,0.539,17.8,28.6,0.338,,0.512,13.5,82,0.256
2018,14,14,2017-11-15,@,LAL,W,115,109,109.4,103.7,105.1,0.349,0.372,0.58,47.7,64.3,6.7,18.3,,0.529,13.9,18.6,0.279,,0.399,6.9,66.7,0.202
2018,15,15,2017-11-18,,GSW,L,116,124,115.4,123.3,100.5,0.165,0.299,0.557,45.5,59.6,8,7.4,,0.536,9.6,22.9,0.124,,0.588,10.7,72.5,0.187
2018,16,16,2017-11-20,,UTA,W,107,86,106.6,85.7,100.3,0.259,0.176,0.565,61.8,45.5,11,12.3,,0.541,16.7,25,0.176,,0.406,13,86.8,0.2
2018,17,17,2017-11-22,,POR,W,101,81,98.2,78.8,102.9,0.189,0.356,0.518,54.3,59,11.7,12.7,,0.494,15.6,22.9,0.133,,0.376,14.6,80.7,0.157
2018,18,18,2017-11-25,,ORL,W,130,111,128.8,109.9,101,0.211,0.358,0.626,56.4,72.9,6.9,3.6,,0.589,9.6,24.4,0.189,,0.523,8.3,85.7,0.244
2018,19,19,2017-11-27,,CLE,L,91,113,99.1,123.1,91.8,0.208,0.292,0.434,53.5,41.7,6.5,4.1,,0.391,10.3,38.6,0.167,,0.564,10.4,73.8,0.186
2018,20,20,2017-11-29,,WAS,W,118,113,112.2,107.5,105.1,0.79,0.222,0.54,64.6,62.2,5.7,11.9,,0.475,13.5,42.9,0.506,,0.455,9.5,86,0.36
2018,21,21,2017-11-30,@,BOS,L,97,108,102.7,114.3,94.5,0.214,0.381,0.528,52.9,68.6,11.6,2,,0.512,17.1,31.3,0.131,,0.582,15.4,81.1,0.203
2018,22,22,2017-12-02,,DET,W,108,103,111.6,106.4,96.8,0.372,0.326,0.54,56.6,77.1,7.2,8.5,,0.465,14.5,37,0.326,,0.494,14.8,81.1,0.333
2018,23,23,2017-12-04,,PHO,L,101,115,106.1,120.8,95.2,0.176,0.33,0.515,50.5,59,9.5,8.7,,0.467,12.5,29.5,0.176,,0.538,9.8,69.4,0.187
2018,24,24,2017-12-07,,LAL,L,104,107,104.7,107.8,99.3,0.259,0.321,0.576,50,74.4,3,19.1,,0.543,16.6,19.4,0.198,,0.495,9.4,71.2,0.125
2018,25,25,2017-12-09,@,CLE,L,98,105,103.9,111.4,94.3,0.167,0.423,0.585,54.2,83.8,10.6,4.3,,0.545,18.5,20.6,0.167,,0.573,16.5,84.2,0.253
2018,26,26,2017-12-10,@,NOP,L,124,131,123.2,130.2,100.6,0.313,0.302,0.568,58.8,59.1,5,7.1,,0.505,13.5,44,0.281,,0.669,13,83.3,0.3
2018,27,27,2017-12-12,@,MIN,W,118,112,107.6,102.1,99.3,0.4,0.325,0.627,51,80,5.5,3.8,,0.569,20.3,17.5,0.338,,0.431,7.7,72.6,0.176
2018,28,28,2017-12-15,,OKC,L,117,119,99.1,100.8,90,0.2,0.46,0.538,45.5,79.5,11,5.1,,0.505,14.9,14.3,0.16,,0.482,12.9,70.5,0.088
2018,29,29,2017-12-18,@,CHI,L,115,117,106.3,108.2,108.2,0.198,0.363,0.581,54.7,68.2,8.3,12.5,,0.56,16.8,20.9,0.143,,0.549,13,88.4,0.174
2018,30,30,2017-12-19,,SAC,L,95,101,96.6,102.7,98.4,0.296,0.432,0.519,57.6,61.8,7.1,9.4,,0.481,17.2,30.2,0.21,,0.489,10.6,81.6,0.132
2018,31,31,2017-12-21,,TOR,L,109,114,110.2,115.2,98.9,0.163,0.337,0.591,47.1,60,14.2,12,,0.576,20,33.3,0.116,,0.482,17.3,58.7,0.376
