Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,,POR,L,76,124,77,125.6,98.7,0.202,0.303,0.392,36.7,35.7,9.1,12.1,,0.354,14.2,19.2,0.146,,0.567,13.5,60.5,0.244
2018,2,2,2017-10-20,,LAL,L,130,132,110.9,112.7,117.2,0.413,0.315,0.598,54.3,37.8,6.8,13.4,,0.565,14.9,21.3,0.283,,0.581,14.3,88.9,0.258
2018,3,3,2017-10-21,@,LAC,L,88,130,86.7,128.1,101.5,0.535,0.338,0.502,40.9,70.4,7.9,4.8,,0.423,17.8,8.7,0.394,,0.614,10.6,76.2,0.25
2018,4,4,2017-10-23,,SAC,W,117,115,114.2,112.2,102.5,0.351,0.39,0.658,54.9,47.6,5.9,6.5,,0.61,18.4,20,0.299,,0.48,7.5,75,0.202
2018,5,5,2017-10-25,,UTA,W,97,88,96.6,87.6,100.4,0.094,0.198,0.485,55.6,42.9,8,9.6,,0.469,13.8,30.2,0.073,,0.455,20.7,84.8,0.234
2018,6,6,2017-10-28,@,POR,L,107,114,104,110.8,102.9,0.345,0.299,0.534,46.5,56.8,11.7,10.8,,0.477,14.5,22.6,0.276,,0.5,11.9,73.9,0.253
2018,7,7,2017-10-31,@,BRK,W,122,114,108,100.9,112.9,0.25,0.229,0.572,60,40,4.4,7,,0.521,14.5,21.3,0.229,,0.456,5.7,88.9,0.206
2018,8,8,2017-11-01,@,WAS,W,122,116,125.5,119.3,97.2,0.458,0.289,0.612,50,56.1,5.1,8.1,,0.548,8.3,26.8,0.373,,0.5,10.2,69.4,0.261
2018,9,9,2017-11-03,@,NYK,L,107,120,108.6,121.8,98.5,0.381,0.33,0.472,49,50,7.1,4.9,,0.397,8.1,33.3,0.309,,0.563,10.9,75,0.253
2018,10,10,2017-11-05,@,SAS,L,95,112,99.1,116.8,95.9,0.272,0.284,0.524,51.1,62.2,5.2,6.1,,0.506,16.6,23.9,0.16,,0.563,8.6,81,0.148
2018,11,11,2017-11-06,,BRK,L,92,98,90.8,96.7,101.3,0.407,0.291,0.454,52,43.3,7.9,12.7,,0.384,14.4,27.5,0.302,,0.448,13.8,77.6,0.23
2018,12,12,2017-11-08,,MIA,L,115,126,113.8,124.7,101.1,0.341,0.33,0.568,39.1,50,4,3.9,,0.523,9.8,12.5,0.261,,0.605,12.7,71.8,0.346
2018,13,13,2017-11-10,,ORL,L,112,128,104.3,119.2,107.4,0.266,0.255,0.533,47.6,29.5,7.5,9.3,,0.495,12.5,24.5,0.202,,0.604,15.1,80,0.354
2018,14,14,2017-11-11,,MIN,W,118,110,114.5,106.8,103,0.279,0.302,0.611,49.5,45.7,3.9,13.2,,0.593,15.7,20,0.186,,0.427,9,67.2,0.292
2018,15,15,2017-11-13,,LAL,L,93,100,89,95.7,104.5,0.211,0.274,0.448,50.5,40.5,5.7,6.8,,0.426,12.6,20,0.126,,0.5,14.1,82.7,0.087
2018,16,16,2017-11-16,,HOU,L,116,142,108.5,132.8,106.9,0.202,0.288,0.512,48,59.6,8.4,10.9,,0.5,11,29.1,0.115,,0.594,11.6,72.1,0.389
