Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,@,PHO,W,124,76,125.6,77,98.7,0.311,0.267,0.606,63.3,50,8.1,11.3,,0.567,13.5,39.5,0.244,,0.354,14.2,80.8,0.146
2018,2,2,2017-10-20,@,IND,W,114,96,117,98.5,97.4,0.179,0.2,0.556,56.7,41.3,5.1,10,,0.532,8.1,25,0.137,,0.474,11.5,87,0.282
2018,3,3,2017-10-21,@,MIL,L,110,113,113.9,117,96.6,0.432,0.346,0.571,54.5,52.9,10.4,9.7,,0.488,14.2,31.7,0.383,,0.569,13.1,80.6,0.275
2018,4,4,2017-10-24,,NOP,W,103,93,101.9,92,101,0.375,0.33,0.502,60,51.5,6.9,15.2,,0.432,14.9,32.1,0.307,,0.454,15.9,91.8,0.316
2018,5,5,2017-10-26,,LAC,L,103,104,117.5,118.6,87.7,0.247,0.348,0.522,48.9,54.3,5.7,8.2,,0.472,8.4,33.3,0.213,,0.526,10.6,66.7,0.299
2018,6,6,2017-10-28,,PHO,W,114,107,110.8,104,102.9,0.308,0.286,0.552,53.5,67.5,7.8,11.5,,0.5,11.9,26.1,0.253,,0.477,14.5,77.4,0.276
2018,7,7,2017-10-30,,TOR,L,85,99,91.3,106.4,93.1,0.238,0.325,0.481,44.7,41.9,5.4,11.1,,0.438,12.8,13.3,0.188,,0.494,8.7,80,0.149
2018,8,8,2017-11-01,@,UTA,L,103,112,95.4,103.7,97.8,0.29,0.366,0.491,49.1,45.9,7.4,13.1,,0.446,13.9,19.6,0.215,,0.45,11.7,80.8,0.344
2018,9,9,2017-11-02,,LAL,W,113,110,115.9,112.8,97.5,0.314,0.256,0.577,56.2,55,7.2,6.6,,0.517,10.9,25,0.279,,0.57,10.8,93.9,0.253
2018,10,10,2017-11-05,,OKC,W,103,99,104.8,100.8,98.2,0.378,0.27,0.597,57.9,54.1,6.1,12.5,,0.547,19.6,21.2,0.297,,0.511,10.3,86,0.09
2018,11,11,2017-11-07,,MEM,L,97,98,105.3,106.4,92.1,0.247,0.235,0.54,55.3,30.6,9.8,1.9,,0.481,15.1,25.6,0.235,,0.527,14.3,86.5,0.288
2018,12,12,2017-11-10,,BRK,L,97,101,101.2,105.4,95.8,0.116,0.242,0.486,51,42.5,4.2,7.5,,0.463,9.1,24,0.095,,0.495,9.1,78,0.121
2018,13,13,2017-11-13,,DEN,W,99,82,106,87.8,93.4,0.247,0.288,0.612,55.1,57.9,12.8,9.6,,0.568,20.6,25.8,0.219,,0.411,18.1,74.5,0.155
2018,14,14,2017-11-15,,ORL,W,99,94,109,103.5,90.8,0.149,0.31,0.534,50,55.3,7.7,4,,0.517,11.5,22.7,0.103,,0.538,15.3,81.6,0.114
2018,15,15,2017-11-17,@,SAC,L,82,86,91,95.5,90.1,0.198,0.309,0.466,50.6,43.3,8.9,1.4,,0.414,16.2,26.2,0.185,,0.447,12.4,73.3,0.118
2018,16,16,2017-11-18,,SAC,W,102,90,109.6,96.7,93.1,0.3,0.3,0.644,55,50,6.4,11.1,,0.614,17.7,15.6,0.229,,0.427,10.2,81.3,0.157
2018,17,17,2017-11-20,@,MEM,W,100,92,105,96.6,95.2,0.386,0.181,0.515,63.2,33.3,1,16.1,,0.434,13.4,33.3,0.337,,0.43,7.7,90,0.209
2018,18,18,2017-11-22,@,PHI,L,81,101,78.8,98.2,102.9,0.27,0.292,0.407,45.7,46.7,7.8,10.3,,0.376,14.6,19.3,0.157,,0.494,15.6,77.1,0.133
2018,19,19,2017-11-24,@,BRK,W,127,125,123.4,121.4,102.9,0.365,0.156,0.57,48.9,50,4.9,17.3,,0.531,5.9,26.1,0.26,,0.55,7.6,71.7,0.15
2018,20,20,2017-11-25,@,WAS,W,108,105,110.4,107.3,97.8,0.275,0.3,0.602,52.6,43.9,3.1,9.1,,0.569,15.1,16.7,0.213,,0.506,10.3,83.3,0.169
2018,21,21,2017-11-27,@,NYK,W,103,91,107.5,95,95.8,0.313,0.253,0.545,46.9,48.6,10.4,4.1,,0.488,8.7,11.9,0.265,,0.426,11.7,74.1,0.182
2018,22,22,2017-11-30,,MIL,L,91,103,94.5,107,96.3,0.205,0.277,0.503,58.8,48.6,5.2,4.5,,0.458,17.4,25,0.181,,0.517,8.8,88.9,0.149
2018,23,23,2017-12-02,,NOP,L,116,123,113.5,120.4,102.2,0.105,0.333,0.528,47.8,42.6,5.9,5.5,,0.5,3.5,17,0.105,,0.61,9.3,89.7,0.209
2018,24,24,2017-12-05,,WAS,L,92,106,98.3,113.3,93.5,0.269,0.346,0.527,48.2,56.3,2.1,7.8,,0.487,17.1,17.5,0.205,,0.534,8.6,75.6,0.124
2018,25,25,2017-12-09,,HOU,L,117,124,120.3,127.5,97.2,0.136,0.466,0.627,48.5,42.2,4.1,10,,0.614,13.9,20,0.102,,0.6,11.4,78.8,0.453
2018,26,26,2017-12-11,@,GSW,L,104,111,111.1,118.6,93.6,0.284,0.318,0.525,48.1,37.8,11.8,3.3,,0.46,8.3,25,0.261,,0.613,13.8,81.8,0.163
2018,27,27,2017-12-13,@,MIA,W,102,95,119,110.8,85.7,0.319,0.389,0.621,47.8,38.9,8.2,4.8,,0.569,11.8,16.1,0.278,,0.563,15.4,73.7,0.194
2018,28,28,2017-12-15,@,ORL,W,95,88,97,89.9,97.9,0.174,0.209,0.513,50,48.6,7.1,16.4,,0.477,13.1,14,0.151,,0.44,14,83,0.167
2018,29,29,2017-12-16,@,CHO,W,93,91,93.8,91.8,99.1,0.228,0.304,0.535,48,51.4,2,4.6,,0.532,18.7,11.6,0.114,,0.38,5.2,76.4,0.188
2018,30,30,2017-12-18,@,MIN,L,107,108,113.2,114.2,94.6,0.06,0.286,0.621,55.6,56.5,6.3,11.1,,0.607,16.5,25,0.06,,0.5,9.1,75,0.187
2018,31,31,2017-12-20,,SAS,L,91,93,95.8,97.9,95,0.146,0.26,0.445,41.1,47.4,13.7,3.2,,0.427,7.3,21.4,0.094,,0.557,22,73.5,0.063
2018,32,32,2017-12-22,,DEN,L,85,102,98,117.6,86.7,0.193,0.265,0.472,41,42.9,6.9,6.7,,0.458,9.1,23.3,0.108,,0.535,13.2,60,0.129
2018,33,33,2017-12-23,@,LAL,W,95,92,95.2,92.2,99.8,0.147,0.263,0.47,46.1,48.7,7,13.3,,0.463,9.8,17,0.074,,0.471,15.3,77.6,0.141
2018,34,34,2017-12-28,,PHI,W,114,110,113.8,109.8,100.2,0.627,0.32,0.596,56,42.9,7,5.5,,0.52,13.6,20,0.48,,0.575,12.2,88.6,0.115
2018,35,35,2017-12-30,@,ATL,L,89,104,95.7,111.8,93,0.153,0.294,0.491,50.5,52.8,9.7,13.6,,0.465,18.1,31.9,0.118,,0.528,12,70.5,0.112
2018,36,36,2018-01-01,@,CHI,W,124,120,114.7,111,97.9,0.167,0.306,0.535,46.3,53.2,6.5,6.5,,0.5,6.5,21.8,0.148,,0.486,9.5,71.7,0.183
