Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,,HOU,L,100,105,103.9,109.1,96.3,0.114,0.261,0.541,48.8,45.2,5.2,10.5,,0.523,15.5,22,0.091,,0.47,12.8,73.3,0.325
2018,2,2,2017-10-20,@,DAL,W,93,88,105.9,100.2,87.9,0.149,0.264,0.502,61.3,54.1,9.1,7.1,,0.483,13.1,35.6,0.103,,0.487,12.5,85.4,0.2
2018,3,3,2017-10-21,@,DEN,L,79,96,88.6,107.7,89.2,0.153,0.259,0.435,40.2,48.4,6.7,5.5,,0.412,12.5,23.1,0.106,,0.494,14.6,60,0.141
2018,4,4,2017-10-23,@,PHO,L,115,117,112.2,114.2,102.5,0.293,0.222,0.514,45.1,44.2,12.7,4.3,,0.48,7.5,25,0.202,,0.61,18.4,80,0.299
2018,5,5,2017-10-26,,NOP,L,106,114,108.4,116.5,97.8,0.309,0.247,0.576,42,65.8,7.2,9.3,,0.512,11.5,11.9,0.284,,0.564,13.5,74.4,0.198
2018,6,6,2017-10-29,,WAS,L,83,110,88.8,117.7,93.5,0.195,0.268,0.466,46.7,40.6,8.6,3.9,,0.427,16,23.4,0.159,,0.571,13.8,71.1,0.153
2018,7,7,2017-10-31,@,IND,L,83,101,87.1,106,95.2,0.159,0.159,0.441,45.9,40.5,8.4,8.9,,0.432,12.9,18.8,0.08,,0.494,12.9,72,0.2
2018,8,8,2017-11-01,@,BOS,L,86,113,96.7,127.1,88.9,0.148,0.247,0.498,33.3,68.6,11.2,12.2,,0.469,14.8,16.3,0.123,,0.591,15,54.3,0.195
2018,9,9,2017-11-04,@,DET,L,99,108,105.8,115.4,93.6,0.171,0.276,0.606,47.8,60,6.4,1.8,,0.592,17.2,10,0.118,,0.589,13.6,78.4,0.19
2018,10,10,2017-11-07,,OKC,W,94,86,94.2,86.2,99.8,0.152,0.304,0.558,51.6,56.8,6,10.2,,0.525,21.4,12.5,0.139,,0.395,12.7,82.4,0.209
2018,11,11,2017-11-09,,PHI,W,109,108,106.2,105.3,102.6,0.301,0.29,0.517,44.6,72.5,5.8,10,,0.495,7.9,15.7,0.183,,0.511,14.7,74,0.218
