Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,,MIN,W,107,99,113.3,104.8,94.5,0.213,0.236,0.55,54.3,53.7,8.5,16.7,,0.506,10.2,27.9,0.191,,0.482,12,77.6,0.2
2018,2,2,2017-10-21,@,CHI,W,87,77,91.5,80.9,95.1,0.172,0.129,0.435,52,65.8,8.4,5.6,,0.414,9.9,25.9,0.108,,0.427,18.1,82.6,0.085
2018,3,3,2017-10-23,,TOR,W,101,97,102.8,98.8,98.2,0.256,0.222,0.504,61.8,47.5,4.1,27.9,,0.472,16.7,38.3,0.178,,0.488,13.4,88.1,0.238
2018,4,4,2017-10-25,@,MIA,W,117,100,126.8,108.4,92.3,0.395,0.224,0.656,57.9,42.9,6.5,5.6,,0.618,12.7,22.2,0.303,,0.519,9.3,90,0.213
2018,5,5,2017-10-27,@,ORL,L,87,114,87.8,115.1,99.1,0.303,0.27,0.431,52.1,63.3,8.1,13.1,,0.36,14.4,30.4,0.258,,0.637,15.9,84.2,0.083
2018,6,6,2017-10-29,@,IND,L,94,97,96.2,99.3,97.7,0.2,0.311,0.48,50,52.8,12.3,14.5,,0.45,13.3,24,0.144,,0.532,18.1,84.2,0.195
2018,7,7,2017-10-30,@,BOS,L,94,108,102.5,117.8,91.7,0.23,0.299,0.491,42.6,66.7,8.7,7,,0.483,10.3,23.5,0.115,,0.54,12,65.1,0.148
2018,8,8,2017-11-02,,GSW,L,92,112,94.9,115.5,97,0.264,0.276,0.474,52.9,55.9,6.2,14.5,,0.431,14.1,28,0.195,,0.602,13.5,86.5,0.145
2018,9,9,2017-11-03,,CHO,W,108,101,109.1,102,99,0.313,0.325,0.572,49.5,79.5,7.1,10.7,,0.524,13.7,16.7,0.253,,0.463,10.9,77.6,0.338
2018,10,10,2017-11-05,,PHO,W,112,95,116.8,99.1,95.9,0.205,0.25,0.584,48.9,47.7,9.4,6.9,,0.563,8.6,19,0.148,,0.506,16.6,76.1,0.16
2018,11,11,2017-11-07,,LAC,W,120,107,127.9,114,93.8,0.226,0.333,0.65,50,73.3,13.9,5.8,,0.625,12.3,27.5,0.179,,0.579,16,73.7,0.146
2018,12,12,2017-11-10,,MIL,L,87,94,92.7,100.2,93.8,0.138,0.363,0.513,47.8,67.6,8.5,8.5,,0.481,17.5,20,0.125,,0.489,12,75.6,0.079
2018,13,13,2017-11-11,,CHI,W,133,94,137.7,97.3,96.6,0.188,0.318,0.723,61.1,64.7,5.2,9.5,,0.706,12.4,25.8,0.153,,0.5,12.4,87.8,0.093
2018,14,14,2017-11-14,@,DAL,W,97,91,101.9,95.6,95.2,0.342,0.329,0.534,54,51.4,9.5,14.9,,0.481,11.7,18.6,0.266,,0.469,14.4,88.6,0.185
2018,15,15,2017-11-15,@,MIN,L,86,98,99.8,113.7,86.2,0.19,0.304,0.502,52.3,60.6,4.6,5.8,,0.462,15.7,30.2,0.165,,0.5,6,74.4,0.126
2018,16,16,2017-11-17,,OKC,W,104,101,117.3,113.9,88.7,0.364,0.455,0.582,51.8,67.6,6.8,10.6,,0.532,12.7,30,0.286,,0.489,7.5,71.1,0.157
2018,17,17,2017-11-20,,ATL,W,96,85,103.4,91.5,92.8,0.067,0.348,0.524,57.8,72.5,7.5,9.1,,0.506,16.4,32.6,0.067,,0.482,14.5,80.9,0.035
2018,18,18,2017-11-22,@,NOP,L,90,107,91.6,108.9,98.2,0.17,0.273,0.476,46.4,62.9,10.2,8.8,,0.432,13.7,17.4,0.159,,0.525,14.1,81.6,0.272
2018,19,19,2017-11-25,@,CHO,W,106,86,114.7,93.1,92.4,0.309,0.309,0.576,51.7,56.4,8.7,11.9,,0.519,10.7,22.2,0.272,,0.393,12.8,72.5,0.238
2018,20,20,2017-11-27,,DAL,W,115,108,118.2,111,97.3,0.256,0.293,0.63,51.8,62.8,7.2,9.4,,0.585,9.9,10,0.232,,0.565,10.6,90.7,0.141
2018,21,21,2017-11-29,,MEM,W,104,95,119.8,109.4,86.8,0.32,0.267,0.608,46.4,57.9,10.4,9.1,,0.56,8.6,16.1,0.267,,0.526,16.8,71.1,0.182
2018,22,22,2017-12-01,@,MEM,W,95,79,107.6,89.5,88.3,0.457,0.386,0.565,53.1,64.5,9.1,8.5,,0.521,13.4,18.9,0.314,,0.439,16.3,81.8,0.189
2018,23,23,2017-12-03,@,OKC,L,87,90,91.3,94.5,95.3,0.303,0.368,0.505,45.3,45.2,11.5,13.8,,0.461,16.5,20,0.224,,0.46,17.2,67.4,0.115
2018,24,24,2017-12-04,,DET,W,96,93,101.9,98.7,94.2,0.146,0.378,0.55,54.8,85.7,2.1,12.1,,0.512,15.5,22.2,0.146,,0.459,9.5,85.4,0.176
2018,25,25,2017-12-06,,MIA,W,117,105,131.4,117.9,89,0.161,0.287,0.628,54,65.2,6.7,18.4,,0.603,10.6,30.3,0.138,,0.667,18.9,80,0.125
2018,26,26,2017-12-08,,BOS,W,105,102,116.8,113.5,89.9,0.296,0.333,0.573,54.1,42.1,6.7,6.7,,0.519,12.4,33.3,0.259,,0.524,13.4,74.4,0.181
2018,27,27,2017-12-09,@,PHO,W,104,101,112.9,109.7,92.1,0.287,0.218,0.531,56.5,45,5.4,10.9,,0.494,13.3,37.5,0.207,,0.481,9.7,77.3,0.3
2018,28,28,2017-12-12,@,DAL,L,89,95,96.6,103.1,92.1,0.218,0.322,0.467,50,57.1,4.3,7.7,,0.443,9.5,19.6,0.138,,0.478,6,83,0.112
2018,29,29,2017-12-15,@,HOU,L,109,124,108.6,123.6,100.4,0.138,0.277,0.547,46.4,47.8,10,12.2,,0.543,14.6,26.7,0.074,,0.571,11.3,69.2,0.22
2018,30,30,2017-12-16,,DAL,W,98,96,110.5,108.2,88.7,0.209,0.291,0.522,51.9,35.9,5.6,3.8,,0.483,6.9,20.9,0.174,,0.55,9.7,88.9,0.1
2018,31,31,2017-12-18,,LAC,W,109,91,110.2,92,98.9,0.305,0.293,0.586,51.7,55,7.1,7.3,,0.543,14.7,19,0.244,,0.494,15.7,82.2,0.095
2018,32,32,2017-12-20,@,POR,W,93,91,97.9,95.8,95,0.076,0.215,0.57,58.9,41.5,7.4,12.7,,0.557,22,26.5,0.063,,0.427,7.3,78.6,0.094
2018,33,33,2017-12-21,@,UTA,L,89,100,97.5,109.5,91.3,0.205,0.269,0.523,48.1,41.2,7.7,6.3,,0.5,14.1,12.2,0.141,,0.541,12.4,86.8,0.27
2018,34,34,2017-12-23,@,SAC,W,108,99,118.1,108.2,91.5,0.125,0.261,0.582,51.2,65.9,3.3,1.6,,0.563,7.9,17.5,0.102,,0.535,9.9,80.4,0.081
2018,35,35,2017-12-26,,BRK,W,109,97,113.6,101.1,95.9,0.3,0.2,0.602,48.9,43.9,7.3,8.2,,0.556,11.7,13.2,0.25,,0.484,11.8,76,0.075
2018,36,36,2017-12-28,,NYK,W,119,107,126.3,113.5,94.2,0.488,0.25,0.612,49.4,68.3,2.1,5.3,,0.569,8.5,23.8,0.35,,0.483,8.3,73.3,0.222
2018,37,37,2017-12-30,@,DET,L,79,93,86.3,101.6,91.6,0.155,0.31,0.44,50.5,58.1,8.7,8.8,,0.399,13.5,20.4,0.143,,0.494,11.1,85.7,0.16
2018,38,38,2018-01-02,@,NYK,W,100,91,109.2,99.3,91.6,0.415,0.329,0.516,50,58.1,12,7.7,,0.439,7.6,26.9,0.341,,0.443,12.9,75,0.161
2018,39,39,2018-01-03,@,PHI,L,106,112,109.6,115.8,96.7,0.264,0.287,0.546,48.9,38.5,4.1,6.9,,0.494,13.4,27.3,0.23,,0.494,11.6,70.5,0.413
2018,40,40,2018-01-05,,PHO,W,103,89,100.7,87,102.3,0.207,0.345,0.543,48.9,51.2,14.7,11.3,,0.534,13.6,15.9,0.115,,0.464,20.2,80.4,0.145
2018,41,41,2018-01-07,@,POR,L,110,111,116.5,117.6,94.4,0.321,0.284,0.595,52.5,65,4.2,7.2,,0.562,13.2,25.6,0.235,,0.565,8.5,78,0.076
2018,42,42,2018-01-08,@,SAC,W,107,100,110.8,103.6,96.6,0.144,0.289,0.559,45.1,52.3,11.4,6.8,,0.55,9.5,17.8,0.089,,0.537,16.8,78.4,0.146
2018,43,43,2018-01-11,@,LAL,L,81,93,86,98.7,94.2,0.197,0.263,0.49,48.9,67.7,6.4,10.2,,0.461,19.5,16.7,0.145,,0.489,13.9,76,0.092
2018,44,44,2018-01-13,,DEN,W,112,80,120.4,86,93,0.228,0.342,0.644,51.2,56.1,9.7,5.5,,0.608,14.7,16.7,0.203,,0.392,14.2,77.1,0.181
2018,45,45,2018-01-15,@,ATL,L,99,102,105.3,108.5,94,0.23,0.253,0.517,42.5,64.9,12.8,8.2,,0.471,8.6,17,0.195,,0.517,14,72.5,0.151
2018,46,46,2018-01-17,@,BRK,W,100,95,103.8,98.7,96.3,0.378,0.232,0.523,47.2,70.6,8.3,8.5,,0.47,8.6,14.6,0.28,,0.5,13.3,85.4,0.145
2018,47,47,2018-01-19,@,TOR,L,83,86,89.5,92.7,92.8,0.22,0.22,0.416,52.8,58.1,9.7,11.9,,0.368,10.7,29.3,0.176,,0.453,12.5,81.3,0.106
2018,48,48,2018-01-21,,IND,L,86,94,91.5,100,94,0.146,0.415,0.493,52.9,68.6,8.5,15.4,,0.482,18.6,22.7,0.085,,0.464,9.9,83.7,0.19
2018,49,49,2018-01-23,,CLE,W,114,102,118.8,106.3,96,0.17,0.298,0.564,52.3,48.9,11.5,7.8,,0.543,8.2,27.1,0.128,,0.528,17.4,84.2,0.361
2018,50,50,2018-01-24,@,MEM,W,108,85,114.9,90.4,94,0.305,0.293,0.581,52.3,76.3,9.6,9.2,,0.524,12.3,25.6,0.268,,0.446,16,79.1,0.133
2018,51,51,2018-01-26,,PHI,L,78,97,92.5,115.1,84.3,0.24,0.32,0.47,41.9,66.7,7.1,8.6,,0.42,9.8,11.6,0.2,,0.538,9.4,72.1,0.152
2018,52,52,2018-01-28,,SAC,W,113,98,127.5,110.6,88.6,0.189,0.278,0.58,60.5,73.3,4.5,4.2,,0.561,6.7,31.7,0.133,,0.537,9.4,86.7,0.122
2018,53,53,2018-01-30,,DEN,W,106,104,113.6,111.4,93.3,0.054,0.261,0.563,53.1,71.7,4.3,14.3,,0.549,14.5,31.7,0.054,,0.523,12.4,75,0.163
2018,54,54,2018-02-01,,HOU,L,91,102,98.3,110.1,92.6,0.205,0.289,0.503,54.8,60,7.6,12.2,,0.458,15,22.5,0.181,,0.53,9,84.1,0.169
2018,55,55,2018-02-03,,UTA,L,111,120,115.4,124.7,96.2,0.198,0.286,0.561,49.3,56.8,9.4,10.9,,0.538,10.8,25.6,0.143,,0.652,16.7,83.3,0.435
2018,56,56,2018-02-07,@,PHO,W,129,81,126.9,79.7,101.6,0.29,0.344,0.615,58.5,56.5,5.9,9.2,,0.581,10.3,29.8,0.226,,0.356,9.5,81.4,0.124
2018,57,57,2018-02-10,@,GSW,L,105,122,109.3,127,96.1,0.202,0.287,0.513,43.6,69.8,8.3,8.6,,0.484,8.9,25,0.149,,0.635,14.9,67.6,0.165
2018,58,58,2018-02-12,@,UTA,L,99,101,103.7,105.8,95.5,0.294,0.294,0.516,50.6,60.5,5.2,13.3,,0.482,10.3,19,0.2,,0.482,8.5,80,0.238
2018,59,59,2018-02-13,@,DEN,L,109,117,111.7,119.9,97.6,0.268,0.268,0.594,54.5,54.5,6.1,11.5,,0.573,16.4,29.4,0.183,,0.548,9.8,74.4,0.161
2018,60,60,2018-02-23,@,DEN,L,119,122,124.4,127.6,95.6,0.459,0.188,0.582,42.2,65.1,4.2,6.2,,0.535,6.4,24.4,0.329,,0.557,9.5,60,0.144
2018,61,61,2018-02-25,@,CLE,W,110,94,114.6,97.9,96,0.372,0.221,0.55,48.4,57.9,11.5,15.8,,0.494,8.3,22.7,0.291,,0.462,13.4,72.3,0.11
