Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,,,,,,,,,,,,
2018,1,1,2017-10-19,,CHI,W,117,100,116.9,99.9,100.1,0.337,0.349,0.614,55.7,66.7,10,7,,0.548,15.1,31,0.313,,0.472,16.3,78.3,0.18,10,32,0.313,16,19,0.842,10,39,22,7,2,19,23
2018,2,2,2017-10-21,,PHI,W,128,94,119.1,87.4,107.5,0.416,0.494,0.608,55.4,54.8,4.7,17.2,,0.545,11,19.5,0.348,,0.439,17,84.3,0.268,8,24,0.333,22,36,0.611,8,41,18,5,4,20,26
2018,3,3,2017-10-23,@,SAS,L,97,101,98.8,102.8,98.2,0.3,0.463,0.536,38.2,50,11.2,5.7,,0.488,13.4,11.9,0.238,,0.472,16.7,61.7,0.178,5,20,0.25,16,23,0.696,18,55,19,4,12,20,22
2018,4,4,2017-10-25,@,GSW,L,112,117,115.4,120.6,97,0.202,0.362,0.547,53.2,69.8,10.3,11.8,,0.5,13.5,35.4,0.191,,0.636,16.4,80.6,0.247,12,26,0.462,19,22,0.864,6,37,32,10,7,17,15
2018,5,5,2017-10-27,@,LAL,W,101,92,100.1,91.2,100.9,0.215,0.312,0.496,44.9,67.5,11.9,7.1,,0.468,10.5,18.4,0.151,,0.475,19,77.5,0.215,3,23,0.13,17,24,0.708,9,49,20,7,6,21,22
2018,6,6,2017-10-30,@,POR,W,99,85,106.4,91.3,93.1,0.195,0.276,0.524,55.3,43.6,10.7,16.7,,0.494,8.7,20,0.149,,0.438,12.8,86.7,0.188,8,26,0.308,15,19,0.789,6,38,13,5,7,13,15
2018,7,7,2017-11-01,@,DEN,L,111,129,111.2,129.3,99.8,0.294,0.365,0.578,46.9,47.6,7,7.1,,0.559,11.9,20.9,0.188,,0.625,10.6,76.3,0.216,16,32,0.5,19,29,0.655,9,43,35,9,4,12,20
2018,8,8,2017-11-03,@,UTA,W,109,100,118.8,109,91.8,0.394,0.423,0.654,54.2,52.6,9.8,7,,0.613,16.1,17.9,0.31,,0.488,12.6,77.3,0.275,8,23,0.348,22,24,0.917,10,33,11,9,5,13,25
2018,9,9,2017-11-05,,WAS,L,96,107,100.2,111.7,95.8,0.338,0.3,0.522,43.9,45.9,7.3,12.9,,0.494,12.4,20.5,0.213,,0.535,15.2,71.1,0.188,11,23,0.478,16,23,0.696,11,46,19,9,3,17,26
2018,10,10,2017-11-07,,CHI,W,119,114,123.3,118.1,96.5,0.296,0.309,0.65,50,50,5.2,0,,0.623,14.1,19.4,0.222,,0.569,12.3,78.9,0.288,11,29,0.379,23,28,0.821,8,37,26,10,2,13,23
2018,11,11,2017-11-09,,NOP,W,122,118,117.6,113.8,103.7,0.235,0.429,0.564,55.8,60,7.7,7.8,,0.541,10,22.7,0.163,,0.616,12.3,90.5,0.207,13,31,0.419,17,25,0.68,4,38,31,7,4,13,20
