Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,,DEN,W,106,96,112.2,101.6,94.5,0.198,0.296,0.602,48.6,68.3,9.5,10,,0.562,14.6,16.2,0.185,,0.552,19.6,81.1,0.143
2018,2,2,2017-10-20,@,MIN,L,97,100,102,105.2,95.1,0.221,0.286,0.574,46.3,62.2,10.5,13.6,,0.539,18.4,17.1,0.182,,0.488,14,75.6,0.259
2018,3,3,2017-10-21,,OKC,W,96,87,103.3,93.6,93,0.182,0.377,0.577,51.9,57.9,11.8,8.9,,0.552,17.8,18.9,0.143,,0.481,16.4,81,0.154
2018,4,4,2017-10-24,@,LAC,L,84,102,91,110.5,92.3,0.139,0.354,0.501,48.2,58.8,7.6,13,,0.475,17.7,19.5,0.114,,0.53,12.4,75,0.169
2018,5,5,2017-10-25,@,PHO,L,88,97,87.6,96.6,100.4,0.325,0.325,0.5,44.4,62.5,8,13,,0.455,20.7,15.2,0.234,,0.469,13.8,69.8,0.073
2018,6,6,2017-10-28,,LAL,W,96,81,107.4,90.6,89.4,0.165,0.392,0.567,55.7,48.6,10.1,8.5,,0.551,19.9,35.9,0.114,,0.414,15.1,71.4,0.173
2018,7,7,2017-10-30,,DAL,W,104,89,110.8,94.8,93.8,0.185,0.432,0.594,45.5,65.8,17.1,15.4,,0.568,13.8,15.4,0.148,,0.526,22.9,76.3,0.118
2018,8,8,2017-11-01,,POR,W,112,103,103.7,95.4,97.8,0.4,0.322,0.529,50.9,47.1,8.3,13.6,,0.45,11.7,19.2,0.344,,0.446,13.9,80.4,0.215
2018,9,9,2017-11-03,,TOR,L,100,109,109,118.8,91.8,0.3,0.288,0.552,45.8,31.4,9.8,12.2,,0.488,12.6,22.7,0.275,,0.613,16.1,82.1,0.31
2018,10,10,2017-11-05,@,HOU,L,110,137,107.5,133.9,102.3,0.273,0.386,0.558,44,57.9,6.8,7.1,,0.506,11.7,17.8,0.239,,0.735,18.1,83.3,0.222
2018,11,11,2017-11-07,,PHI,L,97,104,91.1,97.6,106.5,0.354,0.394,0.424,44.6,50,13.1,11.1,,0.348,9.5,22.6,0.283,,0.494,18.9,79.5,0.296
2018,12,12,2017-11-10,,MIA,L,74,84,77.8,88.3,95.1,0.297,0.284,0.442,45.5,48,10.5,13.5,,0.372,16.9,8.9,0.257,,0.455,18.3,83.7,0.182
2018,13,13,2017-11-11,,BRK,W,114,106,116.3,108.2,98,0.294,0.341,0.594,51.8,46.3,12.2,5.7,,0.547,14.3,27.9,0.247,,0.507,15.4,76.2,0.382
2018,14,14,2017-11-13,,MIN,L,98,109,105.9,117.7,92.6,0.131,0.476,0.552,43.7,62.2,8.6,7.8,,0.524,14.4,18.6,0.119,,0.592,15.2,82.1,0.352
2018,15,15,2017-11-15,@,NYK,L,101,106,114.3,120,88.3,0.215,0.443,0.584,45.1,55.9,5.7,16.7,,0.538,13.1,21.4,0.203,,0.525,10.7,70,0.259
2018,16,16,2017-11-17,@,BRK,L,107,118,110.8,122.2,96.5,0.304,0.329,0.597,52,53.8,6.2,12.8,,0.57,15.2,23.8,0.215,,0.613,11.5,87.9,0.179
2018,17,17,2017-11-18,@,ORL,W,125,85,128.7,87.5,97.1,0.184,0.347,0.59,54,66,10.3,7.7,,0.551,8.6,28.6,0.173,,0.432,14.9,78.4,0.185
2018,18,18,2017-11-20,@,PHI,L,86,107,85.7,106.6,100.3,0.224,0.329,0.461,38.2,60,15.9,5.7,,0.406,13,13.2,0.2,,0.541,16.7,75,0.176
2018,19,19,2017-11-22,,CHI,W,110,80,119.5,86.9,92.1,0.221,0.407,0.583,51.1,57.5,10.9,8.8,,0.547,6.9,18.6,0.186,,0.404,15.6,82.2,0.218
2018,20,20,2017-11-25,,MIL,W,121,108,129.8,115.9,93.2,0.235,0.395,0.677,42.9,67.4,8.6,3.6,,0.679,10.1,13.5,0.136,,0.584,15.5,75.8,0.234
2018,21,21,2017-11-28,,DEN,W,106,77,119.1,86.5,89,0.103,0.368,0.583,50.6,57.1,7.9,13.6,,0.563,10.8,23.1,0.092,,0.404,16.7,73.9,0.179
2018,22,22,2017-11-30,@,LAC,W,126,107,137.3,116.6,91.8,0.165,0.412,0.691,47.8,77.6,14.2,4.9,,0.676,12.5,27.8,0.129,,0.614,18.6,69.7,0.3
