Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,1,1,2017-10-18,,PHI,W,120,115,115.1,110.3,104.3,0.392,0.227,0.528,52,50,7.7,17.2,,0.464,7.3,30.2,0.309,,0.543,14.4,76.6,0.151
2018,2,2,2017-10-20,,DET,W,115,111,115.9,111.8,99.2,0.467,0.227,0.636,52.9,62.5,12.1,10.9,,0.573,15,23.3,0.387,,0.552,16.6,75,0.172
2018,3,3,2017-10-23,@,DEN,W,109,104,108.7,103.7,100.3,0.333,0.357,0.566,46.3,64.9,13,5.3,,0.494,13.5,22.2,0.31,,0.538,20.3,75.7,0.225
2018,4,4,2017-10-25,@,LAL,L,99,102,89.4,92.1,100.3,0.242,0.274,0.471,45.9,51.3,9.9,8.1,,0.442,11,13,0.158,,0.484,17.5,86.4,0.141
2018,5,5,2017-10-27,@,GSW,L,117,120,112.5,115.4,104,0.227,0.34,0.548,43.6,69.8,6.7,10.5,,0.521,11.6,24,0.165,,0.537,14.1,65.9,0.189
2018,6,6,2017-10-29,@,SAC,W,110,83,117.7,88.8,93.5,0.235,0.4,0.586,53.3,70,9.6,5,,0.571,13.8,28.9,0.153,,0.427,16,76.6,0.159
2018,7,7,2017-11-01,,PHO,L,116,122,119.3,125.5,97.2,0.326,0.326,0.551,50,48.8,5.1,6.8,,0.5,10.2,30.6,0.261,,0.548,8.3,73.2,0.373
2018,8,8,2017-11-03,,CLE,L,122,130,121.8,129.8,100.2,0.369,0.333,0.625,52.1,55.6,5,3.6,,0.601,14.1,25.7,0.25,,0.634,12.9,77.8,0.317
2018,9,9,2017-11-05,@,TOR,W,107,96,111.7,100.2,95.8,0.271,0.271,0.562,56.1,47.5,9.4,5.4,,0.535,15.2,28.9,0.188,,0.494,12.4,79.5,0.213
2018,10,10,2017-11-07,,DAL,L,99,113,100.1,114.3,98.9,0.427,0.333,0.556,42.4,65.6,5.1,8.2,,0.493,14.4,6.7,0.333,,0.533,9.9,76.6,0.176
2018,11,11,2017-11-09,,LAL,W,111,95,108.4,92.7,102.4,0.241,0.253,0.605,49.5,46.5,6.8,6.3,,0.56,17.1,19.4,0.217,,0.378,15.4,69.1,0.349
2018,12,12,2017-11-11,,ATL,W,113,94,112.8,93.8,100.2,0.359,0.308,0.626,56.8,52.4,14,20,,0.583,20.3,33.3,0.282,,0.494,21,75.6,0.145
2018,13,13,2017-11-13,,SAC,W,110,92,122.6,102.5,89.7,0.14,0.395,0.603,58.8,68.2,7.8,1.6,,0.576,10.8,28.6,0.128,,0.476,9.8,80,0.143
2018,14,14,2017-11-15,@,MIA,W,102,93,115,104.9,88.7,0.397,0.244,0.557,48.8,28.1,9,4.2,,0.468,11.6,26.8,0.372,,0.494,16.4,70.7,0.205
2018,15,15,2017-11-17,,MIA,L,88,91,93.1,96.3,94.5,0.19,0.417,0.483,46.9,56.3,4.2,8.3,,0.44,11.6,14.3,0.167,,0.47,14.2,79.6,0.157
2018,16,16,2017-11-19,@,TOR,L,91,100,98.8,108.5,92.1,0.259,0.235,0.504,47.3,58.8,5.4,5.9,,0.488,13.4,17.8,0.148,,0.5,6.8,76.1,0.111
2018,17,17,2017-11-20,@,MIL,W,99,88,111.6,99.2,88.7,0.23,0.324,0.608,58.2,59,4.5,1.8,,0.588,16.4,22.9,0.162,,0.468,9.3,86.4,0.177
2018,18,18,2017-11-22,@,CHO,L,124,129,117.3,122,95.7,0.222,0.333,0.57,47.3,52.1,3.8,9.5,,0.54,9.9,20.9,0.172,,0.527,9.2,70.8,0.363
2018,19,19,2017-11-25,,POR,L,105,108,107.3,110.4,97.8,0.18,0.258,0.547,47.4,48.8,9.2,7.1,,0.506,10.3,16.7,0.169,,0.569,15.1,83.3,0.213
2018,20,20,2017-11-28,@,MIN,W,92,89,106.4,103,86.4,0.205,0.337,0.508,47.3,63.9,5.8,7.3,,0.494,7.2,20,0.12,,0.471,9.9,72.9,0.106
2018,21,21,2017-11-29,@,PHI,L,113,118,107.5,112.2,105.1,0.416,0.247,0.537,35.4,61.1,7.6,6.3,,0.455,9.5,14,0.36,,0.475,13.5,57.1,0.506
