,,,,,,,,NYU,,,,,,,,,Opponent,,,,,,,,,,,,,,,,,,,,Players,,,,,,,,,,,Lineups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Time In,Time Out,NYU In,Opp In,NYU Out,Opp Out,Lineup,PTS,2FG,3FG,FGA,3FGA,TO,ORB,DRB,FTP,PTS,2FG,3FG,FGA,3FGA,TO,ORB,DRB,FTP,Notes,Time,NYU Poss.,Opp. Poss.,Pace,OffRtg,DefRtg,NetRtg,+/-,TOV%,TS%,Ethan Feldman,Ross Udine,Cameron Moore,Bobby Hawkinson,Joseph Stinson,Jule Brown,Dom Cristiano,Ted Georgiadis,Douglas Gertner,Jimmy Martinelli,,Udine-Feldman-Brown-Hawkinson-Cristiano,Udine-Gertner-Brown-Hawkinson-Cristiano,Udine-Gertner-Brown-Martinelli-Cristiano,Udine-Gertner-Brown-Martinelli-Stinson,Moore-Gertner-Brown-Martinelli-Stinson,Moore-Gertner-Martinelli-Hawkinson-Stinson,Moore-Gertner-Martinelli-Hawkinson-Georgiadis,Moore-Gertner-Brown-Hawkinson-Georgiadis,Udine-Moore-Brown-Hawkinson-Cristiano,Udine-Moore-Brown-Martinelli-Georgiadis,Udine-Moore-Brown-Hawkinson-Georgiadis,Udine-Moore-Brown-Martinelli-Cristiano,Udine-Moore-Feldman-Martinelli-Cristiano,Udine-Moore-Martinelli-Cristiano-Stinson,Udine-Gertner-Feldman-Brown-Cristiano,Moore-Gertner-Feldman-Brown-Cristiano,Moore-Gertner-Feldman-Martinelli-Cristiano,Moore-Gertner-Feldman-Martinelli-Stinson,Moore-Gertner-Brown-Hawkinson-Cristiano,Udine-Gertner-Feldman-Hawkinson-Cristiano,Udine-Gertner-Feldman-Martinelli-Cristiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0:20:00,0:15:46,0,0,3,6,Udine-Feldman-Brown-Hawkinson-Cristiano,3,1,,8,2,3,2,3,,6,3,,6,,2,,5,,,4.233,9.0,8.0,85.0,33.3,75.0,-41.7,-3,33.3,16.7,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0:15:46,0:15:17,3,6,4,6,Udine-Gertner-Brown-Hawkinson-Cristiano,1,,,,,,,1,1, ,,,1,1,,,,,,0.483,1.0,1.0,82.8,100.0,0.0,100.0,1,0.0,50.0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0:15:17,0:14:26,4,6,7,6,Udine-Gertner-Brown-Martinelli-Cristiano,3,,1,1,1,,,1,,0,,,2,,1,1,,,,0.850,1.0,2.0,47.1,300.0,0.0,300.0,3,0.0,150.0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0:14:26,0:13:20,7,6,9,6,Udine-Gertner-Brown-Martinelli-Stinson,2,,,2,,,1,1,1,0,,,1,,1,,1,,,1.100,2.0,2.0,72.7,100.0,0.0,100.0,2,0.0,50.0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0:13:20,0:12:58,9,6,9,6,Moore-Gertner-Brown-Martinelli-Stinson,0,,,,,1,,1,,0,,,1,,,,,,,0.367,1.0,1.0,109.1,0.0,0.0,0.0,0,100.0,0.0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0:12:58,0:11:58,9,6,11,8,Moore-Gertner-Martinelli-Hawkinson-Stinson,2,,,1,,,,1,1,2,,,1,,,,1,,,1.000,2.0,1.0,80.0,100.0,200.0,-100.0,0,0.0,50.0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0:11:58,0:09:55,11,8,11,10,Moore-Gertner-Martinelli-Hawkinson-Georgiadis,0,,,2,1,2,1,2,,2,1,,4,2,,1,1,,,2.050,3.0,3.0,58.5,0.0,66.7,-66.7,-2,66.7,0.0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0:09:55,0:08:34,11,10,15,10,Moore-Gertner-Brown-Hawkinson-Georgiadis,4,1,,2,,,1,1,1,0,,,1,1,2,,,,,1.350,2.0,3.0,59.3,200.0,0.0,200.0,4,0.0,100.0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0:08:34,0:05:56,15,10,21,20,Udine-Moore-Brown-Hawkinson-Cristiano,6,2,,5,1,2,1,2,1,10,1,2,6,4,1,1,1,,,2.633,7.0,6.0,106.3,85.7,166.7,-81.0,-4,28.6,42.9,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
