,Player,MP,Poss.,+/-,OffRtg,DefRtg,NetRtg
0,Udine-Feldman-Brown-Hawkinson-Cristiano,8.1,18,2,66.7,62.5,4.2
0,Udine-Gertner-Brown-Hawkinson-Cristiano,1.7,3,1,33.3,0.0,33.3
0,Udine-Gertner-Brown-Martinelli-Cristiano,1.7,4,-1,125.0,120.0,5.0
0,Udine-Gertner-Brown-Martinelli-Stinson,1.1,2,2,100.0,0.0,100.0
0,Moore-Gertner-Brown-Martinelli-Stinson,0.4,1,0,0.0,0.0,0.0
0,Moore-Gertner-Martinelli-Hawkinson-Stinson,1.0,2,0,100.0,200.0,-100.0
0,Moore-Gertner-Martinelli-Hawkinson-Georgiadis,2.0,3,-2,0.0,66.7,-66.7
0,Moore-Gertner-Brown-Hawkinson-Georgiadis,1.4,2,4,200.0,0.0,200.0
0,Udine-Moore-Brown-Hawkinson-Cristiano,3.5,8,-4,75.0,125.0,-50.0
0,Udine-Moore-Brown-Martinelli-Georgiadis,2.2,5,-2,40.0,80.0,-40.0
0,Udine-Moore-Brown-Hawkinson-Georgiadis,0.2,1,0,0.0,0,0.0
0,Udine-Moore-Brown-Martinelli-Cristiano,0.3,1,0,200.0,200.0,0.0
0,Udine-Moore-Feldman-Martinelli-Cristiano,0.3,2,2,100.0,0,100.0
0,Udine-Moore-Martinelli-Cristiano-Stinson,0.0,0,0,0,0.0,0.0
0,Udine-Gertner-Feldman-Brown-Cristiano,1.8,3,-2,66.7,133.3,-66.6
0,Moore-Gertner-Feldman-Brown-Cristiano,0.3,0,-1,0,100.0,-100.0
0,Moore-Gertner-Feldman-Martinelli-Cristiano,3.0,8,3,87.5,57.1,30.4
0,Moore-Gertner-Feldman-Martinelli-Stinson,3.6,9,8,144.4,55.6,88.8
0,Moore-Gertner-Brown-Hawkinson-Cristiano,2.9,4,-2,150.0,160.0,-10.0
0,Udine-Gertner-Feldman-Hawkinson-Cristiano,1.7,4,-4,100.0,200.0,-100.0
0,Udine-Gertner-Feldman-Martinelli-Cristiano,0.1,1,1,100.0,0,100.0
0,Team,37.1,81,5,87.7,83.5,4.2
